unit,probe,source,depth_mm,diameter_px,level,suspect_hardware
hard_1mm_r1,ball4,20260905_passA_ball4,0.0968258454734041,105.00597343678362,4.360743522644043,False
hard_1mm_r1,ball4,20260905_passA_ball4,0.179033360327665,174.85872705492912,5.1547956466674805,False
hard_1mm_r1,ball4,20260905_passA_ball4,0.2782857587203153,216.1545704666027,6.228928089141846,False
hard_1mm_r1,ball4,20260905_passA_ball4,0.3781233505922685,245.1363162677467,7.226327419281006,False
hard_1mm_r1,ball4,20260905_passA_ball4,0.4857303633052048,272.7318356984168,8.156572341918945,False
hard_1mm_r1,ball4,20260905_passA_ball4,0.5822418106299807,291.8622025227258,9.128973007202148,False
hard_2mm_r2,ball4,20260905_passA_ball4,0.0795060078547997,0.0,0.0,False
hard_2mm_r2,ball4,20260905_passA_ball4,0.179171561493117,0.0,0.0,False
hard_2mm_r2,ball4,20260905_passA_ball4,0.2805870233330161,100.6030871350368,7.103191375732422,False
hard_2mm_r2,ball4,20260905_passA_ball4,0.3826249017535303,179.2241257046012,8.497587203979492,False
hard_2mm_r2,ball4,20260905_passA_ball4,0.4831266547423993,228.85799508041148,9.670486450195312,False
hard_2mm_r2,ball4,20260905_passA_ball4,0.5804063194814901,271.26432314051044,10.83067226409912,False
medium_1mm_r2,ball4,20260905_passA_ball4,0.0818847141758283,229.71316830343895,5.542032718658447,True
medium_1mm_r2,ball4,20260905_passA_ball4,0.1746186227855766,233.5881149589608,5.521561622619629,True
medium_1mm_r2,ball4,20260905_passA_ball4,0.2747362384711316,86.59161436851362,4.583157539367676,True
medium_1mm_r2,ball4,20260905_passA_ball4,0.3723408209212913,158.13017238672023,5.289242744445801,True
medium_1mm_r2,ball4,20260905_passA_ball4,0.4719547343011285,200.71198069726816,6.256015777587891,True
medium_1mm_r2,ball4,20260905_passA_ball4,0.5719744990731535,241.74980525925704,7.127769470214844,True
hard_2mm_r1,ball4,20260905_passA_ball4,0.0786197147333283,0.0,0.0,False
hard_2mm_r1,ball4,20260905_passA_ball4,0.1814089138860488,0.0,0.0,False
hard_2mm_r1,ball4,20260905_passA_ball4,0.2806992507365251,126.31296344823964,6.407534122467041,False
hard_2mm_r1,ball4,20260905_passA_ball4,0.3786666632657862,197.1792147718236,7.768536567687988,False
hard_2mm_r1,ball4,20260905_passA_ball4,0.4809223025644975,248.1741656528214,8.983796119689941,False
hard_2mm_r1,ball4,20260905_passA_ball4,0.5855491313303673,296.5169194534132,9.848236083984377,False
hard_3mm_r1,ball4,20260905_passA_ball4,0.0752615327215551,0.0,0.0,False
hard_3mm_r1,ball4,20260905_passA_ball4,0.1795010738186384,0.0,0.0,False
hard_3mm_r1,ball4,20260905_passA_ball4,0.2834831268932909,0.0,0.0,False
hard_3mm_r1,ball4,20260905_passA_ball4,0.38345766309439,29.790064831759068,8.582025527954102,False
hard_3mm_r1,ball4,20260905_passA_ball4,0.4791925906925414,129.5672157504865,9.116392135620115,False
hard_3mm_r1,ball4,20260905_passA_ball4,0.5794468820760237,194.54971587319832,9.911972999572754,False
soft_3mm_r1,ball4,20260905_passA_ball4,0.0772030335867519,0.0,0.0,False
soft_3mm_r1,ball4,20260905_passA_ball4,0.1789656491685924,0.0,0.0,False
soft_3mm_r1,ball4,20260905_passA_ball4,0.2793804476875365,22.567583341910247,7.690468788146973,False
soft_3mm_r1,ball4,20260905_passA_ball4,0.3845868682859645,98.91194397920297,8.243006706237793,False
soft_3mm_r1,ball4,20260905_passA_ball4,0.4842214947415542,162.0707617304442,9.533562660217283,False
soft_3mm_r1,ball4,20260905_passA_ball4,0.5836971195964367,200.02887964817103,11.04200839996338,False
medium_3mm_r2,ball4,20260905_passA_ball4,0.0819663376872448,0.0,0.0,False
medium_3mm_r2,ball4,20260905_passA_ball4,0.1732794037865623,0.0,0.0,False
medium_3mm_r2,ball4,20260905_passA_ball4,0.2770347232449737,0.0,0.0,False
medium_3mm_r2,ball4,20260905_passA_ball4,0.3759552820844192,23.642169108157916,7.622392654418945,False
medium_3mm_r2,ball4,20260905_passA_ball4,0.4747288733133423,112.40265122499122,8.359918594360352,False
medium_3mm_r2,ball4,20260905_passA_ball4,0.5832936258201293,171.65462284558822,9.73690700531006,False
medium_3mm_r1,ball4,20260905_passA_ball4,0.0911776608013958,0.0,0.0,False
medium_3mm_r1,ball4,20260905_passA_ball4,0.1918378802231259,0.0,0.0,False
medium_3mm_r1,ball4,20260905_passA_ball4,0.2810156234522516,0.0,0.0,False
medium_3mm_r1,ball4,20260905_passA_ball4,0.387163499034493,0.0,0.0,False
medium_3mm_r1,ball4,20260905_passA_ball4,0.4994499898866174,0.0,0.0,False
