width_px,mae_N,R,principle,measure,n_units
8,0.0828201249241828,0.1364847257554724,9DTact,fz_mae,9
16,0.0679261609911918,0.5459389030218897,9DTact,fz_mae,9
32,0.0584669895470142,2.183755612087559,9DTact,fz_mae,9
48,0.0509831011295318,4.913450127197007,9DTact,fz_mae,9
80,0.0485623404383659,13.648472575547242,9DTact,fz_mae,9
160,0.0524741038680076,54.59389030218897,9DTact,fz_mae,9
320,0.0473864451050758,218.37556120875587,9DTact,fz_mae,9
426,0.0502798371016979,387.01097017500166,9DTact,fz_mae,9
640,0.0471390560269355,873.5022448350235,9DTact,fz_mae,9
854,0.0506737753748893,1555.3202226418462,9DTact,fz_mae,9
1280,0.0476368144154548,3494.008979340094,9DTact,fz_mae,9
1920,0.0566780753433704,7861.5202035152115,9DTact,fz_mae,9
