principle,width_px,density_px_per_mm2,lo,hi,res_mae_exact,fz_share
9DTact,8,0.1364847257554724,0.1016884164381858,0.164001554250717,0.1308180838823318,0.6899794832243068
9DTact,16,0.5459389030218897,0.0829568270904711,0.1274988707154987,0.0903895944356918,0.6747558006542158
9DTact,32,2.183755612087559,0.0701036137391714,0.1131003536283969,0.0797955393791198,0.6955696976279785
9DTact,48,4.913450127197007,0.0655744297885939,0.1095756348222493,0.0788074359297752,0.7019978277193898
9DTact,80,13.648472575547242,0.0597176770973097,0.0976577326655386,0.0739253610372543,0.6612922089060899
9DTact,160,54.59389030218897,0.0702165758702171,0.1175993550568817,0.0728072300553321,0.6342381538157127
9DTact,320,218.37556120875587,0.0648487543583988,0.1048681214451787,0.0716407895088195,0.557453789436949
9DTact,426,387.01097017500166,0.0672762746670541,0.113687703385949,0.0743626654148101,0.5478081548802435
9DTact,640,873.5022448350235,0.0577805519264293,0.0958961136639117,0.0734978392720222,0.5668946988648338
9DTact,854,1555.3202226418462,0.0669553040998363,0.1111401896923779,0.0745505988597869,0.5111882366297004
9DTact,1280,3494.008979340094,0.0649180765908231,0.106589376926422,0.0752326026558876,0.6337924031782729
9DTact,1920,7861.5202035152115,0.0707280576898702,0.1164696291089056,0.0800806805491447,0.5272548837596466
DIGIT,8,0.1832714063117097,0.1562990901989928,0.2532581984996795,0.1663879603147506,0.7107956810720307
DIGIT,16,0.7330856252468388,0.1058154114326773,0.1709467507898805,0.1140839383006095,0.6632770401055043
DIGIT,32,2.9323425009873554,0.0869754868484991,0.1447618231177329,0.0927156060934066,0.6850532194058832
DIGIT,48,6.597770627221551,0.080082005045719,0.1252463497221468,0.0926761031150817,0.7375544179282854
DIGIT,80,18.327140631170973,0.0725658406471168,0.120237562805414,0.0884255766868591,0.661623139264396
DIGIT,160,73.3085625246839,0.0846640151654859,0.1344745419919489,0.0996937006711959,0.6756841844186807
DIGIT,320,293.2342500987356,0.0880036015172193,0.1404071934521196,0.0974715501070022,0.6581736443581906
DIGIT,426,519.6775270597474,0.0778379553111902,0.1295000053942201,0.0903829708695411,0.6306477231752987
DIGIT,640,1172.9370003949423,0.0853342908163783,0.1340930573642253,0.1044824868440628,0.6616111902010126
DIGIT,854,2088.480765087983,0.0873143116202641,0.1457804292440413,0.1018745228648185,0.6043585524584978
DIGIT,1280,4691.748001579769,0.0837273096689989,0.1365754865109918,0.094765804708004,0.6639644032599155
DIGIT,1920,10556.43300355448,0.0897044790988737,0.1503530703485011,0.1047687530517578,0.5809738842029598
DIGIT_Marker,8,0.22572001,0.1719965736954185,0.2770729325711727,0.2213998585939407,0.6892323818281553
DIGIT_Marker,16,0.90288004,0.115836473152712,0.1939505860209462,0.1292897462844848,0.7531058185933144
DIGIT_Marker,32,3.61152016,0.1228840107007124,0.1813497282564637,0.1475400328636169,0.7771489106679842
DIGIT_Marker,48,8.12592036,0.1224722599479203,0.166091203689575,0.1267584264278412,0.7854346360489565
DIGIT_Marker,80,22.572001000000004,0.1123100687213545,0.1519791446626185,0.1153530105948448,0.7957616494613867
DIGIT_Marker,160,90.28800400000002,0.1104766970188083,0.1538158673793076,0.105846107006073,0.7937262747858888
DIGIT_Marker,320,361.15201600000006,0.0949482988652207,0.1520493887364863,0.126675546169281,0.790087208007523
DIGIT_Marker,426,640.0431958556251,0.1294660579569275,0.1944988463073968,0.1350220143795013,0.7858487328688023
DIGIT_Marker,640,1444.6080640000002,0.1075399693488843,0.1706377491354941,0.1299709230661392,0.7193546233671562
DIGIT_Marker,854,2572.2064814556247,0.1203805695040021,0.1661379784345625,0.1308653801679611,0.8027620882346056
DIGIT_Marker,1280,5778.432256000001,0.1050376290534229,0.1700545921921729,0.1197466850280761,0.8156824740228805
DIGIT_Marker,1920,13001.472576000004,0.104472696587202,0.1642502620816229,0.1156447827816009,0.8161429563181
