thickness_mm,px,delta_intensity,decision_floor
3,136.0,2.9720511,2.5
3,137.0,2.9494545,2.5
3,138.0,2.8721707,2.5
3,139.0,2.7532713,2.5
3,140.0,2.6175473,2.5
3,141.0,2.489766,2.5
3,142.0,2.3871076,2.5
3,143.0,2.3185577,2.5
3,144.0,2.2880442,2.5
3,145.0,2.2960281,2.5
3,146.0,2.3374972,2.5
3,147.0,2.3988636,2.5
3,148.0,2.4579265,2.5
3,149.0,2.4882762,2.5
3,150.0,2.4665275,2.5
3,151.0,2.379645,2.5
3,152.0,2.2299094,2.5
3,153.0,2.035546,2.5
3,154.0,1.8263272,2.5
3,155.0,1.6347322,2.5
3,156.0,1.4860924,2.5
3,157.0,1.3919678,2.5
3,158.0,1.348515,2.5
3,159.0,1.3400364,2.5
3,160.0,1.3453618,2.5
3,161.0,1.3448387,2.5
3,162.0,1.3261554,2.5
3,163.0,1.2878017,2.5
3,164.0,1.2392292,2.5
3,165.0,1.1973141,2.5
3,166.0,1.1799619,2.5
3,167.0,1.1987954,2.5
3,168.0,1.2542056,2.5
3,169.0,1.3348639,2.5
3,170.0,1.4223386,2.5
3,171.0,1.4985975,2.5
3,172.0,1.5526762,2.5
3,173.0,1.5835817,2.5
3,174.0,1.5983082,2.5
3,175.0,1.606625,2.5
3,176.0,1.6154958,2.5
3,177.0,1.6256882,2.5
3,178.0,1.63139,2.5
3,179.0,1.6232041,2.5
3,180.0,1.5931818,2.5
3,181.0,1.5405395,2.5
3,182.0,1.474872,2.5
3,183.0,1.415017,2.5
3,184.0,1.3834896,2.5
3,185.0,1.3978763,2.5
3,186.0,1.4629931,2.5
3,187.0,1.5665064,2.5
3,188.0,1.6812197,2.5
3,189.0,1.7743087,2.5
3,190.0,1.8207443,2.5
3,191.0,1.8145684,2.5
3,192.0,1.7717313,2.5
3,193.0,1.7221594,2.5
3,194.0,1.6956668,2.5
3,195.0,1.7092475,2.5
3,196.0,1.7619151,2.5
3,197.0,1.838009,2.5
3,198.0,1.9159192,2.5
3,199.0,1.9778725,2.5
3,200.0,2.0172317,2.5
3,201.0,2.0410957,2.5
3,202.0,2.0667648,2.5
3,203.0,2.1126137,2.5
3,204.0,2.1865156,2.5
3,205.0,2.2781897,2.5
3,206.0,2.3608153,2.5
3,207.0,2.4034846,2.5
3,208.0,2.3876493,2.5
3,209.0,2.3177226,2.5
3,210.0,2.2192726,2.5
3,211.0,2.1255612,2.5
3,212.0,2.0618632,2.5
3,213.0,2.0364847,2.5
3,214.0,2.0425813,2.5
3,215.0,2.0676515,2.5
3,216.0,2.1025572,2.5
3,217.0,2.1445744,2.5
3,218.0,2.1939836,2.5
3,219.0,2.24882,2.5
3,220.0,2.3026946,2.5
3,221.0,2.3470428,2.5
3,222.0,2.3750753,2.5
3,223.0,2.384483,2.5
3,224.0,2.3775604,2.5
3,225.0,2.3599594,2.5
3,226.0,2.339972,2.5
3,227.0,2.3282816,2.5
3,228.0,2.3372917,2.5
3,229.0,2.3790903,2.5
3,230.0,2.4620042,2.5
3,231.0,2.5866249,2.5
3,232.0,2.7424588,2.5
3,233.0,2.9071317,2.5
3,234.0,3.049753,2.5
3,235.0,3.1383147,2.5
3,236.0,3.1486826,2.5
3,237.0,3.0712733,2.5
3,238.0,2.9132457,2.5
3,239.0,2.6969445,2.5
