thickness_mm,px,delta_intensity,decision_floor
1,-79.0,4.007841,2.5
1,-78.0,4.131731,2.5
1,-77.0,4.250761,2.5
1,-76.0,4.338749,2.5
1,-75.0,4.385983,2.5
1,-74.0,4.4024115,2.5
1,-73.0,4.4096136,2.5
1,-72.0,4.426959,2.5
1,-71.0,4.461789,2.5
1,-70.0,4.5086594,2.5
1,-69.0,4.5567064,2.5
1,-68.0,4.5990276,2.5
1,-67.0,4.6385293,2.5
1,-66.0,4.6881404,2.5
1,-65.0,4.766086,2.5
1,-64.0,4.8886185,2.5
1,-63.0,5.06378,2.5
1,-62.0,5.288891,2.5
1,-61.0,5.551968,2.5
1,-60.0,5.834895,2.5
1,-59.0,6.1151314,2.5
1,-58.0,6.365393,2.5
1,-57.0,6.5541887,2.5
1,-56.0,6.651112,2.5
1,-55.0,6.6362824,2.5
1,-54.0,6.5097756,2.5
1,-53.0,6.295341,2.5
1,-52.0,6.0361705,2.5
1,-51.0,5.7845397,2.5
1,-50.0,5.589276,2.5
1,-49.0,5.485061,2.5
1,-48.0,5.4869723,2.5
1,-47.0,5.591359,2.5
1,-46.0,5.7817492,2.5
1,-45.0,6.036352,2.5
1,-44.0,6.3325744,2.5
1,-43.0,6.646717,2.5
1,-42.0,6.950998,2.5
1,-41.0,7.212369,2.5
1,-40.0,7.3969707,2.5
1,-39.0,7.4801354,2.5
1,-38.0,7.4580584,2.5
1,-37.0,7.3545723,2.5
1,-36.0,7.217797,2.5
1,-35.0,7.1054816,2.5
1,-34.0,7.064646,2.5
1,-33.0,7.1145844,2.5
1,-32.0,7.241705,2.5
1,-31.0,7.4087195,2.5
1,-30.0,7.573428,2.5
1,-29.0,7.7074594,2.5
1,-28.0,7.806581,2.5
1,-27.0,7.888953,2.5
1,-26.0,7.98386,2.5
1,-25.0,8.117383,2.5
1,-24.0,8.301944,2.5
1,-23.0,8.532242,2.5
1,-22.0,8.788181,2.5
1,-21.0,9.04125,2.5
1,-20.0,9.261716,2.5
1,-19.0,9.423912,2.5
1,-18.0,9.509154,2.5
1,-17.0,9.506541,2.5
1,-16.0,9.413472,2.5
1,-15.0,9.236652,2.5
1,-14.0,8.993469,2.5
1,-13.0,8.711172,2.5
1,-12.0,8.422724,2.5
1,-11.0,8.159469,2.5
1,-10.0,7.944159,2.5
1,-9.0,7.787931,2.5
1,-8.0,7.692856,2.5
1,-7.0,7.6565948,2.5
1,-6.0,7.674301,2.5
1,-5.0,7.7351723,2.5
1,-4.0,7.817482,2.5
1,-3.0,7.8886685,2.5
1,-2.0,7.914263,2.5
1,-1.0,7.872027,2.5
1,0.0,7.7630124,2.5
1,1.0,7.6125007,2.5
1,2.0,7.4610524,2.5
1,3.0,7.350253,2.5
1,4.0,7.3097134,2.5
1,5.0,7.348433,2.5
1,6.0,7.4524627,2.5
1,7.0,7.5892878,2.5
1,8.0,7.7192087,2.5
1,9.0,7.810272,2.5
1,10.0,7.8506074,2.5
1,11.0,7.8520865,2.5
1,12.0,7.843924,2.5
1,13.0,7.859736,2.5
1,14.0,7.924468,2.5
1,15.0,8.04632,2.5
1,16.0,8.215756,2.5
1,17.0,8.410375,2.5
1,18.0,8.6028805,2.5
1,19.0,8.769012,2.5
1,20.0,8.892041,2.5
1,21.0,8.963129,2.5
1,22.0,8.977976,2.5
1,23.0,8.932694,2.5
1,24.0,8.821856,2.5
1,25.0,8.640543,2.5
1,26.0,8.389704,2.5
1,27.0,8.081811,2.5
1,28.0,7.742943,2.5
1,29.0,7.409334,2.5
1,30.0,7.119268,2.5
1,31.0,6.9039164,2.5
1,32.0,6.780627,2.5
1,33.0,6.749503,2.5
1,34.0,6.7927155,2.5
1,35.0,6.8760133,2.5
1,36.0,6.9534736,2.5
1,37.0,6.9773045,2.5
1,38.0,6.9116883,2.5
1,39.0,6.74654,2.5
1,40.0,6.504747,2.5
1,41.0,6.237444,2.5
1,42.0,6.007422,2.5
1,43.0,5.866661,2.5
1,44.0,5.837775,2.5
1,45.0,5.9077992,2.5
1,46.0,6.0358515,2.5
1,47.0,6.169626,2.5
1,48.0,6.2622414,2.5
1,49.0,6.2830186,2.5
1,50.0,6.220666,2.5
1,51.0,6.080866,2.5
1,52.0,5.8813567,2.5
1,53.0,5.647174,2.5
1,54.0,5.4066358,2.5
1,55.0,5.1878395,2.5
1,56.0,5.0143332,2.5
1,57.0,4.8996463,2.5
1,58.0,4.8420243,2.5
1,59.0,4.8233576,2.5
1,60.0,4.8151336,2.5
1,61.0,4.789843,2.5
1,62.0,4.7317567,2.5
1,63.0,4.6417146,2.5
1,64.0,4.533882,2.5
1,65.0,4.4275312,2.5
1,66.0,4.338325,2.5
1,67.0,4.2716594,2.5
1,68.0,4.2198453,2.5
1,69.0,4.1641927,2.5
1,70.0,4.0817456,2.5
1,71.0,3.9539895,2.5
1,72.0,3.7737873,2.5
1,73.0,3.54716,2.5
1,74.0,3.2898378,2.5
1,75.0,3.0216734,2.5
1,76.0,2.7620165,2.5
1,77.0,2.5272303,2.5
1,78.0,2.3297627,2.5
1,79.0,2.178166,2.5
1,80.0,2.0771472,2.5
1,81.0,2.0267954,2.5
1,82.0,2.020837,2.5
1,83.0,2.0458739,2.5
1,84.0,2.0830712,2.5
1,85.0,2.113025,2.5
1,86.0,2.1217883,2.5
1,87.0,2.1048653,2.5
1,88.0,2.0673087,2.5
1,89.0,2.0206954,2.5
1,90.0,1.9789929,2.5
1,91.0,1.9546543,2.5
1,92.0,1.9552867,2.5
1,93.0,1.9811243,2.5
1,94.0,2.0240054,2.5
1,95.0,2.069433,2.5
1,96.0,2.101101,2.5
1,97.0,2.1063173,2.5
1,98.0,2.0799625,2.5
1,99.0,2.0254374,2.5
1,100.0,1.9520804,2.5
1,101.0,1.871353,2.5
1,102.0,1.7937416,2.5
1,103.0,1.7276938,2.5
1,104.0,1.6803327,2.5
1,105.0,1.6577089,2.5
1,106.0,1.6638732,2.5
1,107.0,1.6986214,2.5
1,108.0,1.7556136,2.5
1,109.0,1.8225887,2.5
1,110.0,1.8842124,2.5
1,111.0,1.926389,2.5
1,112.0,1.9407002,2.5
1,113.0,1.9267769,2.5
1,114.0,1.8918262,2.5
1,115.0,1.8471254,2.5
1,116.0,1.8033351,2.5
1,117.0,1.7672722,2.5
1,118.0,1.7417594,2.5
1,119.0,1.7283149,2.5
1,120.0,1.7300872,2.5
1,121.0,1.7527516,2.5
1,122.0,1.8021438,2.5
1,123.0,1.879305,2.5
1,124.0,1.9754567,2.5
1,125.0,2.0706933,2.5
1,126.0,2.1388135,2.5
1,127.0,2.158089,2.5
1,128.0,2.122858,2.5
1,129.0,2.048542,2.5
1,130.0,1.9661094,2.5
1,131.0,1.907623,2.5
1,132.0,1.8913555,2.5
1,133.0,1.9138821,2.5
1,134.0,1.9535377,2.5
1,135.0,1.9823495,2.5
1,136.0,1.9801155,2.5
1,137.0,1.9432814,2.5
1,138.0,1.8848159,2.5
1,139.0,1.8256291,2.5
1,140.0,1.7826194,2.5
1,141.0,1.7600093,2.5
1,142.0,1.7482549,2.5
1,143.0,1.730864,2.5
1,144.0,1.6949883,2.5
1,145.0,1.6393242,2.5
1,146.0,1.5752366,2.5
1,147.0,1.5210294,2.5
1,148.0,1.4935406,2.5
1,149.0,1.5020895,2.5
1,150.0,1.5471653,2.5
1,151.0,1.6226795,2.5
1,152.0,1.718715,2.5
1,153.0,1.822977,2.5
1,154.0,1.9215802,2.5
1,155.0,2.0003252,2.5
1,156.0,2.046691,2.5
1,157.0,2.0512974,2.5
1,158.0,2.0090232,2.5
1,159.0,1.9201058,2.5
1,160.0,1.7919408,2.5
1,161.0,1.6397204,2.5
1,162.0,1.4837699,2.5
1,163.0,1.3439176,2.5
1,164.0,1.2339079,2.5
1,165.0,1.1594838,2.5
1,166.0,1.1203506,2.5
1,167.0,1.1134036,2.5
1,168.0,1.1338768,2.5
1,169.0,1.1737196,2.5
1,170.0,1.2200198,2.5
1,171.0,1.2561231,2.5
1,172.0,1.2665197,2.5
1,173.0,1.243188,2.5
1,174.0,1.189726,2.5
1,175.0,1.1208645,2.5
1,176.0,1.0572147,2.5
1,177.0,1.0174923,2.5
1,178.0,1.0115306,2.5
1,179.0,1.0371122,2.5
1,180.0,1.0820596,2.5
1,181.0,1.1301839,2.5
1,182.0,1.1681004,2.5
1,183.0,1.1893536,2.5
1,184.0,1.1943961,2.5
1,185.0,1.187632,2.5
1,186.0,1.174416,2.5
1,187.0,1.1598549,2.5
1,188.0,1.1492128,2.5
1,189.0,1.1481507,2.5
1,190.0,1.1618116,2.5
1,191.0,1.1928339,2.5
1,192.0,1.2397397,2.5
1,193.0,1.2967849,2.5
1,194.0,1.3553559,2.5
1,195.0,1.4060909,2.5
1,196.0,1.4408596,2.5
1,197.0,1.4542426,2.5
1,198.0,1.4445792,2.5
1,199.0,1.4143404,2.5
1,200.0,1.3695709,2.5
1,201.0,1.318178,2.5
1,202.0,1.2676034,2.5
1,203.0,1.2231818,2.5
1,204.0,1.1881702,2.5
1,205.0,1.1652092,2.5
1,206.0,1.157884,2.5
1,207.0,1.1701149,2.5
1,208.0,1.2034857,2.5
1,209.0,1.2541156,2.5
1,210.0,1.3122202,2.5
1,211.0,1.3650354,2.5
1,212.0,1.401668,2.5
1,213.0,1.4169143,2.5
1,214.0,1.4125177,2.5
1,215.0,1.3960202,2.5
1,216.0,1.3785386,2.5
1,217.0,1.3716769,2.5
1,218.0,1.383609,2.5
1,219.0,1.4153974,2.5
1,220.0,1.4591947,2.5
1,221.0,1.5003936,2.5
1,222.0,1.523273,2.5
1,223.0,1.5181305,2.5
1,224.0,1.4864964,2.5
1,225.0,1.4417628,2.5
1,226.0,1.404519,2.5
1,227.0,1.39419,2.5
1,228.0,1.420644,2.5
1,229.0,1.4797632,2.5
1,230.0,1.555347,2.5
1,231.0,1.6262802,2.5
1,232.0,1.6751994,2.5
1,233.0,1.6942229,2.5
1,234.0,1.6853801,2.5
1,235.0,1.6564331,2.5
1,236.0,1.6156973,2.5
1,237.0,1.5688902,2.5
1,238.0,1.5190858,2.5
1,239.0,1.4684458,2.5
3,-240.0,2.3198557,2.5
3,-239.0,2.3249629,2.5
3,-238.0,2.3056464,2.5
3,-237.0,2.2662182,2.5
3,-236.0,2.220864,2.5
3,-235.0,2.1892502,2.5
3,-234.0,2.1907682,2.5
3,-233.0,2.2376926,2.5
3,-232.0,2.329085,2.5
3,-231.0,2.4478428,2.5
3,-230.0,2.564104,2.5
3,-229.0,2.6456823,2.5
3,-228.0,2.6706212,2.5
3,-227.0,2.6350648,2.5
3,-226.0,2.5521822,2.5
3,-225.0,2.4435232,2.5
3,-224.0,2.32921,2.5
3,-223.0,2.2225304,2.5
3,-222.0,2.1304266,2.5
3,-221.0,2.057311,2.5
3,-220.0,2.0083218,2.5
3,-219.0,1.9890951,2.5
3,-218.0,2.0030394,2.5
3,-217.0,2.0484178,2.5
3,-216.0,2.1181777,2.5
3,-215.0,2.2028399,2.5
3,-214.0,2.294597,2.5
3,-213.0,2.3901799,2.5
3,-212.0,2.4914486,2.5
3,-211.0,2.6043143,2.5
3,-210.0,2.7364523,2.5
3,-209.0,2.8933048,2.5
3,-208.0,3.0730927,2.5
3,-207.0,3.2622018,2.5
3,-206.0,3.4353173,2.5
3,-205.0,3.5622919,2.5
3,-204.0,3.619421,2.5
3,-203.0,3.5998569,2.5
3,-202.0,3.517923,2.5
3,-201.0,3.4055817,2.5
3,-200.0,3.3019986,2.5
3,-199.0,3.2399905,2.5
3,-198.0,3.233664,2.5
3,-197.0,3.2716193,2.5
3,-196.0,3.3203733,2.5
3,-195.0,3.3382118,2.5
3,-194.0,3.2944114,2.5
3,-193.0,3.1838353,2.5
3,-192.0,3.0289555,2.5
3,-191.0,2.8682609,2.5
3,-190.0,2.738651,2.5
3,-189.0,2.6612494,2.5
3,-188.0,2.6373177,2.5
3,-187.0,2.6536508,2.5
3,-186.0,2.6928241,2.5
3,-185.0,2.7421753,2.5
3,-184.0,2.796545,2.5
3,-183.0,2.8540487,2.5
3,-182.0,2.9094975,2.5
3,-181.0,2.95125,2.5
3,-180.0,2.9650867,2.5
3,-179.0,2.9422362,2.5
3,-178.0,2.8853116,2.5
3,-177.0,2.8078058,2.5
3,-176.0,2.728128,2.5
3,-175.0,2.6628203,2.5
3,-174.0,2.6221125,2.5
3,-173.0,2.6083121,2.5
3,-172.0,2.6157663,2.5
3,-171.0,2.631485,2.5
3,-170.0,2.6387205,2.5
3,-169.0,2.6234894,2.5
3,-168.0,2.5817642,2.5
3,-167.0,2.523397,2.5
3,-166.0,2.4691207,2.5
3,-165.0,2.4410865,2.5
3,-164.0,2.45182,2.5
3,-163.0,2.4974022,2.5
3,-162.0,2.5588026,2.5
3,-161.0,2.6101758,2.5
3,-160.0,2.629384,2.5
3,-159.0,2.6059918,2.5
3,-158.0,2.544077,2.5
3,-157.0,2.4601023,2.5
3,-156.0,2.377757,2.5
3,-155.0,2.3217883,2.5
3,-154.0,2.3120587,2.5
3,-153.0,2.3582108,2.5
3,-152.0,2.456014,2.5
3,-151.0,2.5859303,2.5
3,-150.0,2.7168486,2.5
3,-149.0,2.8151243,2.5
3,-148.0,2.8570185,2.5
3,-147.0,2.8379061,2.5
3,-146.0,2.7735684,2.5
3,-145.0,2.6921692,2.5
3,-144.0,2.6220796,2.5
3,-143.0,2.581863,2.5
3,-142.0,2.5762825,2.5
3,-141.0,2.5978131,2.5
3,-140.0,2.6308956,2.5
3,-139.0,2.6574259,2.5
3,-138.0,2.6626294,2.5
3,-137.0,2.639607,2.5
3,-136.0,2.5909538,2.5
3,-135.0,2.526436,2.5
3,-134.0,2.4584398,2.5
3,-133.0,2.3980882,2.5
3,-132.0,2.353231,2.5
3,-131.0,2.3284233,2.5
3,-130.0,2.3253212,2.5
3,-129.0,2.3430452,2.5
3,-128.0,2.379415,2.5
3,-127.0,2.4323719,2.5
3,-126.0,2.5013058,2.5
3,-125.0,2.585953,2.5
3,-124.0,2.6837473,2.5
3,-123.0,2.787289,2.5
3,-122.0,2.8852215,2.5
3,-121.0,2.9660203,2.5
3,-120.0,3.0225685,2.5
3,-119.0,3.0534785,2.5
3,-118.0,3.0605814,2.5
3,-117.0,3.0451677,2.5
3,-116.0,3.0080802,2.5
3,-115.0,2.9536526,2.5
3,-114.0,2.8931189,2.5
3,-113.0,2.8420043,2.5
3,-112.0,2.81225,2.5
3,-111.0,2.8038177,2.5
3,-110.0,2.8037395,2.5
3,-109.0,2.7930157,2.5
3,-108.0,2.7572563,2.5
3,-107.0,2.6938775,2.5
3,-106.0,2.612297,2.5
3,-105.0,2.528717,2.5
3,-104.0,2.4592571,2.5
3,-103.0,2.414687,2.5
3,-102.0,2.3988755,2.5
3,-101.0,2.410174,2.5
3,-100.0,2.4445488,2.5
3,-99.0,2.4985566,2.5
3,-98.0,2.569873,2.5
3,-97.0,2.6550043,2.5
3,-96.0,2.7452896,2.5
3,-95.0,2.8248687,2.5
3,-94.0,2.8738883,2.5
3,-93.0,2.8764467,2.5
3,-92.0,2.8299294,2.5
3,-91.0,2.7494028,2.5
3,-90.0,2.6642044,2.5
3,-89.0,2.6063702,2.5
3,-88.0,2.5966089,2.5
3,-87.0,2.634265,2.5
3,-86.0,2.6976025,2.5
3,-85.0,2.7543669,2.5
3,-84.0,2.7776606,2.5
3,-83.0,2.7582855,2.5
3,-82.0,2.707142,2.5
3,-81.0,2.646632,2.5
3,-80.0,2.5978992,2.5
3,-79.0,2.571849,2.5
3,-78.0,2.5682545,2.5
3,-77.0,2.5810995,2.5
3,-76.0,2.6051404,2.5
3,-75.0,2.639291,2.5
3,-74.0,2.6864917,2.5
3,-73.0,2.751206,2.5
3,-72.0,2.8362768,2.5
3,-71.0,2.9403574,2.5
3,-70.0,3.0556107,2.5
3,-69.0,3.1677656,2.5
3,-68.0,3.2600152,2.5
3,-67.0,3.320021,2.5
3,-66.0,3.346503,2.5
3,-65.0,3.3490634,2.5
3,-64.0,3.341425,2.5
3,-63.0,3.3320546,2.5
3,-62.0,3.3193057,2.5
3,-61.0,3.2936754,2.5
3,-60.0,3.2444885,2.5
3,-59.0,3.1661942,2.5
3,-58.0,3.0606573,2.5
3,-57.0,2.9363987,2.5
3,-56.0,2.8078203,2.5
3,-55.0,2.6947079,2.5
3,-54.0,2.6207776,2.5
3,-53.0,2.6084957,2.5
3,-52.0,2.6707168,2.5
3,-51.0,2.8023405,2.5
3,-50.0,2.9767551,2.5
3,-49.0,3.1502748,2.5
3,-48.0,3.2751482,2.5
3,-47.0,3.3152666,2.5
3,-46.0,3.258358,2.5
3,-45.0,3.1186857,2.5
3,-44.0,2.9302347,2.5
3,-43.0,2.7343307,2.5
3,-42.0,2.5674086,2.5
3,-41.0,2.4521918,2.5
3,-40.0,2.3949592,2.5
3,-39.0,2.3874528,2.5
3,-38.0,2.4129124,2.5
3,-37.0,2.453182,2.5
3,-36.0,2.494631,2.5
3,-35.0,2.5311034,2.5
3,-34.0,2.5643115,2.5
3,-33.0,2.602677,2.5
3,-32.0,2.658766,2.5
3,-31.0,2.7437015,2.5
3,-30.0,2.8590653,2.5
3,-29.0,2.9900727,2.5
3,-28.0,3.106168,2.5
3,-27.0,3.1713712,2.5
3,-26.0,3.160633,2.5
3,-25.0,3.0727127,2.5
3,-24.0,2.9321578,2.5
3,-23.0,2.778789,2.5
3,-22.0,2.6512144,2.5
3,-21.0,2.5720205,2.5
