principle,split,group_spread,unit_spread,ratio,knee_R_median
9DTact,thickness_mm,0.0128310490399599,0.03785120230168104,0.33898656475147293,
9DTact,hardness,0.015230013057589545,0.03785120230168104,0.40236537101790165,17.31653342341389
DIGIT,thickness_mm,0.024711025878787055,0.0477555505931378,0.5174482457404206,
DIGIT,hardness,0.0136422589421272,0.0477555505931378,0.2856685510414263,13.25404262367186
DIGIT_Marker,thickness_mm,0.049792431294918046,0.08129173517227173,0.6125152967813884,
DIGIT_Marker,hardness,0.05466556549072265,0.08129173517227173,0.6724615408303998,23.04
