principle,rho_thickness,p_exact,p_asymptotic,rho_hardness,p_hardness,n_units
9DTact,0.6324555320336758,0.08928571428571429,0.06758329382337001,0.3689323936863109,0.3285303518243947,9
DIGIT,-0.8959786703810407,0.0035714285714285713,0.00107821821722798,0.05270462766947298,0.892879242924744,9
DIGIT_Marker,-0.5270462766947299,0.16785714285714284,0.14483925554394783,-0.10540925533894596,0.7872404144981763,9
