task,probe,rung,R,med,lo,hi,n,required_R,unit_measure
force_fz,ball8,8,0.1364847257554724,0.0828201249241828,0.0766839459538459,0.0875523388385772,9,4.913450127197007,N
force_fz,ball8,16,0.5459389030218897,0.0679261609911918,0.0503467433154583,0.0757422372698783,9,4.913450127197007,N
force_fz,ball8,32,2.183755612087559,0.0584669895470142,0.0539974123239517,0.0651108473539352,9,4.913450127197007,N
force_fz,ball8,48,4.913450127197007,0.0509831011295318,0.0460645444691181,0.06044777110219,9,4.913450127197007,N
force_fz,ball8,80,13.648472575547242,0.0485623404383659,0.0449190288782119,0.0566990561783313,9,4.913450127197007,N
force_fz,ball8,160,54.59389030218897,0.0524741038680076,0.0441508889198303,0.0571305565536022,9,4.913450127197007,N
force_fz,ball8,320,218.37556120875587,0.0473864451050758,0.0368035361170768,0.0545633621513843,9,4.913450127197007,N
force_fz,ball8,426,387.01097017500166,0.0502798371016979,0.042702279984951,0.0531133748590946,9,4.913450127197007,N
force_fz,ball8,640,873.5022448350235,0.0471390560269355,0.0398247055709362,0.0526126995682716,9,4.913450127197007,N
force_fz,ball8,854,1555.3202226418462,0.0506737753748893,0.0441516377031803,0.0533271059393882,9,4.913450127197007,N
force_fz,ball8,1280,3494.008979340094,0.0476368144154548,0.0428206585347652,0.049860306084156,9,4.913450127197007,N
force_fz,ball8,1920,7861.5202035152115,0.0566780753433704,0.0446228422224521,0.0593935921788215,9,4.913450127197007,N
shape_depth,cyl4,0,0.4700433639337182,0.206390784335303,0.1527005703383045,0.3425060185455272,9,47.00433639337182,mm
shape_depth,cyl4,1,1.880173455734873,0.1117673601320725,0.0905720622952648,0.2131045292373604,9,47.00433639337182,mm
shape_depth,cyl4,2,4.230390275403463,0.0675549121876087,0.0386361875129104,0.094495671445867,9,47.00433639337182,mm
shape_depth,cyl4,3,11.751084098342956,0.0721858997156417,0.0461830794968984,0.0826581618951118,9,47.00433639337182,mm
shape_depth,cyl4,4,47.00433639337182,0.0619108522384856,0.0474072009370035,0.0831574029410364,9,47.00433639337182,mm
shape_depth,cyl4,5,188.0173455734873,0.0632426836622255,0.0556175117055487,0.0841713451984653,9,47.00433639337182,mm
shape_depth,cyl4,6,333.20933403607586,0.0610125139578608,0.0594407955457233,0.0846920577167915,9,47.00433639337182,mm
shape_depth,cyl4,7,752.0693822939492,0.0668892426053994,0.0633141287567887,0.0737960689502112,9,47.00433639337182,mm
shape_depth,cyl4,8,1339.1021328542329,0.0819346495834629,0.0516384695783453,0.0876344997069086,9,47.00433639337182,mm
shape_depth,cyl4,9,3008.2775291757966,0.0913212912036038,0.0674730640800799,0.1044401621397196,9,47.00433639337182,mm
shape_depth,cyl4,10,6768.624440645542,0.1071043099207322,0.0796228049184221,0.1227429752447818,9,47.00433639337182,mm
shape_depth,cube4,0,0.4700433639337182,0.1970611023199131,0.1732532334510796,0.3087060035236176,9,188.0173455734873,mm
shape_depth,cube4,1,1.880173455734873,0.15484111893819,0.1008074605847456,0.2157317669443754,9,188.0173455734873,mm
shape_depth,cube4,2,4.230390275403463,0.0962019229208167,0.0854609919193575,0.0981701067446744,9,188.0173455734873,mm
shape_depth,cube4,3,11.751084098342956,0.0883611709512989,0.0769238208382117,0.0985419290001031,9,188.0173455734873,mm
shape_depth,cube4,4,47.00433639337182,0.085651016394515,0.0701116852658522,0.1044903230523062,9,188.0173455734873,mm
shape_depth,cube4,5,188.0173455734873,0.0813729790986742,0.0719649567123704,0.1001822252883486,9,188.0173455734873,mm
shape_depth,cube4,6,333.20933403607586,0.0750725428188472,0.0702480791232248,0.1195222758264875,9,188.0173455734873,mm
shape_depth,cube4,7,752.0693822939492,0.0783149535290043,0.0676092649411475,0.1222334082797964,9,188.0173455734873,mm
shape_depth,cube4,8,1339.1021328542329,0.0822776198487631,0.0656283943165846,0.1334236449813541,9,188.0173455734873,mm
shape_depth,cube4,9,3008.2775291757966,0.0960765316151329,0.0910389052979129,0.1502816033801135,9,188.0173455734873,mm
shape_depth,cube4,10,6768.624440645542,0.1116566536637891,0.1053855465301681,0.1665772598155381,9,188.0173455734873,mm
