principle,probe,knee_R_median,knee_R_min,knee_R_max
9DTact,cyl4,5.529113593104783,1.659521036810376,1548.989497386278
9DTact,cube4,4.913450127197007,2.2008316743281595,7829.520925311901
DIGIT,cyl4,2.1863676630637583,0.1873050124230148,1111.4950254915177
DIGIT,cube4,83.21409715336394,0.2105932207992063,1198.752079507295
