principle,measure,sensor,probe,width_px,density_px_per_mm2,mae_mm
9DTact,shape_mae_vs_resolution,hard_3mm_r1,cyl4,48,3.733922332823346,0.0721858997156417
9DTact,shape_mae_vs_resolution,hard_3mm_r1,cyl4,80,10.37200648006485,0.0619108522384856
9DTact,shape_mae_vs_resolution,hard_3mm_r1,cyl4,160,41.4880259202594,0.0627990570858584
9DTact,shape_mae_vs_resolution,hard_3mm_r1,cyl4,320,165.9521036810376,0.0640853360896081
9DTact,shape_mae_vs_resolution,hard_3mm_r1,cyl4,426,294.1047262462889,0.0633141287567887
9DTact,shape_mae_vs_resolution,hard_3mm_r1,cyl4,640,663.8084147241505,0.0650106712319711
9DTact,shape_mae_vs_resolution,hard_3mm_r1,cyl4,854,1181.9484809398402,0.0804207401430241
9DTact,shape_mae_vs_resolution,hard_3mm_r1,cyl4,1280,2655.233658896602,0.0981637313317721
9DTact,shape_mae_vs_resolution,hard_3mm_r1,cyl4,1920,5974.275732517353,0.1188175571541619
9DTact,shape_mae_vs_resolution,medium_1mm_r1,cube4,8,0.153586488697355,0.2000041778418293
9DTact,shape_mae_vs_resolution,medium_1mm_r1,cube4,16,0.6143459547894203,0.282502061381943
9DTact,shape_mae_vs_resolution,medium_1mm_r1,cube4,32,2.4573838191576813,0.130138445998554
9DTact,shape_mae_vs_resolution,medium_1mm_r1,cube4,48,5.529113593104783,0.1617855977231847
9DTact,shape_mae_vs_resolution,medium_1mm_r1,cube4,80,15.358648869735507,0.1687495059600035
9DTact,shape_mae_vs_resolution,medium_1mm_r1,cube4,160,61.43459547894204,0.1696046250006971
9DTact,shape_mae_vs_resolution,medium_1mm_r1,cube4,320,245.73838191576812,0.1673309254601378
9DTact,shape_mae_vs_resolution,medium_1mm_r1,cube4,426,435.50408785689393,0.1684849165657966
9DTact,shape_mae_vs_resolution,medium_1mm_r1,cube4,640,982.9535276630726,0.1748490736898966
9DTact,shape_mae_vs_resolution,medium_1mm_r1,cube4,854,1750.2044311062532,0.1900109627287645
9DTact,shape_mae_vs_resolution,medium_1mm_r1,cube4,1280,3931.8141106522894,0.1972525983315082
9DTact,shape_mae_vs_resolution,medium_1mm_r1,cube4,1920,8846.581748967654,0.2086288416684105
9DTact,shape_mae_vs_resolution,medium_1mm_r1,cyl4,8,0.153586488697355,0.206390784335303
9DTact,shape_mae_vs_resolution,medium_1mm_r1,cyl4,16,0.6143459547894203,0.3109424468097877
9DTact,shape_mae_vs_resolution,medium_1mm_r1,cyl4,32,2.4573838191576813,0.1134524071721285
