width_px,density_px_per_mm2,resolved_pct,merged_pct,contact_lost_pct,median_dip,median_dip_sd,median_imprint_lvl
8,0.1364847257554724,0.0,0.0,100.0,,,
16,0.5459389030218897,0.0,14.81481481481481,85.18518518518519,-0.1621987348076234,0.0081575215060964,3.703012466430664
32,2.183755612087559,18.51851851851852,22.22222222222223,59.25925925925925,0.2319136191414653,0.0096703651669966,5.433695316314697
48,4.913450127197007,25.925925925925924,18.51851851851852,55.55555555555556,0.3073590589679695,0.0099032687782666,5.034965991973877
80,13.648472575547242,40.74074074074074,14.814814814814817,44.44444444444444,0.3240310028774981,0.0108437587510211,5.22265625
160,54.59389030218897,48.14814814814815,14.81481481481481,37.03703703703704,0.3918843893581432,0.0116979842987357,5.487475395202637
320,218.37556120875587,59.25925925925925,29.629629629629637,11.11111111111111,0.4166077302464359,0.0186275287734409,4.371086597442627
426,387.01097017500166,70.37037037037037,29.629629629629633,0.0,0.4718307668055025,0.023180205657194,4.104727745056152
640,873.5022448350235,70.37037037037037,29.629629629629633,0.0,0.4964406336063912,0.0352618821590786,4.32981014251709
854,1555.3202226418462,70.37037037037037,29.629629629629633,0.0,0.501311368388375,0.0383660967998993,4.3392839431762695
1280,3494.008979340094,66.66666666666666,33.33333333333334,0.0,0.5159422402466385,0.0463275164687515,4.515380859375
1920,7861.5202035152115,44.44444444444444,55.55555555555556,0.0,0.3836520166498836,0.1087820099030854,2.146500825881958
