unit,shape,width_px,thickness_mm,depth_true_mm,depth_pred_mm
hard_1mm_r1,cyl4,1920,1,0.0102487275852105,0.0256494581699371
hard_1mm_r1,cyl4,1920,1,0.0486645596900352,0.0498121976852417
hard_1mm_r1,cyl4,1920,1,0.0903709463744704,0.0577535144984722
hard_1mm_r1,cyl4,1920,1,0.1348124423525085,0.0718919411301612
hard_1mm_r1,cyl4,1920,1,0.1716206545575751,0.082314021885395
hard_2mm_r2,cyl4,1920,2,0.0252837853625997,0.0400428660213947
hard_2mm_r2,cyl4,1920,2,0.0711479041364846,0.1076384633779525
hard_2mm_r2,cyl4,1920,2,0.1213362658865015,0.1510747224092483
hard_2mm_r2,cyl4,1920,2,0.168494852997302,0.1911261081695556
hard_2mm_r2,cyl4,1920,2,0.26546462814958,0.2336587905883789
hard_3mm_r1,cyl4,1920,3,0.0739703905297304,0.0478798002004623
hard_3mm_r1,cyl4,1920,3,0.1757234604890776,0.1107395142316818
hard_3mm_r1,cyl4,1920,3,0.2740031526742257,0.1724785715341568
hard_3mm_r1,cyl4,1920,3,0.3863930489703548,0.2471830546855926
medium_1mm_r1,cyl4,1920,1,0.02734419963652,0.0447362884879112
medium_1mm_r1,cyl4,1920,1,0.0615654899998148,0.0479741282761096
medium_1mm_r1,cyl4,1920,1,0.0948534651314503,0.0680523514747619
medium_1mm_r1,cyl4,1920,1,0.140752296693762,0.0744798704981803
medium_1mm_r1,cyl4,1920,1,0.178047278037539,0.0957092568278312
medium_2mm_r1,cyl4,1920,2,0.0400256191582677,0.0343249030411243
medium_2mm_r1,cyl4,1920,2,0.0895024210134103,0.0852681696414947
medium_2mm_r1,cyl4,1920,2,0.1378712490707663,0.1146441921591758
medium_2mm_r1,cyl4,1920,2,0.1854960360577848,0.1551033705472946
medium_2mm_r1,cyl4,1920,2,0.2860463847706143,0.2086188644170761
medium_2mm_r1,cyl4,1920,2,0.3827091014416588,0.2416651546955108
medium_3mm_r1,cyl4,1920,3,0.0826506019865966,0.0442704670131206
medium_3mm_r1,cyl4,1920,3,0.1871406717500221,0.1861103028059005
medium_3mm_r1,cyl4,1920,3,0.280990060241109,0.2381795644760131
medium_3mm_r1,cyl4,1920,3,0.3796173531339768,0.2744020819664001
medium_3mm_r1,cyl4,1920,3,0.4823164768260781,0.2929570078849792
soft_1mm_r2,cyl4,1920,1,0.0215190675359373,0.0933559015393257
soft_1mm_r2,cyl4,1920,1,0.0615669269626515,0.0997958779335022
soft_1mm_r2,cyl4,1920,1,0.0982472656469006,0.1040658131241798
soft_1mm_r2,cyl4,1920,1,0.1350957474270764,0.1180096417665481
soft_1mm_r2,cyl4,1920,1,0.1742088673999511,0.12455815076828
soft_1mm_r2,cyl4,1920,1,0.2153924835193663,0.138237714767456
soft_2mm_r1,cyl4,1920,2,0.0337932760642409,0.0419022440910339
soft_2mm_r1,cyl4,1920,2,0.0810562038101636,0.0636144801974296
soft_2mm_r1,cyl4,1920,2,0.1294677198790097,0.0674007683992385
soft_2mm_r1,cyl4,1920,2,0.1772440117612532,0.0805312544107437
soft_2mm_r1,cyl4,1920,2,0.2746268208991154,0.144386276602745
soft_2mm_r1,cyl4,1920,2,0.374807506430848,0.1701442897319793
soft_3mm_r1,cyl4,1920,3,0.0871662577373086,0.0459077507257461
soft_3mm_r1,cyl4,1920,3,0.1856320645583231,0.1303707212209701
soft_3mm_r1,cyl4,1920,3,0.2806991859685901,0.1736865043640136
soft_3mm_r1,cyl4,1920,3,0.3767890596190177,0.2068468183279037
soft_3mm_r1,cyl4,1920,3,0.4780327570811273,0.2383278459310531
