principle,sensor,hardness,thickness_mm,width_px,density_px_per_mm2,fz_mae,min,max
9DTact,soft_1mm_r1,soft,1,8,0.1731653342341389,0.0974958389997482,0.0946028009057045,0.113274410367012
9DTact,soft_1mm_r1,soft,1,16,0.6926613369365556,0.0757422372698783,0.0601751916110515,0.0871229544281959
9DTact,soft_1mm_r1,soft,1,32,2.7706453477462225,0.0584669895470142,0.0442997366189956,0.0611259825527668
9DTact,soft_1mm_r1,soft,1,48,6.233952032429001,0.0497544556856155,0.0493463687598705,0.0580461174249649
9DTact,soft_1mm_r1,soft,1,80,17.31653342341389,0.0449190288782119,0.0433565713465213,0.0478770285844802
9DTact,soft_1mm_r1,soft,1,160,69.26613369365556,0.0571305565536022,0.0490146204829216,0.0609489306807518
9DTact,soft_1mm_r1,soft,1,320,277.06453477462225,0.0533456839621067,0.0503219291567802,0.1115155816078186
9DTact,soft_1mm_r1,soft,1,426,491.02112805429056,0.0502798371016979,0.0447238832712173,0.0561786852777004
9DTact,soft_1mm_r1,soft,1,640,1108.258139098489,0.0471390560269355,0.0462533943355083,0.0543002001941204
9DTact,soft_1mm_r1,soft,1,854,1973.316389098519,0.0533271059393882,0.0474916100502014,0.0567573830485343
9DTact,soft_1mm_r1,soft,1,1280,4433.032556393956,0.049292653799057,0.0421518273651599,0.054000336676836
9DTact,soft_1mm_r1,soft,1,1920,9974.3232518864,0.0446228422224521,0.0443940199911594,0.0649178475141525
9DTact,soft_2mm_r1,soft,2,8,0.1364847257554724,0.055224772542715,0.0443576946854591,0.2026515305042266
9DTact,soft_2mm_r1,soft,2,16,0.5459389030218897,0.0736868977546691,0.052870973944664,0.1136353984475135
9DTact,soft_2mm_r1,soft,2,32,2.183755612087559,0.0684851631522178,0.0523862652480602,0.0686336383223533
9DTact,soft_2mm_r1,soft,2,48,4.913450127197007,0.0509831011295318,0.0421621985733509,0.0516133606433868
9DTact,soft_2mm_r1,soft,2,80,13.648472575547242,0.0398146845400333,0.039025243371725,0.0694037079811096
9DTact,soft_2mm_r1,soft,2,160,54.59389030218897,0.0441508889198303,0.0420027263462543,0.0646494254469871
9DTact,soft_2mm_r1,soft,2,320,218.37556120875587,0.0351876318454742,0.0347417332231998,0.0792928338050842
9DTact,soft_2mm_r1,soft,2,426,387.01097017500166,0.0513495504856109,0.0401817932724952,0.0638139843940734
9DTact,soft_2mm_r1,soft,2,640,873.5022448350235,0.0398247055709362,0.039251260459423,0.0541550330817699
9DTact,soft_2mm_r1,soft,2,854,1555.3202226418462,0.0441516377031803,0.0342862978577613,0.0513919740915298
9DTact,soft_2mm_r1,soft,2,1280,3494.008979340094,0.0434963703155517,0.0433340072631835,0.0459193736314773
9DTact,soft_2mm_r1,soft,2,1920,7861.5202035152115,0.0372567176818847,0.0367010496556758,0.0561128295958042
9DTact,soft_3mm_r1,soft,3,8,0.1118493740092967,0.0801710411906242,0.0793934985995292,0.0854954719543457
9DTact,soft_3mm_r1,soft,3,16,0.447397496037187,0.0924755781888961,0.0583944618701934,0.1122458577156066
9DTact,soft_3mm_r1,soft,3,32,1.789589984148748,0.0755789503455162,0.0627337843179702,0.0801699236035347
9DTact,soft_3mm_r1,soft,3,48,4.026577464334683,0.06044777110219,0.0591510795056819,0.067836970090866
9DTact,soft_3mm_r1,soft,3,80,11.184937400929671,0.0924205183982849,0.0492959842085838,0.1073087081313133
9DTact,soft_3mm_r1,soft,3,160,44.73974960371869,0.0553495548665523,0.0444153286516666,0.0704210996627807
9DTact,soft_3mm_r1,soft,3,320,178.95899841487477,0.0631683766841888,0.0602509304881095,0.0998668521642685
9DTact,soft_3mm_r1,soft,3,426,317.1558905892365,0.0630924329161644,0.0480874441564083,0.0738128870725631
9DTact,soft_3mm_r1,soft,3,640,715.8359936594991,0.080587700009346,0.0633068606257438,0.1086966544389724
9DTact,soft_3mm_r1,soft,3,854,1274.5865321088163,0.0559739433228969,0.0457258559763431,0.058349784463644
9DTact,soft_3mm_r1,soft,3,1280,2863.3439746379963,0.0695133656263351,0.0518869310617446,0.103046104311943
9DTact,soft_3mm_r1,soft,3,1920,6442.523942935493,0.0604679472744464,0.0486259832978248,0.070656269788742
9DTact,medium_1mm_r1,medium,1,8,0.153586488697355,0.0875523388385772,0.0735958367586135,0.108878307044506
9DTact,medium_1mm_r1,medium,1,16,0.6143459547894203,0.0619190260767936,0.0524481385946273,0.0844806805253028
9DTact,medium_1mm_r1,medium,1,32,2.4573838191576813,0.0583622232079505,0.0576931275427341,0.0657199025154113
9DTact,medium_1mm_r1,medium,1,48,5.529113593104783,0.0589107163250446,0.0563421957194805,0.0644840896129608
9DTact,medium_1mm_r1,medium,1,80,15.358648869735507,0.0478156991302967,0.0464362278580665,0.0773544460535049
9DTact,medium_1mm_r1,medium,1,160,61.43459547894204,0.0524741038680076,0.0520652420818805,0.0533071048557758
9DTact,medium_1mm_r1,medium,1,320,245.73838191576812,0.0674725845456123,0.0508364513516426,0.0826135277748107
9DTact,medium_1mm_r1,medium,1,426,435.50408785689393,0.0482600666582584,0.0473636575043201,0.0530255101621151
9DTact,medium_1mm_r1,medium,1,640,982.9535276630726,0.0480265617370605,0.0461419485509395,0.0573836863040924
9DTact,medium_1mm_r1,medium,1,854,1750.2044311062532,0.0506737753748893,0.0479342974722385,0.0593414343893528
9DTact,medium_1mm_r1,medium,1,1280,3931.8141106522894,0.0560016930103302,0.0496636442840099,0.0634290501475334
9DTact,medium_1mm_r1,medium,1,1920,8846.581748967654,0.0520202070474624,0.0496283620595932,0.0602668933570385
9DTact,medium_2mm_r2,medium,2,8,0.1359291827311094,0.076009452342987,0.0651340261101722,0.0791807547211647
9DTact,medium_2mm_r2,medium,2,16,0.5437167309244376,0.0886325240135192,0.0550466626882553,0.1238567754626274
9DTact,medium_2mm_r2,medium,2,32,2.1748669236977505,0.0651108473539352,0.0559231042861938,0.0796209871768951
9DTact,medium_2mm_r2,medium,2,48,4.893450578319937,0.0611150860786438,0.0547996200621128,0.0690177008509635
9DTact,medium_2mm_r2,medium,2,80,13.59291827311094,0.0485623404383659,0.0465164594352245,0.0485914349555969
9DTact,medium_2mm_r2,medium,2,160,54.37167309244376,0.0507653839886188,0.0433924347162246,0.0558338612318038
9DTact,medium_2mm_r2,medium,2,320,217.48669236977503,0.0545633621513843,0.0515534132719039,0.073377676308155
9DTact,medium_2mm_r2,medium,2,426,385.4356932079813,0.0652906820178031,0.0568454936146736,0.0700505003333091
9DTact,medium_2mm_r2,medium,2,640,869.9467694791002,0.0422314368188381,0.0415109805762767,0.0715391486883163
9DTact,medium_2mm_r2,medium,2,854,1548.989497386278,0.0516403093934059,0.0464406423270702,0.052302349358797
9DTact,medium_2mm_r2,medium,2,1280,3479.787077916401,0.0476368144154548,0.0422735065221786,0.0640925243496894
9DTact,medium_2mm_r2,medium,2,1920,7829.520925311901,0.0566780753433704,0.052261047065258,0.067678153514862
9DTact,medium_3mm_r1,medium,3,8,0.1175108409834295,0.0828201249241828,0.0759424492716789,0.109193667769432
9DTact,medium_3mm_r1,medium,3,16,0.4700433639337182,0.0679261609911918,0.0456529669463634,0.0873275473713874
9DTact,medium_3mm_r1,medium,3,32,1.880173455734873,0.0522949211299419,0.0436577573418617,0.0628422945737838
9DTact,medium_3mm_r1,medium,3,48,4.230390275403463,0.0460645444691181,0.0411421358585357,0.060274239629507
9DTact,medium_3mm_r1,medium,3,80,11.751084098342956,0.0566990561783313,0.0481829047203063,0.0800677314400672
9DTact,medium_3mm_r1,medium,3,160,47.00433639337182,0.0674529075622558,0.0625150501728057,0.0773306861519813
9DTact,medium_3mm_r1,medium,3,320,188.0173455734873,0.0473864451050758,0.0427088215947151,0.0535304434597492
9DTact,medium_3mm_r1,medium,3,426,333.20933403607586,0.0531133748590946,0.0496802926063537,0.0551152601838111
9DTact,medium_3mm_r1,medium,3,640,752.0693822939492,0.0526126995682716,0.0385190844535827,0.0636051893234252
9DTact,medium_3mm_r1,medium,3,854,1339.1021328542329,0.045661311596632,0.0438182689249515,0.0573792569339275
9DTact,medium_3mm_r1,medium,3,1280,3008.2775291757966,0.0428206585347652,0.0419778302311897,0.0431040525436401
9DTact,medium_3mm_r1,medium,3,1920,6768.624440645542,0.0593935921788215,0.0429448708891868,0.0783536434173584
9DTact,hard_1mm_r1,hard,1,8,0.163594529922627,0.083163745701313,0.0731792747974395,0.1319614648818969
9DTact,hard_1mm_r1,hard,1,16,0.6543781196905081,0.03855612128973,0.0362710803747177,0.0902443081140518
9DTact,hard_1mm_r1,hard,1,32,2.6175124787620323,0.0539974123239517,0.0359368026256561,0.0657802894711494
9DTact,hard_1mm_r1,hard,1,48,5.889403077214571,0.0683121606707573,0.0603740029036998,0.0839902535080909
9DTact,hard_1mm_r1,hard,1,80,16.3594529922627,0.0693055763840675,0.0259421672672033,0.1079395413398742
9DTact,hard_1mm_r1,hard,1,160,65.4378119690508,0.0365184023976326,0.0283975601196289,0.0423444025218486
9DTact,hard_1mm_r1,hard,1,320,261.7512478762032,0.0328350290656089,0.0239650085568428,0.0383579730987548
9DTact,hard_1mm_r1,hard,1,426,463.88251425372886,0.0242258328944444,0.0235354602336883,0.0248744897544384
9DTact,hard_1mm_r1,hard,1,640,1047.0049915048128,0.0303027462214231,0.0264606233686208,0.0580286532640457
9DTact,hard_1mm_r1,hard,1,854,1864.2516903914163,0.0327249839901924,0.0325408540666103,0.036601535975933
9DTact,hard_1mm_r1,hard,1,1280,4188.019966019251,0.0409855954349041,0.0369007065892219,0.0495766401290893
9DTact,hard_1mm_r1,hard,1,1920,9423.044923543315,0.0304008014500141,0.0261951927095651,0.0421877577900886
9DTact,hard_2mm_r1,hard,2,8,0.1375519796455099,0.0766839459538459,0.0614200048148632,0.1014673560857772
9DTact,hard_2mm_r1,hard,2,16,0.5502079185820399,0.0503467433154583,0.0426948778331279,0.072888545691967
9DTact,hard_2mm_r1,hard,2,32,2.2008316743281595,0.0624919272959232,0.0548715144395828,0.0724405646324157
9DTact,hard_2mm_r1,hard,2,48,4.95187126723836,0.0439369529485702,0.0397671572864055,0.0896647125482559
9DTact,hard_2mm_r1,hard,2,80,13.755197964550996,0.0371114835143089,0.0330285020172596,0.054988469928503
9DTact,hard_2mm_r1,hard,2,160,55.02079185820399,0.0398632921278476,0.0283027589321136,0.0468465872108936
9DTact,hard_2mm_r1,hard,2,320,220.08316743281597,0.0368035361170768,0.0278560873121023,0.0397943817079067
9DTact,hard_2mm_r1,hard,2,426,390.03723528357153,0.0375798009335994,0.0314331166446208,0.0450027510523796
9DTact,hard_2mm_r1,hard,2,640,880.3326697312638,0.0316695086658,0.0276738554239273,0.0339956432580947
9DTact,hard_2mm_r1,hard,2,854,1567.482181049137,0.0312153156846761,0.0311159025877714,0.0737579688429832
9DTact,hard_2mm_r1,hard,2,1280,3521.330678925055,0.049860306084156,0.0433373786509037,0.0530716218054294
9DTact,hard_2mm_r1,hard,2,1920,7922.994027581375,0.0742078945040702,0.0460518449544906,0.0782595053315162
9DTact,hard_3mm_r1,hard,3,8,0.1037200648006484,0.1323567926883697,0.1045214012265205,0.1416216045618057
9DTact,hard_3mm_r1,hard,3,16,0.4148802592025939,0.0469920635223388,0.0463081710040569,0.052936628460884
9DTact,hard_3mm_r1,hard,3,32,1.659521036810376,0.0444246232509613,0.0426797270774841,0.0516129881143569
9DTact,hard_3mm_r1,hard,3,48,3.733922332823346,0.0412977263331413,0.0360823385417461,0.0575715713202953
9DTact,hard_3mm_r1,hard,3,80,10.37200648006485,0.0559950321912765,0.0471067875623703,0.0851713269948959
9DTact,hard_3mm_r1,hard,3,160,41.4880259202594,0.05998395383358,0.0534230880439281,0.0610369779169559
9DTact,hard_3mm_r1,hard,3,320,165.9521036810376,0.0441756024956703,0.0353918895125389,0.0569211579859256
9DTact,hard_3mm_r1,hard,3,426,294.1047262462889,0.042702279984951,0.0378792583942413,0.0496319569647312
9DTact,hard_3mm_r1,hard,3,640,663.8084147241505,0.059169091284275,0.0538265667855739,0.0722862556576728
9DTact,hard_3mm_r1,hard,3,854,1181.9484809398402,0.0541859976947307,0.0442326255142688,0.0603048503398895
9DTact,hard_3mm_r1,hard,3,1280,2655.233658896602,0.042256012558937,0.042168840765953,0.051125667989254
9DTact,hard_3mm_r1,hard,3,1920,5974.275732517353,0.0591526664793491,0.0424757041037082,0.0860949978232383
DIGIT,soft_1mm_r2,soft,1,8,0.2080352428834098,0.1425420492887497,0.1357509046792984,0.2179750800132751
DIGIT,soft_1mm_r2,soft,1,16,0.8321409715336393,0.1275737881660461,0.0846067517995834,0.1494585573673248
DIGIT,soft_1mm_r2,soft,1,32,3.328563886134557,0.1169896349310875,0.0815310403704643,0.1258453279733657
DIGIT,soft_1mm_r2,soft,1,48,7.489268743802754,0.0943231955170631,0.0829296931624412,0.1052118316292762
DIGIT,soft_1mm_r2,soft,1,80,20.803524288340984,0.090093232691288,0.0693030282855033,0.1207052692770958
DIGIT,soft_1mm_r2,soft,1,160,83.21409715336394,0.0954602435231208,0.0877579450607299,0.0969677492976188
DIGIT,soft_1mm_r2,soft,1,320,332.8563886134557,0.1070594191551208,0.087912231683731,0.1414889246225357
DIGIT,soft_1mm_r2,soft,1,426,589.8969333985889,0.0911850184202194,0.087820790708065,0.1241338551044464
DIGIT,soft_1mm_r2,soft,1,640,1331.425554453823,0.0929030030965805,0.0895727574825286,0.0952417775988578
DIGIT,soft_1mm_r2,soft,1,854,2370.678612480577,0.0930048078298568,0.0804634019732475,0.1076240316033363
DIGIT,soft_1mm_r2,soft,1,1280,5325.702217815292,0.1005390882492065,0.0984512194991111,0.1146597638726234
DIGIT,soft_1mm_r2,soft,1,1920,11982.829990084409,0.0973280072212219,0.0823714360594749,0.1057461127638816
DIGIT,soft_2mm_r1,soft,2,8,0.1832714063117097,0.143415167927742,0.089892104268074,0.206718161702156
DIGIT,soft_2mm_r1,soft,2,16,0.7330856252468388,0.0906933546066284,0.0693826675415039,0.1132880598306655
DIGIT,soft_2mm_r1,soft,2,32,2.9323425009873554,0.0559007674455642,0.0527726300060749,0.0670606046915054
DIGIT,soft_2mm_r1,soft,2,48,6.597770627221551,0.0596387758851051,0.0519096665084362,0.0602635815739631
DIGIT,soft_2mm_r1,soft,2,80,18.327140631170973,0.0569243431091308,0.0505240410566329,0.0732473954558372
DIGIT,soft_2mm_r1,soft,2,160,73.3085625246839,0.0549656488001346,0.0539217181503772,0.0616690143942832
DIGIT,soft_2mm_r1,soft,2,320,293.2342500987356,0.0508651807904243,0.0480635836720466,0.0645479187369346
DIGIT,soft_2mm_r1,soft,2,426,519.6775270597474,0.0487581752240657,0.0475573018193244,0.0759318098425865
DIGIT,soft_2mm_r1,soft,2,640,1172.9370003949423,0.0741347894072532,0.0731422454118728,0.0753629207611084
DIGIT,soft_2mm_r1,soft,2,854,2088.480765087983,0.0565136112272739,0.0536698289215564,0.0636330693960189
DIGIT,soft_2mm_r1,soft,2,1280,4691.748001579769,0.060117170214653,0.0553350523114204,0.0640387088060379
DIGIT,soft_2mm_r1,soft,2,1920,10556.43300355448,0.0602654330432415,0.0585900619626045,0.0614675991237163
DIGIT,soft_3mm_r1,soft,3,8,0.1489288408012087,0.115224614739418,0.0889286547899246,0.1156127080321312
DIGIT,soft_3mm_r1,soft,3,16,0.5957153632048351,0.0846065506339073,0.0705010220408439,0.103592537343502
DIGIT,soft_3mm_r1,soft,3,32,2.3828614528193404,0.0652498304843902,0.0562231577932834,0.071214310824871
DIGIT,soft_3mm_r1,soft,3,48,5.361438268843514,0.057066049426794,0.0558112002909183,0.063168853521347
DIGIT,soft_3mm_r1,soft,3,80,14.892884080120874,0.0571331344544887,0.0565236210823059,0.0662252455949783
DIGIT,soft_3mm_r1,soft,3,160,59.571536320483496,0.0672488734126091,0.0643370226025581,0.0881430730223655
DIGIT,soft_3mm_r1,soft,3,320,238.286145281934,0.0723726600408554,0.0705145299434661,0.09615408629179
DIGIT,soft_3mm_r1,soft,3,426,422.2970361443775,0.0644802302122116,0.0620657615363597,0.0706223025918006
DIGIT,soft_3mm_r1,soft,3,640,953.144581127736,0.0690834894776344,0.0641305893659591,0.0787726417183876
DIGIT,soft_3mm_r1,soft,3,854,1697.1279134027243,0.065885491669178,0.0592981986701488,0.0681157410144805
DIGIT,soft_3mm_r1,soft,3,1280,3812.578324510944,0.0597245916724205,0.0570588484406471,0.0626089498400688
DIGIT,soft_3mm_r1,soft,3,1920,8578.301230149624,0.0604847073554992,0.0567003414034843,0.0684316381812095
DIGIT,medium_1mm_r1,medium,1,8,0.2105932207992063,0.1014157831668853,0.0993551164865493,0.1292210817337036
DIGIT,medium_1mm_r1,medium,1,16,0.8423728831968254,0.0653808712959289,0.0636487454175949,0.0702038407325744
DIGIT,medium_1mm_r1,medium,1,32,3.3694915327873014,0.0561311207711696,0.0513247475028038,0.0615694262087345
DIGIT,medium_1mm_r1,medium,1,48,7.581355948771427,0.0609112158417701,0.0551935583353042,0.1061314493417739
