principle,unit,hardness,thickness_mm,finest_centre_mm,depth_lo_mm,depth_hi_mm,n_gaps_resolved,n_gaps_tested
9DTact,hard_1mm_r1,hard,1,1.25,0.1,0.6,4,6
9DTact,hard_2mm_r1,hard,2,1.25,0.1,0.9,5,6
9DTact,hard_3mm_r1,hard,3,2.5,0.4,0.9,1,6
9DTact,medium_1mm_r1,medium,1,1.1,0.1,0.6,5,6
9DTact,medium_2mm_r2,medium,2,1.1,0.1,0.9,5,6
9DTact,medium_3mm_r1,medium,3,2.5,0.5,0.9,1,6
9DTact,soft_1mm_r1,soft,1,1.5,0.2,0.6,4,6
9DTact,soft_2mm_r1,soft,2,1.75,0.1,0.9,3,6
9DTact,soft_3mm_r1,soft,3,2.0,0.3,0.3,1,4
