unit,probe,n,slope,intercept,r,thickness_mm,hardness
hard_1mm_r1,cube4,6,0.2666362252786886,0.007787247899454851,0.9389495359686267,1,hard
hard_1mm_r1,cyl4,5,0.3303950785882735,0.02737087402497279,0.9813864994291512,1,hard
hard_2mm_r2,cube4,4,0.6577984295324452,0.007300009163108903,0.9994729599436192,2,hard
hard_2mm_r2,cyl4,5,0.7841073882940132,0.042503330485500875,0.9700060306528651,2,hard
hard_3mm_r1,cube4,3,0.3592254833971951,0.016584855068310003,0.961302244801576,3,hard
hard_3mm_r1,cyl4,4,0.6373032550893887,-0.00043060308373923944,0.9998432279628604,3,hard
medium_1mm_r1,cube4,5,0.16668400366653086,0.11069471004713294,0.9710465429865173,1,medium
medium_1mm_r1,cyl4,5,0.33653553473769365,0.032364335730716835,0.9738281163757406,1,medium
medium_2mm_r1,cube4,5,0.6791723839409296,0.01907301061757152,0.9716135738309611,2,medium
medium_2mm_r1,cyl4,6,0.5975837090269149,0.02822406705416431,0.9844922415289397,2,medium
medium_3mm_r1,cube4,3,0.7270352437047546,-0.005049568872215221,0.9979088014388604,3,medium
medium_3mm_r1,cyl4,5,0.5913768084288583,0.04009448785556723,0.9295925120896457,3,medium
soft_1mm_r2,cube4,7,0.24984815978062222,0.022031899930381363,0.9687543743327199,1,soft
soft_1mm_r2,cyl4,6,0.23277461833615368,0.0856128587779343,0.98714689621579,1,soft
soft_2mm_r1,cube4,4,0.5920705133324918,0.012236773489506006,0.9822021327301523,2,soft
soft_2mm_r1,cyl4,6,0.392121556731181,0.024669812581543896,0.9817670683551064,2,soft
soft_3mm_r1,cube4,3,0.4441860938234724,0.0040892040493488565,0.9955645127236414,3,soft
soft_3mm_r1,cyl4,5,0.47390010103363794,0.025547394036289688,0.9740440764162397,3,soft
