principle,plateau_R_measured,plateau_R_bound,best_measured_N,best_bound_N,bound_over_measured,fz_share_min,fz_share_max
9DTact,13.648472575547242,13.648472575547242,0.0716407895088195,0.0577805519264293,0.8808752531202464,0.5111882366297004,0.7019978277193898
DIGIT,2.9323425009873554,18.327140631170973,0.0884255766868591,0.0725658406471168,0.8626539315127031,0.5809738842029598,0.7375544179282854
DIGIT_Marker,22.572001000000004,361.15201600000006,0.105846107006073,0.0949482988652207,0.8996689298288298,0.6892323818281553,0.8161429563181
