sample_index,t_rel_s,SG0_ai16_V,SG1_ai18_V,SG2_ai17_V,SG3_ai19_V,SG4_ai20_V,SG5_ai21_V
63,0.031500,1.050226139,1.265553994,1.172847950,0.825693469,1.031487686,1.063047185
64,0.032000,1.050554883,1.266540228,1.173176695,0.825364724,1.032145175,1.063047185
65,0.032500,1.050883628,1.264896504,1.171861716,0.825035980,1.030830196,1.063047185
66,0.033000,1.049239904,1.266868973,1.172847950,0.826022214,1.032145175,1.062389696
67,0.033500,1.049239904,1.266540228,1.171532971,0.826022214,1.031487686,1.061403461
68,0.034000,1.049568649,1.265882738,1.172190461,0.825364724,1.031487686,1.062060951
69,0.034500,1.049239904,1.265882738,1.171532971,0.825693469,1.030501452,1.062060951
70,0.035000,1.048911159,1.266211483,1.171861716,0.825035980,1.030830196,1.061732206
71,0.035500,1.048911159,1.266540228,1.171861716,0.825035980,1.030501452,1.061732206
72,0.036000,1.048911159,1.266868973,1.173505440,0.825035980,1.031158941,1.061732206
73,0.036500,1.048582415,1.267526463,1.173505440,0.825364724,1.032802665,1.061074717
74,0.037000,1.046938691,1.266540228,1.172519206,0.824378490,1.031487686,1.062060951
75,0.037500,1.047924925,1.266211483,1.173176695,0.825035980,1.031487686,1.062060951
76,0.038000,1.048911159,1.265553994,1.173505440,0.825693469,1.031816431,1.062718441
77,0.038500,1.049568649,1.266211483,1.173834185,0.825693469,1.032145175,1.062718441
78,0.039000,1.049239904,1.265553994,1.172519206,0.825693469,1.031158941,1.062718441
79,0.039500,1.049568649,1.265882738,1.172519206,0.825364724,1.030830196,1.062389696
80,0.040000,1.050554883,1.266540228,1.173176695,0.825693469,1.031158941,1.063704675
81,0.040500,1.049568649,1.266211483,1.173176695,0.826022214,1.031487686,1.062060951
82,0.041000,1.048582415,1.266211483,1.171861716,0.825693469,1.031158941,1.061732206
83,0.041500,1.048582415,1.266868973,1.172519206,0.826679703,1.030501452,1.061732206
84,0.042000,1.049239904,1.266540228,1.171861716,0.825364724,1.030172707,1.061732206
85,0.042500,1.049239904,1.266540228,1.171861716,0.826350958,1.031158941,1.061732206
86,0.043000,1.048582415,1.266540228,1.171861716,0.825364724,1.031158941,1.061074717
87,0.043500,1.048582415,1.266211483,1.172519206,0.825035980,1.031487686,1.061403461
88,0.044000,1.048253670,1.266540228,1.173176695,0.825035980,1.031816431,1.061074717
89,0.044500,1.048253670,1.266211483,1.173176695,0.824707235,1.030830196,1.061403461
90,0.045000,1.048582415,1.266540228,1.173505440,0.826022214,1.031816431,1.061403461
91,0.045500,1.048911159,1.267197718,1.174820419,0.825364724,1.031816431,1.062389696
92,0.046000,1.048911159,1.266211483,1.172519206,0.826350958,1.031487686,1.062389696
93,0.046500,1.049239904,1.266868973,1.172847950,0.825693469,1.031158941,1.062389696
94,0.047000,1.049897394,1.266540228,1.173834185,0.826350958,1.031487686,1.062060951
95,0.047500,1.050554883,1.265225249,1.173176695,0.825035980,1.030830196,1.063047185
96,0.048000,1.050554883,1.266868973,1.173834185,0.826350958,1.032145175,1.063047185
97,0.048500,1.049239904,1.266540228,1.172519206,0.826350958,1.031487686,1.061732206
98,0.049000,1.048582415,1.267526463,1.173176695,0.826679703,1.031816431,1.062060951
99,0.049500,1.048582415,1.267197718,1.173176695,0.827337193,1.032145175,1.061732206
100,0.050000,1.050554883,1.266540228,1.172847950,0.825693469,1.031816431,1.062718441
101,0.050500,1.048911159,1.266868973,1.172519206,0.825693469,1.032145175,1.062718441
102,0.051000,1.049239904,1.266540228,1.172190461,0.825035980,1.030830196,1.062389696
103,0.051500,1.048911159,1.266540228,1.173176695,0.825364724,1.031487686,1.061732206
104,0.052000,1.048911159,1.265553994,1.171861716,0.824707235,1.030830196,1.062389696
105,0.052500,1.048582415,1.265882738,1.172519206,0.824707235,1.031487686,1.061074717
106,0.053000,1.048582415,1.266211483,1.172847950,0.825364724,1.031487686,1.061732206
107,0.053500,1.049568649,1.266211483,1.173834185,0.826679703,1.032473920,1.062389696
108,0.054000,1.048582415,1.265882738,1.170875481,0.825693469,1.031487686,1.060745972
109,0.054500,1.049568649,1.266540228,1.173176695,0.824707235,1.031487686,1.062389696
110,0.055000,1.050226139,1.266540228,1.173176695,0.825364724,1.031158941,1.062389696
111,0.055500,1.050226139,1.265882738,1.173176695,0.825035980,1.031158941,1.062718441
112,0.056000,1.050554883,1.266211483,1.172519206,0.825364724,1.031487686,1.063047185
113,0.056500,1.049239904,1.266868973,1.173834185,0.826679703,1.032473920,1.062389696
114,0.057000,1.049239904,1.265553994,1.171532971,0.826350958,1.031487686,1.062060951
115,0.057500,1.048911159,1.266211483,1.171532971,0.826679703,1.031816431,1.061732206
116,0.058000,1.049568649,1.267197718,1.172847950,0.826022214,1.031816431,1.061732206
117,0.058500,1.048911159,1.266540228,1.172519206,0.826350958,1.031487686,1.062060951
118,0.059000,1.049239904,1.265553994,1.171204226,0.824707235,1.030501452,1.061732206
119,0.059500,1.048253670,1.265882738,1.172847950,0.824707235,1.030172707,1.061074717
120,0.060000,1.048582415,1.266540228,1.173505440,0.825364724,1.031816431,1.061732206
121,0.060500,1.048253670,1.266211483,1.172519206,0.823721001,1.030172707,1.061074717
122,0.061000,1.048911159,1.266211483,1.173505440,0.825035980,1.031816431,1.062060951
123,0.061500,1.048582415,1.264567759,1.171861716,0.825035980,1.030830196,1.062060951
124,0.062000,1.048253670,1.265882738,1.173505440,0.825035980,1.031816431,1.060417227
125,0.062500,1.049568649,1.265553994,1.172519206,0.825364724,1.031816431,1.062718441
126,0.063000,1.050226139,1.265882738,1.172847950,0.825693469,1.031158941,1.062718441
127,0.063500,1.050883628,1.266211483,1.172519206,0.825364724,1.030501452,1.063047185
128,0.064000,1.050226139,1.266540228,1.172847950,0.825693469,1.031158941,1.063375930
129,0.064500,1.048911159,1.267197718,1.173176695,0.827337193,1.033131410,1.062389696
130,0.065000,1.049239904,1.267526463,1.172847950,0.826350958,1.031816431,1.061732206
131,0.065500,1.049239904,1.266211483,1.171861716,0.824049745,1.031816431,1.061732206
132,0.066000,1.048253670,1.266868973,1.172190461,0.825364724,1.031487686,1.062389696
133,0.066500,1.049568649,1.266211483,1.171532971,0.825035980,1.031158941,1.063375930
134,0.067000,1.049897394,1.267197718,1.172847950,0.825364724,1.031816431,1.062718441
135,0.067500,1.048582415,1.267526463,1.173505440,0.826679703,1.031487686,1.062060951
136,0.068000,1.048582415,1.267526463,1.173505440,0.825035980,1.031158941,1.062060951
137,0.068500,1.048582415,1.266211483,1.172847950,0.825035980,1.031816431,1.061732206
138,0.069000,1.048582415,1.266868973,1.172847950,0.825035980,1.031487686,1.061732206
139,0.069500,1.048582415,1.266211483,1.172519206,0.824049745,1.031158941,1.061074717
140,0.070000,1.049568649,1.265882738,1.173834185,0.826679703,1.032145175,1.062389696
141,0.070500,1.049568649,1.265882738,1.171861716,0.824707235,1.031487686,1.062389696
142,0.071000,1.049897394,1.266868973,1.174491674,0.826022214,1.032802665,1.062718441
143,0.071500,1.050226139,1.265225249,1.173176695,0.825364724,1.031158941,1.062060951
144,0.072000,1.050226139,1.265225249,1.172519206,0.824378490,1.030501452,1.062389696
145,0.072500,1.050883628,1.265553994,1.172190461,0.825364724,1.030172707,1.062718441
146,0.073000,1.049239904,1.266540228,1.173176695,0.825693469,1.032145175,1.062718441
147,0.073500,1.048911159,1.267197718,1.173505440,0.826022214,1.031816431,1.062060951
148,0.074000,1.048582415,1.265882738,1.171204226,0.826022214,1.030501452,1.062718441
149,0.074500,1.049897394,1.266868973,1.172190461,0.826022214,1.032145175,1.062389696
150,0.075000,1.049239904,1.266211483,1.171861716,0.825693469,1.030501452,1.062060951
151,0.075500,1.049239904,1.265882738,1.171861716,0.824378490,1.029843962,1.062060951
152,0.076000,1.048582415,1.266211483,1.173176695,0.826022214,1.031158941,1.061732206
153,0.076500,1.048582415,1.266868973,1.173834185,0.825693469,1.031487686,1.060745972
154,0.077000,1.048582415,1.266868973,1.173176695,0.825035980,1.031487686,1.061732206
155,0.077500,1.048911159,1.266868973,1.172519206,0.825364724,1.030830196,1.062060951
156,0.078000,1.049239904,1.266211483,1.173834185,0.826022214,1.032145175,1.062718441
157,0.078500,1.049568649,1.264896504,1.173176695,0.825693469,1.030830196,1.062389696
158,0.079000,1.049568649,1.266868973,1.174162930,0.826679703,1.032145175,1.062389696
159,0.079500,1.049897394,1.266868973,1.174491674,0.826679703,1.032802665,1.062718441
160,0.080000,1.050226139,1.266540228,1.173505440,0.826022214,1.031487686,1.063047185
161,0.080500,1.050883628,1.266540228,1.173834185,0.827008448,1.031487686,1.063047185
162,0.081000,1.049897394,1.266211483,1.172519206,0.826679703,1.031816431,1.063047185
163,0.081500,1.050226139,1.266211483,1.172190461,0.826350958,1.030830196,1.062060951
164,0.082000,1.049897394,1.266868973,1.171861716,0.826022214,1.031158941,1.062060951
