probe,repeat,target_depth_mm,depth_mm,force_N,file,t_img,Fx,Fy,Fz,Tx,Ty,Tz,tcp_x,tcp_y,tcp_z,area_px,radius_px,enclosing_radius_px,centroid_px,mean_abs_diff_in_region,dark_area_px,bright_area_px,diff_level
ball4,1,0.1,0.08335239592959809,0.015508344002051899,ball4_d0.10_r1.png,1788797567.6890116,-0.0004359005681280337,-0.001094252435765064,-0.015508344002051899,5.929124681514075e-05,4.3652989136816475e-05,2.6860384288518447e-05,37.9075241088867,362.9090576171875,38.12988662719726,0,0.0,0.0,None,0.0,0,0,3
ball4,1,0.2,0.18128699766634426,0.03714231320158205,ball4_d0.20_r1.png,1788797570.3731325,-0.001523316472782099,0.002487505537071044,-0.03714231320158205,8.689215436311071e-06,7.502365402350109e-05,-0.00012260964003520946,37.91004180908203,362.9054870605468,38.0363311767578,0,0.0,0.0,None,0.0,0,0,3
ball4,1,0.3,0.28364339781709447,0.12549802450000697,ball4_d0.30_r1.png,1788797573.0573325,-0.0013363083491654492,-0.0019486119487083897,-0.12549802450000697,0.0002148629013953629,3.365006257915748e-05,2.796052178410946e-05,37.913516998291,362.8919982910156,37.92525482177734,8546,52.15626795819152,82.0524673461914,"[939.6328106716593, 614.2432717060614]",4.4172210693359375,8231,0,3
ball4,1,0.4,0.3814688818881322,0.16809605798045482,ball4_d0.40_r1.png,1788797575.7414746,-0.0017883575477643631,-0.007951710778328546,-0.16809605798045482,0.0002561202967844012,-7.264859727362793e-06,-0.00035403465853889315,37.92654037475586,362.8809204101562,37.82843017578125,25639,90.33906780494367,118.76692962646484,"[941.5690549553415, 604.4079332267249]",5.152047634124756,25417,0,3
ball4,1,0.5,0.48178382809572184,0.2940227786033063,ball4_d0.50_r1.png,1788797578.4255605,-5.774504332087815e-05,-0.0035235095380654613,-0.2940227786033063,0.0002426849446131196,0.00010009310524966286,-0.00022013023947327072,37.93708038330078,362.8791198730468,37.73003005981445,41741,115.2673976421677,140.81231689453125,"[945.3021729235045, 607.6559497855825]",6.047804355621338,41449,0,3
ball4,1,0.6,0.5836120608314239,0.44229641530535846,ball4_d0.60_r1.png,1788797581.5217054,0.00021640701478347068,-0.010791321795189646,-0.44229641530535846,0.0006022600908639264,7.822501850941465e-05,-9.881961811486484e-05,37.94604110717773,362.8651733398437,37.6254768371582,56942,134.62986867362463,157.1493377685547,"[948.5102033648274, 607.1895964314566]",7.068533897399902,56646,0,3
