t,at,where,Fx,Fy,Fz,Tx,Ty,Tz
1788775130.384713,2026-09-07T18:58:50.384705,tare,0.0,0.0,0.0,0.0,0.0,0.0
1788775376.648979,2026-09-07T19:02:56.648970,between normal and shear blocks,-0.0186,0.02989,0.11492,0.00208,-6e-05,0.00029
1788775709.330747,2026-09-07T19:08:29.330735,end of collect,-0.05446,-0.01376,0.17171,0.00332,0.00139,0.00112
