approach,depth_mm,force_N,force_N_raw,area_px,base_height_mm,step_mm,fine
1,0.373663102131772,0.02088422915370224,0.03688922529816239,0,27.30367345849374,0.4,False
1,0.7561688567713816,0.0167501290137751,0.0320168832371678,0,27.30367345849374,0.4,False
1,1.1374249146314028,0.28084787124930527,0.2953583123261495,2679,27.30367345849374,0.4,False
1,1.1409621747944882,0.29709968158676575,0.31108945724352566,15296,27.30367345849374,0.02,True
1,1.1460676911479446,0.30528062280262336,0.3187599756117095,15542,27.30367345849374,0.02,True
1,1.1721361499241638,0.3275054077779266,0.3404752318893429,17616,27.30367345849374,0.02,True
1,1.2410507653178726,0.4057107323483627,0.4181204938446285,39026,27.30367345849374,0.02,True
1,1.234222457613356,0.3655849556555632,0.37740213407566897,38052,27.30367345849374,0.02,True
1,1.239556566437443,0.3609077432360646,0.37215399180151393,38255,27.30367345849374,0.02,True
1,1.2514796402569708,0.3763754354009863,0.3870539136322407,37588,27.30367345849374,0.02,True
1,1.2595016505763716,0.38888037823826843,0.39897899527201447,39143,27.30367345849374,0.02,True
1,1.2810582596191011,0.4188805813126022,0.42843331961017556,42689,27.30367345849374,0.02,True
1,1.3381618673245939,0.45759173953693694,0.4665526736877467,47444,27.30367345849374,0.02,True
1,1.339490661263664,0.4781379822272457,0.48652112058135516,46906,27.30367345849374,0.02,True
1,1.347166203020798,0.47010822759116366,0.4778860409934964,46834,27.30367345849374,0.02,True
1,1.3620255244692778,0.4748687796659201,0.48209721264132954,47608,27.30367345849374,0.02,True
1,1.3758819926468746,0.4985882138280657,0.5052214672959934,49460,27.30367345849374,0.02,True
1,1.3917112349174374,0.48983712271245017,0.49584516377084353,50634,27.30367345849374,0.02,True
