sample_index,t_rel_s,SG0_ai16_V,SG1_ai18_V,SG2_ai17_V,SG3_ai19_V,SG4_ai20_V,SG5_ai21_V
0,0.000000,0.929576808,1.261280311,1.068635847,0.815173638,0.911167101,0.942069108
1,0.000500,0.929248063,1.261609055,1.069950826,0.813201169,0.911167101,0.942726598
2,0.001000,0.929576808,1.260951566,1.068635847,0.813201169,0.911167101,0.942726598
3,0.001500,0.928919318,1.260951566,1.069622081,0.813529914,0.910838357,0.941740364
4,0.002000,0.928919318,1.261937800,1.070937060,0.814516148,0.912153336,0.941740364
5,0.002500,0.928590573,1.261609055,1.071265805,0.814187404,0.911824591,0.941740364
6,0.003000,0.927933084,1.261937800,1.070279571,0.813529914,0.912153336,0.942069108
7,0.003500,0.929576808,1.261280311,1.069950826,0.814187404,0.911167101,0.943055343
8,0.004000,0.928919318,1.261280311,1.070937060,0.815173638,0.911824591,0.943055343
9,0.004500,0.929248063,1.261937800,1.070608316,0.814187404,0.911824591,0.942397853
10,0.005000,0.929576808,1.260622821,1.070279571,0.814187404,0.912153336,0.942397853
11,0.005500,0.930563042,1.261280311,1.070279571,0.814187404,0.911824591,0.943055343
12,0.006000,0.930234297,1.261937800,1.071594550,0.814844893,0.912810825,0.943712832
13,0.006500,0.930234297,1.261609055,1.070608316,0.814187404,0.912153336,0.943384087
14,0.007000,0.929576808,1.260951566,1.068964592,0.814516148,0.910838357,0.942397853
15,0.007500,0.929248063,1.262266545,1.068964592,0.814844893,0.912153336,0.942397853
16,0.008000,0.929576808,1.261609055,1.068635847,0.814187404,0.911495846,0.941740364
17,0.008500,0.929905552,1.262924035,1.070608316,0.814187404,0.912482080,0.942726598
18,0.009000,0.929905552,1.262266545,1.070608316,0.815502382,0.912810825,0.943055343
19,0.009500,0.930563042,1.261609055,1.070608316,0.814516148,0.912153336,0.943055343
20,0.010000,0.928919318,1.261609055,1.070279571,0.814516148,0.911167101,0.942069108
21,0.010500,0.928590573,1.261280311,1.069293336,0.813201169,0.911167101,0.942726598
22,0.011000,0.929248063,1.260951566,1.069293336,0.812872425,0.910509612,0.941740364
23,0.011500,0.928261829,1.261609055,1.069293336,0.814187404,0.911167101,0.941740364
24,0.012000,0.928590573,1.261280311,1.070608316,0.813201169,0.911167101,0.941411619
25,0.012500,0.929905552,1.261280311,1.071923295,0.814844893,0.912482080,0.942726598
26,0.013000,0.931549276,1.261280311,1.071594550,0.814844893,0.911824591,0.942726598
27,0.013500,0.929576808,1.260951566,1.070608316,0.815173638,0.912482080,0.942069108
28,0.014000,0.929576808,1.260951566,1.070608316,0.814516148,0.912153336,0.942397853
29,0.014500,0.930563042,1.259965331,1.069293336,0.813858659,0.910838357,0.942726598
30,0.015000,0.930891787,1.261280311,1.070608316,0.814516148,0.911167101,0.943055343
31,0.015500,0.930563042,1.260622821,1.069293336,0.814187404,0.911824591,0.943055343
32,0.016000,0.929905552,1.261280311,1.069950826,0.813858659,0.912153336,0.942726598
33,0.016500,0.929248063,1.261937800,1.069622081,0.815502382,0.911824591,0.941740364
34,0.017000,0.929248063,1.261280311,1.069293336,0.814516148,0.911167101,0.942397853
35,0.017500,0.929905552,1.261280311,1.069293336,0.813529914,0.910838357,0.941411619
36,0.018000,0.929576808,1.261937800,1.069950826,0.814844893,0.911495846,0.942069108
37,0.018500,0.928590573,1.260294076,1.069622081,0.814187404,0.910509612,0.941411619
38,0.019000,0.928261829,1.260951566,1.070279571,0.813858659,0.911495846,0.941411619
39,0.019500,0.928261829,1.261937800,1.070937060,0.813529914,0.911495846,0.940754129
40,0.020000,0.928590573,1.260951566,1.069950826,0.812872425,0.911824591,0.940096640
41,0.020500,0.928590573,1.260951566,1.069950826,0.813529914,0.912482080,0.942069108
42,0.021000,0.929248063,1.262266545,1.070279571,0.814844893,0.911824591,0.942069108
43,0.021500,0.929248063,1.260951566,1.070608316,0.814187404,0.911495846,0.941411619
44,0.022000,0.929248063,1.260294076,1.070279571,0.814187404,0.911495846,0.942069108
45,0.022500,0.930234297,1.260622821,1.070279571,0.813529914,0.910180867,0.942397853
46,0.023000,0.930891787,1.260951566,1.069950826,0.813201169,0.910838357,0.942397853
47,0.023500,0.929576808,1.262266545,1.070937060,0.815502382,0.912482080,0.942726598
48,0.024000,0.928590573,1.262266545,1.069622081,0.814844893,0.911824591,0.942069108
49,0.024500,0.929576808,1.261937800,1.069293336,0.814516148,0.911167101,0.942069108
50,0.025000,0.929248063,1.261280311,1.069293336,0.814187404,0.911167101,0.942726598
51,0.025500,0.929248063,1.262595290,1.070937060,0.814187404,0.911824591,0.943384087
52,0.026000,0.929576808,1.262266545,1.070279571,0.814516148,0.912153336,0.942397853
53,0.026500,0.928261829,1.261280311,1.070279571,0.814516148,0.911495846,0.942726598
54,0.027000,0.928261829,1.261280311,1.069622081,0.813858659,0.911495846,0.942069108
55,0.027500,0.928590573,1.261280311,1.069950826,0.813529914,0.911167101,0.941411619
56,0.028000,0.928261829,1.261609055,1.070279571,0.813529914,0.911495846,0.941740364
57,0.028500,0.928919318,1.261937800,1.070608316,0.814516148,0.911824591,0.942397853
58,0.029000,0.929576808,1.260622821,1.069622081,0.814187404,0.911824591,0.942726598
59,0.029500,0.929248063,1.259636586,1.069293336,0.812214935,0.911495846,0.943055343
60,0.030000,0.928919318,1.261280311,1.070608316,0.814187404,0.911824591,0.942726598
61,0.030500,0.930234297,1.260951566,1.069950826,0.814187404,0.910838357,0.942726598
62,0.031000,0.930891787,1.260951566,1.069950826,0.814516148,0.910838357,0.943055343
63,0.031500,0.930234297,1.261609055,1.069950826,0.815173638,0.912153336,0.942726598
64,0.032000,0.929248063,1.261609055,1.069622081,0.814516148,0.910838357,0.942069108
65,0.032500,0.929576808,1.262266545,1.069950826,0.815831127,0.911824591,0.942726598
66,0.033000,0.928919318,1.260951566,1.068964592,0.814516148,0.911167101,0.942397853
67,0.033500,0.928919318,1.260951566,1.069293336,0.813858659,0.910838357,0.942397853
68,0.034000,0.929576808,1.262266545,1.070279571,0.813529914,0.911824591,0.942069108
69,0.034500,0.928919318,1.262266545,1.071265805,0.814187404,0.912153336,0.942069108
70,0.035000,0.927933084,1.261609055,1.071265805,0.813529914,0.911824591,0.941411619
71,0.035500,0.928590573,1.261609055,1.070608316,0.814187404,0.911824591,0.941082874
72,0.036000,0.929248063,1.260951566,1.069622081,0.812543680,0.910509612,0.942726598
73,0.036500,0.928919318,1.260622821,1.070608316,0.814516148,0.910838357,0.942397853
74,0.037000,0.929576808,1.260622821,1.070279571,0.814516148,0.911495846,0.942397853
75,0.037500,0.930234297,1.261280311,1.070937060,0.814187404,0.911824591,0.942397853
