probe,repeat,target_depth_mm,depth_mm,force_N,file,t_img,Fx,Fy,Fz,Tx,Ty,Tz,tcp_x,tcp_y,tcp_z,area_px,radius_px,enclosing_radius_px,centroid_px,mean_abs_diff_in_region,dark_area_px,bright_area_px,diff_level
ball4,1,0.1,0.0665726168776466,0.07138309796806083,ball4_d0.10_r1.png,1788854836.3277779,0.003193125662029672,-0.0020869086559853756,-0.07138309796806083,0.00013848256177683983,8.88141735673087e-05,-6.377514047715139e-05,37.98535537719726,362.760772705078,35.508487701416,37139,108.72769133472761,137.5582733154297,"[794.2988233393468, 584.2912302431406]",19.321107864379883,25511,4210,12
ball4,1,0.2,0.17808965006775423,0.2874837484395215,ball4_d0.20_r1.png,1788854838.4720273,0.011469061502369371,0.025550384615362277,-0.2874837484395215,-0.00033423461178344605,0.00022999085896813765,-5.555643311927483e-05,37.9800338745117,362.8285217285156,35.39521026611328,70090,149.36646184007267,213.16964721679688,"[804.4544157511771, 607.1604793836495]",22.958105087280273,42362,21146,12
ball4,1,0.3,0.2785945374456418,0.6604097073449282,ball4_d0.30_r1.png,1788854843.1562626,0.01587534077519166,0.038817525859218806,-0.6604097073449282,-0.0005283121628247095,0.00032758737765986037,0.0004115732817977502,37.97377014160156,362.9105529785156,35.29151153564453,98316,176.90380089202597,252.92665100097656,"[809.8584055494528, 614.6176919321372]",25.286827087402344,57948,33093,12
ball4,1,0.4,0.3718889634486793,1.141873820079286,ball4_d0.40_r1.png,1788854850.3726711,0.021165968189954042,0.05607072068639507,-1.141873820079286,-0.0008641055777675432,0.00028870727094585936,0.0003440452390216731,37.966064453125,363.003448486328,35.194522857666,133742,206.32838098039866,283.2071838378906,"[819.3031807509982, 621.1810949439966]",26.49651336669922,81401,44547,12
ball4,1,0.5,0.472835124471672,1.8430117673405277,ball4_d0.50_r1.png,1788854855.4448695,0.024374839932639246,0.0672831738645728,-1.8430117673405277,-0.0012002009592451041,0.00012131332151216757,0.0003171106893566034,37.96640396118164,363.06982421875,35.10074615478515,166862,230.46436650467177,303.5238952636719,"[831.123347436804, 622.7642782658723]",27.591571807861328,102777,54357,12
ball4,1,0.6,0.5782975571396953,2.9113105642729833,ball4_d0.60_r1.png,1788854863.4454384,0.03517279339448045,0.09283730537249024,-2.9113105642729833,-0.0018865376721248273,0.00013700024835284209,0.0001751827937937378,37.96707153320312,363.125732421875,34.98904037475586,203931,254.7807948008378,330.0080871582031,"[839.6166154238443, 623.8727657884284]",28.546710968017578,84632,63538,12
