t,at,where,Fx,Fy,Fz,Tx,Ty,Tz
1788509644.340963,2026-09-04T17:14:04.340952,tare,0.0,0.0,0.0,0.0,0.0,0.0
1788510137.577232,2026-09-04T17:22:17.577220,between normal and shear blocks,0.05475,0.03625,0.11252,0.00051,-0.00092,0.00092
1788510821.307476,2026-09-04T17:33:41.307464,end of collect,0.07404,0.04114,0.09609,0.00077,-0.00175,0.00035
