approach,depth_mm,force_N,force_N_raw,area_px,base_height_mm,step_mm,fine
1,0.36933576886841735,0.03052325355062105,0.03673097982264721,0,25.390225561657495,0.4,False
1,0.7492111364900822,0.00015640478806051676,0.007786486190121877,3770,25.390225561657495,0.4,False
1,1.1251780018223876,0.8005938843229582,0.8100526313721218,41425,25.390225561657495,0.4,False
1,1.1326390777441837,0.7859223350260088,0.7969530476570839,72558,25.390225561657495,0.02,True
1,1.158638794698323,0.8721803921458486,0.8846643915921106,74224,25.390225561657495,0.02,True
1,1.2105704283077685,1.1501014939927623,1.1637859153297712,59740,25.390225561657495,0.02,True
1,1.224981058186561,1.2382659895943948,1.2536018082028761,103826,25.390225561657495,0.02,True
2,0.37343504630549873,-0.0019211455979802963,0.025112434344200095,104256,25.39319537585189,0.4,False
2,0.7648310279473556,0.0038254797904299816,0.029734214913372626,743,25.39319537585189,0.4,False
2,1.1346067843414893,0.8086001150978935,0.8334001664960737,3258,25.39319537585189,0.4,False
2,1.1207194771704856,0.7217123022307603,0.7455672501930337,53358,25.39319537585189,0.02,True
2,1.1520467051417462,0.8387599188781208,0.8614430851746875,74478,25.39319537585189,0.02,True
2,1.2284319723887585,1.2429997679309597,1.2647874351687562,59938,25.39319537585189,0.02,True
