probe,ix,iy,x_mm,y_mm,img_x_px,img_y_px,target_depth_mm,depth_mm,force_N,file,t_img,Fx,Fy,Fz,tcp_x,tcp_y,tcp_z,area_px,radius_px,centroid_px,diff_level
ball4,0,0,-4.490773426089505,-0.07777110659138953,395.38525029985135,311.38525029985135,0.15,0.21579086319415808,0.4246413871583627,ball4_x-4.49_y-0.08_d0.15.png,1789040075.684485,0.005774281778334256,-0.0042087498317036065,-0.4246413871583627,34.08889389038086,360.4104614257812,35.4456558227539,13684,65.9981248410816,"[265.23092662964046, 299.5989476761181]",12
ball4,0,0,-4.490773426089505,-0.07777110659138953,395.38525029985135,311.38525029985135,0.3,0.3825677929981879,1.0822182650582932,ball4_x-4.49_y-0.08_d0.30.png,1789040077.2445793,0.014886946918660372,0.033627391571456756,-1.0822182650582932,34.0849380493164,360.4142761230468,35.30247116088867,20407,80.5962148450696,"[246.162199245357, 298.8418679864752]",12
ball4,1,0,-2.583820443891248,-1.2061620996089095,677.6926251499257,311.38525029985135,0.15,0.21777484130361202,0.37283355021249065,ball4_x-2.58_y-1.21_d0.15.png,1789040080.1727426,0.017724271462297027,0.004328850028267972,-0.37283355021249065,36.30613708496093,360.3822326660156,35.44390487670898,17830,75.33568391311641,"[699.5416152551879, 295.439596186203]",12
ball4,1,0,-2.583820443891248,-1.2061620996089095,677.6926251499257,311.38525029985135,0.3,0.3967097731792286,1.009660761977051,ball4_x-2.58_y-1.21_d0.30.png,1789040081.9288054,0.03334040227693506,0.010634435408534237,-1.009660761977051,36.30871200561523,360.3856201171875,35.3071937561035,50808,127.171886426309,"[648.0239529207998, 313.54146984726816]",12
ball4,2,0,-0.6768674616929908,-2.3345530926264297,960.0,311.38525029985135,0.15,0.23391180421681668,0.3267508605090342,ball4_x-0.68_y-2.33_d0.15.png,1789040084.8530653,0.029368236278758175,-0.002941974823591842,-0.3267508605090342,38.52501678466797,360.3590393066406,35.4471969604492,49928,126.06576060685273,"[894.2579915077712, 332.860839609037]",12
ball4,2,0,-0.6768674616929908,-2.3345530926264297,960.0,311.38525029985135,0.3,0.409698060943132,0.9719124207090744,ball4_x-0.68_y-2.33_d0.30.png,1789040086.4171402,0.032989541044081604,-0.0036040351593156217,-0.9719124207090744,38.51690292358398,360.3622436523437,35.3064613342285,97729,176.37490430006102,"[899.8964483418432, 377.1092306275517]",12
ball4,3,0,1.2300855205052657,-3.46294408564395,1242.3073748500742,311.38525029985135,0.15,0.2553406115345638,0.31094052395202143,ball4_x+1.23_y-3.46_d0.15.png,1789040091.4893105,0.03418912619851433,-0.012653726593189241,-0.31094052395202143,40.7388572692871,360.3346252441406,35.4524345397949,57641,135.45368267241713,"[1157.4034975104526, 313.22416335594454]",12
ball4,3,0,1.2300855205052657,-3.46294408564395,1242.3073748500742,311.38525029985135,0.3,0.4217821097708274,0.9069363409289763,ball4_x+1.23_y-3.46_d0.30.png,1789040093.2455165,0.03859812437530117,0.003075742848723806,-0.9069363409289763,40.73892974853515,360.3355407714843,35.31119537353515,92444,171.5396138458238,"[1154.150610099087, 324.68217515468825]",12
ball4,4,0,3.1370385027035237,-4.591335078661471,1524.6147497001486,311.38525029985135,0.15,0.25829456072398926,0.264333419014784,ball4_x+3.14_y-4.59_d0.15.png,1789040096.1696734,0.0330055756467587,-0.006130142934569172,-0.264333419014784,42.95999145507812,360.2829284667968,35.45221710205078,23491,86.47206217237697,"[1411.5691541441404, 358.1231109786727]",12
ball4,4,0,3.1370385027035237,-4.591335078661471,1524.6147497001486,311.38525029985135,0.3,0.4302999229803106,0.8780971375093145,ball4_x+3.14_y-4.59_d0.30.png,1789040097.5377963,0.05047677734251508,0.023093332852650583,-0.8780971375093145,42.95816421508789,360.3126220703125,35.3155517578125,77212,156.77162668041322,"[1440.7034657825209, 296.2518649950785]",12
ball4,0,1,-3.5769934564036205,1.4664945327555514,395.38525029985135,540.0,0.15,0.1274518682719865,0.37970197340173967,ball4_x-3.58_y+1.47_d0.15.png,1789040102.6100695,0.0030010448653527535,0.005768823383873922,-0.37970197340173967,34.10890579223633,362.2055053710937,35.4975242614746,9151,53.970860364347246,"[272.2456562124358, 512.8072341820566]",12
ball4,0,1,-3.5769934564036205,1.4664945327555514,395.38525029985135,540.0,0.3,0.3105943235164297,1.0763878687047452,ball4_x-3.58_y+1.47_d0.30.png,1789040103.9741142,0.009581817493784329,0.02332991854319868,-1.0763878687047452,34.10483169555664,362.2098693847656,35.35337829589843,18822,77.40302757483914,"[473.4693443842312, 536.8820529167995]",12
ball4,1,1,-1.6700404742053634,0.3381035397380313,677.6926251499257,540.0,0.15,0.13851727627064037,0.27316226990989206,ball4_x-1.67_y+0.34_d0.15.png,1789040106.9023273,0.00863064422125177,-0.0017471488260154544,-0.27316226990989206,36.31494903564453,362.1834411621093,35.4993667602539,35143,105.76561033793998,"[643.2314258885126, 522.6063796488633]",12
ball4,1,1,-1.6700404742053634,0.3381035397380313,677.6926251499257,540.0,0.3,0.32232392670906407,0.950928988925179,ball4_x-1.67_y+0.34_d0.30.png,1789040108.2663705,0.02193538238514492,0.011834180028565733,-0.950928988925179,36.32058715820312,362.182159423828,35.35686111450195,57161,134.8885147229061,"[652.5394237329648, 520.1472157589965]",12
ball4,2,1,0.23691250799289382,-0.790287453279489,960.0,540.0,0.15,0.15585559774945068,0.23697797641467275,ball4_x+0.24_y-0.79_d0.15.png,1789040111.5825725,0.013469087473416508,-0.0155546773222472,-0.23697797641467275,38.5404472351074,362.1506958007812,35.49326705932617,64500,143.2863833686038,"[882.219007751938, 507.2167441860465]",12
ball4,2,1,0.23691250799289382,-0.790287453279489,960.0,540.0,0.3,0.33331108801552745,0.8929004483381533,ball4_x+0.24_y-0.79_d0.30.png,1789040113.5346859,0.03037228428089591,0.003700292207097,-0.8929004483381533,38.53930282592773,362.1553344726562,35.35533142089843,110028,187.1443297485396,"[889.3417675500782, 545.0642381939143]",12
ball4,3,1,2.1438654901911502,-1.9186784462970088,1242.3073748500742,540.0,0.15,0.16283970147309645,0.2354984278708713,ball4_x+2.14_y-1.92_d0.15.png,1789040118.022972,0.006505717965197988,0.0012794252614492408,-0.2354984278708713,40.75041580200195,362.1202697753906,35.50369644165039,61365,139.76081770535086,"[1133.6241994622342, 504.818137374725]",12
