sensor,axis,density_px_per_mm2,median,min,max,suspect_hardware
soft_1mm_r2,Tx,0.20803524288340983,0.0012545651989057,0.0011883055558428,0.0013175661442801,False
soft_1mm_r2,Tx,0.8321409715336393,0.000837382802274,0.0007364606717601,0.0009516084101051,False
soft_1mm_r2,Tx,3.3285638861345572,0.0008570699137635,0.0007664847071282,0.0008813294116407,False
soft_1mm_r2,Tx,7.4892687438027545,0.0007598557858727,0.0007041503558866,0.0008287616656161,False
soft_1mm_r2,Tx,20.803524288340984,0.0008543796138837,0.0007189897005446,0.0011339752236381,False
soft_1mm_r2,Tx,83.21409715336394,0.0010311538353562,0.0007844399078749,0.0012433499796316,False
soft_1mm_r2,Tx,332.85638861345575,0.0009743280825205,0.0006290006567724,0.0010463612852618,False
soft_1mm_r2,Tx,589.8969333985889,0.000683773192577,0.0006612926954403,0.0006861205329187,False
soft_1mm_r2,Tx,1331.425554453823,0.0009804888395592,0.0007814179989509,0.0010410319082438,False
soft_1mm_r2,Tx,2370.678612480577,0.0009758889209479,0.0007753112586215,0.0010943857487291,False
soft_1mm_r2,Tx,5325.702217815292,0.0008111512870527,0.000702794524841,0.0008937001693993,False
soft_1mm_r2,Tx,11982.829990084407,0.0015444713644683,0.0007995951455086,0.0015543797053396,False
soft_1mm_r2,Ty,0.20803524288340983,0.0015945670893415,0.0014802992809563,0.0020239062141627,False
soft_1mm_r2,Ty,0.8321409715336393,0.000754018255975,0.0006417184486053,0.0009324228740297,False
soft_1mm_r2,Ty,3.3285638861345572,0.0009362390264868,0.0007837616722099,0.001130408141762,False
soft_1mm_r2,Ty,7.4892687438027545,0.0006614043959416,0.0005562711739912,0.0008805536781437,False
soft_1mm_r2,Ty,20.803524288340984,0.0007417212473228,0.0005428625736385,0.000939576420933,False
soft_1mm_r2,Ty,83.21409715336394,0.0006619271007366,0.0004402585909701,0.000662286824081,False
soft_1mm_r2,Ty,332.85638861345575,0.0007472131983377,0.0006820228300057,0.0009867808548733,False
soft_1mm_r2,Ty,589.8969333985889,0.0006257572676986,0.0004759041476063,0.0010220556287094,False
soft_1mm_r2,Ty,1331.425554453823,0.0008257401059381,0.0006197224720381,0.0010132640600204,False
soft_1mm_r2,Ty,2370.678612480577,0.0006401492864824,0.0006250837468542,0.0006969246314838,False
soft_1mm_r2,Ty,5325.702217815292,0.0006984765641391,0.0006213154993019,0.0010505465324968,False
soft_1mm_r2,Ty,11982.829990084407,0.0008685304783284,0.0005383839597925,0.0009261970990337,False
soft_1mm_r2,Tz,0.20803524288340983,0.0001350588136119,0.0001199350663227,0.000137411232572,False
soft_1mm_r2,Tz,0.8321409715336393,0.0001140299864346,0.0001132481993408,0.0001219439000124,False
soft_1mm_r2,Tz,3.3285638861345572,0.0001204074214911,0.0001189288959722,0.0001205512162414,False
soft_1mm_r2,Tz,7.4892687438027545,0.0001186315494123,0.0001099839500966,0.0001279004500247,False
soft_1mm_r2,Tz,20.803524288340984,0.0001396986481267,0.0001389066019328,0.0001469948911108,False
soft_1mm_r2,Tz,83.21409715336394,0.0001456200698157,0.0001394044811604,0.0001499647623859,False
soft_1mm_r2,Tz,332.85638861345575,0.0001339645241387,0.0001206785454996,0.0001426041417289,False
soft_1mm_r2,Tz,589.8969333985889,0.0001512590824859,0.0001422387576894,0.0001595381618244,False
soft_1mm_r2,Tz,1331.425554453823,0.0001355031272396,0.0001292021624976,0.0001473500014981,False
soft_1mm_r2,Tz,2370.678612480577,0.0001262724690604,0.0001246166648343,0.0001288069470319,False
soft_1mm_r2,Tz,5325.702217815292,0.0001296213595196,0.0001214762596646,0.000142479155329,False
soft_1mm_r2,Tz,11982.829990084407,0.0001239292032551,0.0001233522780239,0.0001285202451981,False
soft_2mm_r1,Tx,0.1832714063117097,0.0016390952514484,0.0010288320481777,0.002589241368696,False
soft_2mm_r1,Tx,0.7330856252468388,0.0012328869197517,0.0010349458316341,0.0014615796972066,False
