unit,probe,hardness,thickness_mm,rep,n,depth_lo_mm,depth_hi_mm,r2,dia_slope_px_per_mm,level_slope_per_mm
hard_1mm_r1,ball4,hard,1,1,12,0.1087284407167246,1.176957902384579,0.9694914401055239,413.5452667618863,10.430811784115168
hard_1mm_r1,ball8,hard,1,1,10,0.1208890169220779,0.9407549905438444,0.9500192377034011,638.3006611790873,17.55663871084708
hard_2mm_r1,ball4,hard,2,1,17,0.1108949970426316,1.6640180304505847,0.9335958497445394,249.8273692503749,9.261371638032442
hard_2mm_r1,ball8,hard,2,1,19,0.1167831435063426,1.831052965300099,0.946533302372012,331.5452523035655,13.90868376388371
hard_3mm_r1,ball4,hard,3,1,25,0.1965235397433034,2.40297874246998,0.8642468039428851,167.3570366346791,4.717036766435144
hard_3mm_r1,ball8,hard,3,1,19,0.1797599561976142,1.8642955283904532,0.9427178352778668,325.8332621086778,10.89066574754941
medium_1mm_r1,ball4,medium,1,1,13,0.1068780143258152,1.2730606043942707,0.9667508876352859,429.4616219183464,10.270765836465824
medium_1mm_r1,ball8,medium,1,1,12,0.1043626126654793,1.1620996337456582,0.9700654299833265,501.9506340054464,16.19884355807204
medium_2mm_r1,ball4,medium,2,1,30,0.1098082694139783,2.054068520566709,0.8985785368279783,199.23844328291233,8.967037463166596
medium_2mm_r1,ball8,medium,2,1,19,0.1085660887988844,1.838913587856425,0.9262735230718464,358.7384234383605,15.034256714352848
medium_3mm_r1,ball4,medium,3,1,43,0.1136822062198774,2.622656374138547,0.9288478185164813,151.35543345658985,4.824211840582126
medium_3mm_r1,ball8,medium,3,1,24,0.1023358535896328,2.28565180232852,0.963438836042198,242.63916169148962,7.856433029172784
soft_1mm_r2,ball4,soft,1,2,18,0.1141816444931294,1.2936993392605525,0.9706064292449403,319.35298053521416,8.622566119762539
soft_1mm_r2,ball8,soft,1,2,13,0.1125062988085083,1.3153767166200367,0.9503111458687814,440.4323477477473,12.572372175419401
soft_2mm_r1,ball4,soft,2,1,26,0.1065087819409527,1.7285561345016198,0.9322895142305582,225.92748896530736,7.733612563291599
soft_2mm_r1,ball8,soft,2,1,18,0.1070186876291003,1.7469411094722176,0.9643947847697042,339.0952732344857,11.532629076540355
soft_3mm_r1,ball4,soft,3,1,36,0.1074039436476788,2.31975901065427,0.9004923919762803,173.33569591203118,4.7519042848974875
soft_3mm_r1,ball8,soft,3,1,19,0.1878486736715174,1.9851002090612584,0.9267303788098874,306.24021822393007,8.161594765412328
