sensor,width_px,cube4_raw_mae,cyl4_raw_mae,suspect_hardware,density_px_per_mm2
hard_1mm_r1,8,0.1055243959415157,0.06427446252083228,False,0.21444712842969466
hard_1mm_r1,16,0.07447997616424652,0.024559096446674283,False,0.8577885137187786
hard_1mm_r1,32,0.06834254391263588,0.0314136335011895,False,3.4311540548751145
hard_1mm_r1,48,0.07069609194853459,0.036915074786203685,False,7.720096623469007
hard_1mm_r1,80,0.07169494737148398,0.0391747140642579,False,21.44471284296947
hard_1mm_r1,160,0.073370592474386,0.04003766191567735,False,85.77885137187788
hard_1mm_r1,320,0.07396108907390501,0.04017938164438562,False,343.1154054875115
hard_1mm_r1,426,0.07393358071543393,0.040183067074077906,False,608.0782356079261
hard_1mm_r1,640,0.07217096533446998,0.039490842571514403,False,1372.461621950046
hard_1mm_r1,854,0.07229838295194747,0.03942050313021496,False,2443.745654966113
hard_1mm_r1,1280,0.0743098869956172,0.040281358858602824,False,5489.846487800184
hard_1mm_r1,1920,0.07411345016808053,0.04027858687009174,False,12352.154597550414
hard_2mm_r1,8,0.09061078413725596,0.08783176752821262,False,0.177486930809379
hard_2mm_r1,16,0.058808722564585025,0.039209947847655954,False,0.709947723237516
hard_2mm_r1,32,0.0434138086006115,0.033853671067289065,False,2.839790892950064
hard_2mm_r1,48,0.04399928677231768,0.03596663113766072,False,6.389529509137643
hard_2mm_r1,80,0.0464571900978754,0.03297039728694316,False,17.7486930809379
hard_2mm_r1,160,0.04741157035679322,0.032906018682650265,False,70.9947723237516
hard_2mm_r1,320,0.04793415892273882,0.032614593692949966,False,283.9790892950064
hard_2mm_r1,426,0.047890890420980256,0.03272223334842082,False,503.2752852431697
hard_2mm_r1,640,0.04292701746673086,0.026020895429781626,False,1135.9163571800257
hard_2mm_r1,854,0.043084095077223585,0.025918803104094223,False,2022.5634129714535
hard_2mm_r1,1280,0.04893804232925874,0.033677241691282965,False,4543.665428720103
hard_2mm_r1,1920,0.04755931835026246,0.03111812967889665,False,10223.247214620229
hard_3mm_r1,8,0.15839606399587916,0.182174955064208,False,0.13254042623671855
hard_3mm_r1,16,0.13841148326423894,0.11359293133743176,False,0.5301617049468742
hard_3mm_r1,32,0.11747163767245543,0.09299464457459818,False,2.120646819787497
hard_3mm_r1,48,0.11101483165847387,0.0894751309303201,False,4.771455344521867
hard_3mm_r1,80,0.10947230567164347,0.08695383489854702,False,13.254042623671861
hard_3mm_r1,160,0.1050909718834075,0.08459037662275205,False,53.016170494687444
hard_3mm_r1,320,0.10319257388141878,0.08436977610714806,False,212.06468197874977
hard_3mm_r1,426,0.10220239668714133,0.08443805136509311,False,375.8266623708553
hard_3mm_r1,640,0.09603219464050854,0.08070169416047701,False,848.2587279149991
hard_3mm_r1,854,0.09532109136012323,0.0804642348436273,False,1510.372710957166
hard_3mm_r1,1280,0.10189295793202648,0.0847534046394385,False,3393.0349116599964
hard_3mm_r1,1920,0.09853868047025927,0.08295227800287376,False,7634.328551234989
medium_1mm_r1,8,0.04177601026414239,0.05522242781645946,False,0.21059322079920634
medium_1mm_r1,16,0.04094872404880476,0.034754188330241964,False,0.8423728831968254
medium_1mm_r1,32,0.04082633812053443,0.03730299477645998,False,3.3694915327873014
medium_1mm_r1,48,0.04357550252301936,0.04079301809141284,False,7.581355948771427
medium_1mm_r1,80,0.04583002884013894,0.04231128548452502,False,21.05932207992063
medium_1mm_r1,160,0.04701458174808268,0.043343881566020336,False,84.23728831968252
medium_1mm_r1,320,0.04712391752822644,0.04326797952124724,False,336.9491532787301
medium_1mm_r1,426,0.04742490608318094,0.04307491635152944,False,597.1502396524494
medium_1mm_r1,640,0.04566434133870843,0.0401779227442468,False,1347.7966131149203
medium_1mm_r1,854,0.04584536958558801,0.04004638497898228,False,2399.8282096936555
medium_1mm_r1,1280,0.047424879261090805,0.043392245519849125,False,5391.186452459681
medium_1mm_r1,1920,0.0470402430377746,0.04127900232741486,False,12130.169518034287
medium_2mm_r1,8,0.06863779267102359,0.129914453058273,False,0.17367109773304965
medium_2mm_r1,16,0.04149296395286798,0.08040883087390328,False,0.6946843909321986
medium_2mm_r1,32,0.021179434655158497,0.04882234850968462,False,2.7787375637287943
medium_2mm_r1,48,0.018829432127921576,0.05134212539911807,False,6.252159518389789
medium_2mm_r1,80,0.024334062820224756,0.04986135572265129,False,17.367109773304964
medium_2mm_r1,160,0.02619365211382385,0.05190300293336849,False,69.46843909321986
medium_2mm_r1,320,0.02688607405677316,0.05174237555583854,False,277.8737563728794
medium_2mm_r1,426,0.02692559417143343,0.05152432779541157,False,492.45525206567055
medium_2mm_r1,640,0.020106984486727677,0.044184152074858936,False,1111.4950254915177
medium_2mm_r1,854,0.0199966305847454,0.04337326378942075,False,1979.0798486605756
medium_2mm_r1,1280,0.026356940900831217,0.050517720829154435,False,4445.980101966071
medium_2mm_r1,1920,0.023863700589089393,0.047004359501804316,False,10003.45522942366
medium_3mm_r1,8,0.12789285562929587,0.1414743436349582,False,0.1366479789414849
medium_3mm_r1,16,0.08735903794563883,0.07937188482266179,False,0.5465919157659396
medium_3mm_r1,32,0.069720054740678,0.07233308999222031,False,2.1863676630637583
medium_3mm_r1,48,0.07016023255881743,0.07781258764099588,False,4.919327241893458
