sensor,probe,density_px_per_mm2,mae_mm
hard_1mm_r2,cyl4,0.22987796811764577,0.28470181796684163
hard_1mm_r2,cyl4,0.9195118724705831,0.2211814035807418
hard_1mm_r2,cyl4,3.6780474898823323,0.23288789525108025
hard_1mm_r2,cyl4,8.275606852235248,0.24165902976241505
hard_1mm_r2,cyl4,22.98779681176457,0.24583533350673115
hard_1mm_r2,cyl4,91.95118724705829,0.24909579643964067
hard_1mm_r2,cyl4,367.80474898823314,0.24899326744784214
hard_1mm_r2,cyl4,651.833345970592,0.24889074567379355
hard_1mm_r2,cyl4,1471.2189959529326,0.24087837057793435
hard_1mm_r2,cyl4,2619.5887530576397,0.24061956969384649
hard_1mm_r2,cyl4,5884.87598381173,0.24930111022650495
hard_1mm_r2,cyl4,13240.970963576396,0.24629661377503773
hard_2mm_r2,cyl4,0.18730501242301487,0.012090647747740477
hard_2mm_r2,cyl4,0.7492200496920595,0.02234772279346516
hard_2mm_r2,cyl4,2.996880198768238,0.03799060835443132
hard_2mm_r2,cyl4,6.742980447228534,0.03323272347830371
hard_2mm_r2,cyl4,18.730501242301486,0.02900869280479984
hard_2mm_r2,cyl4,74.92200496920594,0.026390241388307378
hard_2mm_r2,cyl4,299.6880198768238,0.026152549240814005
hard_2mm_r2,cyl4,531.1150692887351,0.025816881213413023
hard_2mm_r2,cyl4,1198.752079507295,0.028268426958547387
hard_2mm_r2,cyl4,2134.4459756297424,0.02832006842278078
hard_2mm_r2,cyl4,4795.00831802918,0.025971130583511148
hard_2mm_r2,cyl4,10788.768715565659,0.02708503783129288
hard_3mm_r1,cyl4,0.13254042623671855,0.182174955064208
hard_3mm_r1,cyl4,0.5301617049468742,0.11359293133743176
hard_3mm_r1,cyl4,2.120646819787497,0.09299464457459818
hard_3mm_r1,cyl4,4.771455344521867,0.0894751309303201
hard_3mm_r1,cyl4,13.254042623671861,0.08695383489854702
hard_3mm_r1,cyl4,53.016170494687444,0.08459037662275205
hard_3mm_r1,cyl4,212.06468197874977,0.08436977610714806
hard_3mm_r1,cyl4,375.8266623708553,0.08443805136509311
hard_3mm_r1,cyl4,848.2587279149991,0.08070169416047701
hard_3mm_r1,cyl4,1510.372710957166,0.0804642348436273
hard_3mm_r1,cyl4,3393.0349116599964,0.0847534046394385
hard_3mm_r1,cyl4,7634.328551234989,0.08295227800287376
medium_1mm_r1,cyl4,0.21059322079920634,0.05522242781645946
medium_1mm_r1,cyl4,0.8423728831968254,0.034754188330241964
medium_1mm_r1,cyl4,3.3694915327873014,0.03730299477645998
medium_1mm_r1,cyl4,7.581355948771427,0.04079301809141284
medium_1mm_r1,cyl4,21.05932207992063,0.04231128548452502
medium_1mm_r1,cyl4,84.23728831968252,0.043343881566020336
medium_1mm_r1,cyl4,336.9491532787301,0.04326797952124724
medium_1mm_r1,cyl4,597.1502396524494,0.04307491635152944
