probe,width_px,density_px_per_mm2,mae_mm
cyl4,8,0.1832714063117097,0.13140053251044606
cyl4,16,0.7330856252468388,0.08040883087390328
cyl4,32,2.9323425009873554,0.07233308999222031
cyl4,48,6.597770627221551,0.07781258764099588
cyl4,80,18.327140631170973,0.07857450859975329
cyl4,160,73.3085625246839,0.08077838810514919
cyl4,320,293.2342500987356,0.07920632155966276
cyl4,426,519.6775270597474,0.07853454443048943
cyl4,640,1172.9370003949423,0.06775812366234246
cyl4,854,2088.480765087983,0.06667750560866777
cyl4,1280,4691.748001579769,0.08116853328775875
cyl4,1920,10556.43300355448,0.07535914795827384
cube4,8,0.1832714063117097,0.09868255919575984
cube4,16,0.7330856252468388,0.08735903794563883
cube4,32,2.9323425009873554,0.069720054740678
cube4,48,6.597770627221551,0.07016023255881743
cube4,80,18.327140631170973,0.06480867050585222
cube4,160,73.3085625246839,0.06110926476614747
cube4,320,293.2342500987356,0.05942645676431133
cube4,426,519.6775270597474,0.058497573013077925
cube4,640,1172.9370003949423,0.046670754825046394
cube4,854,2088.480765087983,0.046091231281529636
cube4,1280,4691.748001579769,0.058334476078520964
cube4,1920,10556.43300355448,0.05514427157736893
