sensor_id,index,at,image,label,Fx_s,Fy_s,Fz_s,Tx_s,Ty_s,Tz_s,Fx_base,Fy_base,Fz_base,Fmag,tcp_x,tcp_y,tcp_z,descent_mm,depth_corrected_mm,contact_x_sensor_mm,contact_y_sensor_mm,lateral_fraction,probe_tilt_deg
9DTact_medium_1mm_r1,1,2026-09-07T21:51:42.490959,0001.png,N0.10,-0.00669,-0.01508,-0.13809,-0.000138,-0.000295,-0.000408,0.0027,-0.01862,-0.1378,0.13907,37.9259,362.786,37.9512,-0.0,0.0712,-2.135,1.001,0.1186,1.731
9DTact_medium_1mm_r1,2,2026-09-07T21:51:44.356321,0002.png,N0.20,-0.00626,-0.00395,-0.26722,-0.000303,-0.000289,-0.000377,-0.00159,-0.01083,-0.2671,0.26732,37.923,362.7945,37.8234,0.1276,0.1988,-1.081,1.134,0.0277,1.731
9DTact_medium_1mm_r1,3,2026-09-07T21:51:45.377256,0003.png,N0.30,-0.00833,0.0004,-0.29589,-0.000391,-0.000374,-0.000537,-0.00536,-0.00855,-0.29584,0.29601,37.9208,362.7995,37.7814,0.1695,0.2407,-1.264,1.32,0.0282,1.731
9DTact_medium_1mm_r1,4,2026-09-07T21:51:46.819419,0004.png,N0.40,-0.01743,-0.01667,-0.45792,4.4e-05,-0.000711,-0.000432,-0.0036,-0.03048,-0.45752,0.45855,37.9145,362.7973,37.683,0.2679,0.3391,-1.553,-0.097,0.0526,1.731
9DTact_medium_1mm_r1,5,2026-09-07T21:51:48.260544,0005.png,N0.50,-0.00865,0.00631,-0.57913,-0.000452,-0.000734,-0.000348,-0.00663,-0.00813,-0.57913,0.57923,37.9126,362.7922,37.6092,0.3418,0.413,-1.267,0.781,0.0185,1.731
9DTact_medium_1mm_r1,6,2026-09-07T21:51:49.284175,0006.png,N0.60,-0.00965,0.00952,-0.67936,-0.00035,-0.000689,-0.000313,-0.00841,-0.00746,-0.6794,0.67949,37.9132,362.7892,37.5548,0.3962,0.4674,-1.014,0.515,0.02,1.731
9DTact_medium_1mm_r1,7,2026-09-07T21:51:50.333434,0007.png,N0.70,-0.00521,0.01112,-0.71893,-0.000491,-0.000833,-0.000509,-0.00509,-0.00449,-0.719,0.71903,37.9116,362.798,37.5199,0.4309,0.5022,-1.158,0.682,0.0171,1.731
9DTact_medium_1mm_r1,8,2026-09-07T21:51:51.369325,0008.png,N0.80,-0.00312,0.00975,-0.85204,-0.000359,-0.000965,-0.000399,-0.00167,-0.00676,-0.85208,0.85211,37.9155,362.7837,37.4637,0.4874,0.5586,-1.132,0.421,0.012,1.731
9DTact_medium_1mm_r1,9,2026-09-07T21:51:52.412465,0009.png,N0.90,-0.00067,0.02058,-0.9326,-0.000521,-0.000904,-0.000248,-0.0044,0.00255,-0.93281,0.93283,37.9127,362.7995,37.4369,0.5139,0.5852,-0.97,0.559,0.0221,1.731
9DTact_medium_1mm_r1,10,2026-09-07T21:51:53.430003,0010.png,N1.00,-0.00489,0.01489,-1.06999,-0.000348,-0.001118,-0.000361,-0.00426,-0.00669,-1.07008,1.0701,37.9155,362.7834,37.3705,0.5806,0.6519,-1.045,0.325,0.0146,1.731
9DTact_medium_1mm_r1,11,2026-09-07T21:51:54.473473,0011.png,N1.10,-0.00274,0.02353,-1.13566,-0.000579,-0.001032,-0.000299,-0.00625,0.00082,-1.13589,1.1359,37.9135,362.7953,37.3433,0.6076,0.6788,-0.909,0.509,0.0209,1.731
9DTact_medium_1mm_r1,12,2026-09-07T21:51:55.918235,0012.png,N1.20,-0.00627,0.00335,-1.30799,-1.2e-05,-0.001359,-0.000361,0.00196,-0.02119,-1.30784,1.30801,37.9186,362.7766,37.2723,0.6789,0.7502,-1.039,0.009,0.0054,1.731
9DTact_medium_1mm_r1,13,2026-09-07T21:51:56.930191,0013.png,N1.30,0.01063,0.0496,-1.33166,-0.001176,-0.001015,-0.000418,-0.00634,0.02694,-1.33233,1.33262,37.9124,362.8094,37.2601,0.6905,0.7617,-0.762,0.883,0.0381,1.731
9DTact_medium_1mm_r1,14,2026-09-07T21:51:57.958754,0014.png,N1.40,-0.00398,0.0206,-1.49524,-0.000233,-0.001324,-0.000329,-0.00337,-0.00811,-1.49536,1.49538,37.9178,362.7811,37.2081,0.743,0.8142,-0.886,0.156,0.014,1.731
