t,Fx,Fy,Fz,Tx,Ty,Tz
1788776642.823121,-0.00341,-0.00021,0.02444,0.00023,0.0001,-0.00031
1788776642.837594,-0.00207,-0.00255,-0.00915,-4e-05,-7e-05,-1e-05
1788776642.858090,0.00153,0.00433,0.0156,7e-05,4e-05,-7e-05
1788776642.877515,-0.00234,0.00223,0.0064,-0.00025,-0.00022,0.0
1788776642.897933,0.00169,0.00212,-0.00251,0.00014,0.0001,-2e-05
1788776642.918274,0.00014,0.00471,-0.00179,7e-05,-1e-05,-1e-05
1788776642.937561,0.00035,-0.0041,-0.00481,9e-05,1e-05,3e-05
1788776642.958402,0.00029,-0.0,-0.00796,7e-05,0.00014,2e-05
1788776642.977945,-0.00058,0.0004,-0.01857,0.0002,4e-05,5e-05
1788776642.998343,0.00038,0.0028,-0.00062,9e-05,-5e-05,-3e-05
1788776643.017733,0.00266,-0.00207,-0.00758,-7e-05,-8e-05,0.00014
1788776643.038098,0.00148,-0.0025,-0.01719,0.00024,0.00015,1e-05
1788776643.058429,0.00132,-0.00648,-0.00455,-0.00013,-9e-05,2e-05
1788776643.077720,0.00653,-0.00555,-0.01091,1e-05,-4e-05,7e-05
1788776643.098091,-0.00088,-0.00515,-0.01239,-6e-05,-4e-05,3e-05
1788776643.118414,0.00053,-0.00171,-0.00313,-4e-05,-1e-05,-3e-05
1788776643.137758,0.00174,0.00205,-0.02839,0.00022,4e-05,0.00013
1788776643.158194,0.00075,0.00314,-0.00772,1e-05,-0.00014,4e-05
1788776643.178520,-0.00055,6e-05,-0.00598,-8e-05,-6e-05,0.00017
1788776643.197771,0.00031,-0.00073,-0.00703,-7e-05,-1e-05,0.0001
1788776643.218083,-0.00238,-0.00042,-0.02456,0.0001,3e-05,8e-05
1788776643.238450,0.00297,-0.00326,-0.02203,3e-05,-8e-05,0.00011
1788776643.257716,-0.00551,0.00254,-0.01245,0.00012,0.00011,8e-05
1788776643.278046,-0.00016,0.00069,-0.03209,3e-05,5e-05,0.00015
1788776643.298382,-0.00152,-0.00161,-0.02191,-2e-05,-0.00011,8e-05
1788776643.317667,-9e-05,-0.00186,-0.01663,0.00017,3e-05,0.00012
1788776643.338140,0.0053,-0.00334,-0.02203,4e-05,-3e-05,0.00019
1788776643.357608,-0.00047,0.00199,0.01242,-7e-05,-0.00014,4e-05
1788776643.378400,0.00135,-0.00096,0.00074,-8e-05,-0.00012,-4e-05
1788776643.397884,0.00064,-0.00243,-0.01642,8e-05,-0.0001,4e-05
1788776643.418355,0.00194,-0.00195,0.00659,2e-05,-0.00011,-4e-05
1788776643.437733,-0.00103,-0.00068,-0.00329,0.00011,3e-05,-5e-05
1788776643.458504,-0.0043,0.00291,0.00678,0.00014,1e-05,-5e-05
1788776643.477829,-0.0019,7e-05,-0.00187,9e-05,-0.0,-7e-05
1788776643.498302,-0.0019,-0.00031,0.00815,4e-05,-0.00012,-0.00021
1788776643.517648,0.00203,-0.00909,0.0269,-5e-05,-0.0002,-0.00024
1788776643.538076,-0.00126,-0.00176,0.03073,-0.00024,-0.00023,-0.00014
1788776643.558521,0.00202,-0.00234,-0.00909,2e-05,5e-05,-0.0
1788776643.577945,0.00119,-0.00256,0.00919,-0.0,-7e-05,-0.00012
1788776643.597762,-0.00154,0.00094,0.01182,-2e-05,-6e-05,0.0
1788776643.618205,-0.00076,8e-05,-0.01445,-1e-05,0.00024,0.00019
