sensor,probe,width_px,mae_mm,suspect_hardware
hard_1mm_r1,cyl4,854,0.0262748283267827,False
hard_1mm_r1,cyl4,1280,0.0215148613936544,False
hard_1mm_r1,cyl4,1920,0.0277543396006877,False
hard_1mm_r1,cube4,8,0.5143516367805466,False
hard_1mm_r1,cube4,16,0.2873583524371152,False
hard_1mm_r1,cube4,32,0.2174899950506752,False
hard_1mm_r1,cube4,48,0.1349871468923951,False
hard_1mm_r1,cube4,80,0.0453839755189881,False
hard_1mm_r1,cube4,160,0.0425394734745297,False
hard_1mm_r1,cube4,320,0.056054729490972,False
hard_1mm_r1,cube4,426,0.0607689700438296,False
hard_1mm_r1,cube4,640,0.0763757042470043,False
hard_1mm_r1,cube4,854,0.0839811485764846,False
hard_1mm_r1,cube4,1280,0.0959535173489367,False
hard_1mm_r1,cube4,1920,0.108747843447262,False
hard_2mm_r1,cyl4,16,0.2789019105083642,False
hard_2mm_r1,cyl4,32,0.2426696351236482,False
hard_2mm_r1,cyl4,48,0.0856177698276238,False
hard_2mm_r1,cyl4,80,0.0584010875068769,False
hard_2mm_r1,cyl4,160,0.069960697363111,False
hard_2mm_r1,cyl4,320,0.0738884653796518,False
hard_2mm_r1,cyl4,426,0.0717227223179002,False
hard_2mm_r1,cyl4,640,0.0687229817686405,False
hard_2mm_r1,cyl4,854,0.0648725365138312,False
hard_2mm_r1,cyl4,1280,0.0604315846283826,False
hard_2mm_r1,cyl4,1920,0.0523541002159415,False
hard_2mm_r1,cube4,16,0.2857178290587215,False
hard_2mm_r1,cube4,32,0.184150087827931,False
hard_2mm_r1,cube4,48,0.0470975549405772,False
hard_2mm_r1,cube4,80,0.0706150499813033,False
hard_2mm_r1,cube4,160,0.0881602013503286,False
hard_2mm_r1,cube4,320,0.0889394135699692,False
hard_2mm_r1,cube4,426,0.0901126153631531,False
hard_2mm_r1,cube4,640,0.081402584896835,False
hard_2mm_r1,cube4,854,0.0752952063010159,False
hard_2mm_r1,cube4,1280,0.0699130314336257,False
hard_2mm_r1,cube4,1920,0.0624710770180237,False
hard_3mm_r1,cyl4,8,0.5240269813352789,False
hard_3mm_r1,cyl4,16,0.2428334814228804,False
