sensor,probe,density_px_per_mm2,mae_mm,suspect_hardware
soft_1mm_r1,cyl4,0.6926613369365556,0.4404304169069587,False
soft_1mm_r1,cyl4,2.7706453477462225,0.3194232166540731,False
soft_1mm_r1,cyl4,6.233952032429001,0.1900261414705905,False
soft_1mm_r1,cyl4,17.31653342341389,0.10409076830091,False
soft_1mm_r1,cyl4,69.26613369365556,0.0723099281703871,False
soft_1mm_r1,cyl4,277.06453477462225,0.0699741030373532,False
soft_1mm_r1,cyl4,491.02112805429056,0.0682699738021551,False
soft_1mm_r1,cyl4,1108.258139098489,0.0810104863876295,False
soft_1mm_r1,cyl4,1973.316389098519,0.086531103976984,False
soft_1mm_r1,cyl4,4433.032556393956,0.1041790449529083,False
soft_1mm_r1,cyl4,9974.3232518864,0.1279737799069145,False
soft_1mm_r1,cube4,0.6926613369365556,0.4361515181080199,False
soft_1mm_r1,cube4,2.7706453477462225,0.320257221164189,False
soft_1mm_r1,cube4,6.233952032429001,0.2103894588168161,False
soft_1mm_r1,cube4,17.31653342341389,0.148557449933459,False
soft_1mm_r1,cube4,69.26613369365556,0.128972989749481,False
soft_1mm_r1,cube4,277.06453477462225,0.1193357370114025,False
soft_1mm_r1,cube4,491.02112805429056,0.1209511892811156,False
soft_1mm_r1,cube4,1108.258139098489,0.128969092474947,False
soft_1mm_r1,cube4,1973.316389098519,0.1350999486263292,False
soft_1mm_r1,cube4,4433.032556393956,0.1502689190770881,False
soft_1mm_r1,cube4,9974.3232518864,0.172085921367327,False
soft_2mm_r1,cyl4,0.5459389030218897,0.3572703460317245,False
soft_2mm_r1,cyl4,2.183755612087559,0.2668273297366619,False
soft_2mm_r1,cyl4,4.913450127197007,0.1321073016755009,False
soft_2mm_r1,cyl4,13.648472575547242,0.0800043588279575,False
soft_2mm_r1,cyl4,54.59389030218897,0.061921004861276,False
soft_2mm_r1,cyl4,218.37556120875587,0.0679478988706377,False
soft_2mm_r1,cyl4,387.01097017500166,0.0726135393444692,False
soft_2mm_r1,cyl4,873.5022448350235,0.0778318699535122,False
soft_2mm_r1,cyl4,1555.3202226418462,0.0829260755778326,False
soft_2mm_r1,cyl4,3494.008979340094,0.0914554234369487,False
soft_2mm_r1,cyl4,7861.5202035152115,0.1071043099207322,False
soft_2mm_r1,cube4,0.5459389030218897,0.3489074018236788,False
soft_2mm_r1,cube4,2.183755612087559,0.2730711242568286,False
soft_2mm_r1,cube4,4.913450127197007,0.1661387129760575,False
soft_2mm_r1,cube4,13.648472575547242,0.136420745130558,False
soft_2mm_r1,cube4,54.59389030218897,0.1310601267416568,False
soft_2mm_r1,cube4,218.37556120875587,0.1378381847943407,False
soft_2mm_r1,cube4,387.01097017500166,0.1430156685330512,False
soft_2mm_r1,cube4,873.5022448350235,0.1462792017260483,False
soft_2mm_r1,cube4,1555.3202226418462,0.1490471014205905,False
soft_2mm_r1,cube4,3494.008979340094,0.1546368933046154,False
soft_2mm_r1,cube4,7861.5202035152115,0.1665772598155381,False
soft_3mm_r1,cyl4,0.44739749603718704,0.4489265812477711,False
soft_3mm_r1,cyl4,1.7895899841487481,0.1885988202315541,False
soft_3mm_r1,cyl4,4.026577464334683,0.1023122960598976,False
soft_3mm_r1,cyl4,11.184937400929673,0.0545869196123448,False
soft_3mm_r1,cyl4,44.73974960371869,0.0564517511639124,False
soft_3mm_r1,cyl4,178.95899841487477,0.0507118035289274,False
soft_3mm_r1,cyl4,317.15589058923655,0.0525584298356333,False
soft_3mm_r1,cyl4,715.8359936594991,0.0492787175584072,False
soft_3mm_r1,cyl4,1274.5865321088163,0.0460480061131948,False
soft_3mm_r1,cyl4,2863.3439746379963,0.0485317099342322,False
soft_3mm_r1,cyl4,6442.523942935493,0.0736580256910366,False
soft_3mm_r1,cube4,0.44739749603718704,0.4309657668590911,False
soft_3mm_r1,cube4,1.7895899841487481,0.1495424573516217,False
soft_3mm_r1,cube4,4.026577464334683,0.0657509060400371,False
soft_3mm_r1,cube4,11.184937400929673,0.0664037196167134,False
soft_3mm_r1,cube4,44.73974960371869,0.0685098534651421,False
soft_3mm_r1,cube4,178.95899841487477,0.0612072642941742,False
soft_3mm_r1,cube4,317.15589058923655,0.0603067834752622,False
soft_3mm_r1,cube4,715.8359936594991,0.0573615404047392,False
soft_3mm_r1,cube4,1274.5865321088163,0.0511129222390873,False
soft_3mm_r1,cube4,2863.3439746379963,0.0481800079247918,False
soft_3mm_r1,cube4,6442.523942935493,0.0499465320704028,False
medium_1mm_r1,cyl4,0.15358648869735508,0.5328780773926393,False
medium_1mm_r1,cyl4,0.6143459547894203,0.3202700518249038,False
medium_1mm_r1,cyl4,2.4573838191576813,0.2684668343258267,False
medium_1mm_r1,cyl4,5.529113593104783,0.1912412473831191,False
medium_1mm_r1,cyl4,15.358648869735509,0.1296737795032271,False
medium_1mm_r1,cyl4,61.434595478942036,0.1059638931030687,False
medium_1mm_r1,cyl4,245.73838191576814,0.1009916774517412,False
medium_1mm_r1,cyl4,435.50408785689393,0.1016066889902235,False
medium_1mm_r1,cyl4,982.9535276630726,0.1098861911750782,False
medium_1mm_r1,cyl4,1750.2044311062532,0.1129579247185205,False
medium_1mm_r1,cyl4,3931.8141106522903,0.1227436525232542,False
medium_1mm_r1,cyl4,8846.581748967654,0.1377538462379192,False
medium_1mm_r1,cube4,0.15358648869735508,0.5264914708991656,False
medium_1mm_r1,cube4,0.6143459547894203,0.3200646025287418,False
medium_1mm_r1,cube4,2.4573838191576813,0.2642045303096184,False
medium_1mm_r1,cube4,5.529113593104783,0.2112689168351202,False
medium_1mm_r1,cube4,15.358648869735509,0.1870339942323475,False
medium_1mm_r1,cube4,61.434595478942036,0.1831790823027302,False
medium_1mm_r1,cube4,245.73838191576814,0.1841563080596237,False
medium_1mm_r1,cube4,435.50408785689393,0.1843687017607002,False
medium_1mm_r1,cube4,982.9535276630726,0.1893270019241045,False
medium_1mm_r1,cube4,1750.2044311062532,0.1915810952897925,False
medium_1mm_r1,cube4,3931.8141106522903,0.197621173295546,False
medium_1mm_r1,cube4,8846.581748967654,0.2086288416684105,False
medium_2mm_r2,cyl4,0.5437167309244376,0.4670433959080186,False
medium_2mm_r2,cyl4,2.1748669236977505,0.2253669935262938,False
medium_2mm_r2,cyl4,4.893450578319937,0.1312970927072968,False
medium_2mm_r2,cyl4,13.592918273110941,0.0553896779240123,False
medium_2mm_r2,cyl4,54.371673092443764,0.0603812299921398,False
medium_2mm_r2,cyl4,217.48669236977506,0.0563409699564374,False
medium_2mm_r2,cyl4,385.43569320798133,0.0562015725943973,False
medium_2mm_r2,cyl4,869.9467694791002,0.0621938378084298,False
medium_2mm_r2,cyl4,1548.989497386278,0.054704852156195,False
medium_2mm_r2,cyl4,3479.787077916401,0.0534523570541824,False
medium_2mm_r2,cyl4,7829.520925311901,0.0474107292291973,False
medium_2mm_r2,cube4,0.5437167309244376,0.4309350210761244,False
medium_2mm_r2,cube4,2.1748669236977505,0.1888825655658011,False
medium_2mm_r2,cube4,4.893450578319937,0.0978618423077393,False
medium_2mm_r2,cube4,13.592918273110941,0.0616764265003215,False
medium_2mm_r2,cube4,54.371673092443764,0.0759996328083089,False
medium_2mm_r2,cube4,217.48669236977506,0.0683450686635982,False
medium_2mm_r2,cube4,385.43569320798133,0.0647847211810361,False
medium_2mm_r2,cube4,869.9467694791002,0.0712374970517964,False
medium_2mm_r2,cube4,1548.989497386278,0.0641278599900416,False
medium_2mm_r2,cube4,3479.787077916401,0.0592279130173138,False
medium_2mm_r2,cube4,7829.520925311901,0.0492800402931567,False
medium_3mm_r1,cyl4,1.880173455734873,0.3107771961479564,False
medium_3mm_r1,cyl4,4.230390275403463,0.20054723141773,False
medium_3mm_r1,cyl4,11.751084098342956,0.1405901631594545,False
medium_3mm_r1,cyl4,47.00433639337182,0.1064434121927466,False
medium_3mm_r1,cyl4,188.0173455734873,0.1060235744596368,False
medium_3mm_r1,cyl4,333.20933403607586,0.1047841592014676,False
medium_3mm_r1,cyl4,752.0693822939492,0.1122527966943892,False
medium_3mm_r1,cyl4,1339.1021328542329,0.1170406767938712,False
medium_3mm_r1,cyl4,3008.2775291757966,0.1317280125334043,False
medium_3mm_r1,cyl4,6768.624440645542,0.1501831215750025,False
medium_3mm_r1,cube4,1.880173455734873,0.276565384023088,False
medium_3mm_r1,cube4,4.230390275403463,0.166841957311032,False
medium_3mm_r1,cube4,11.751084098342956,0.1189536814542589,False
medium_3mm_r1,cube4,47.00433639337182,0.1031420832175472,False
medium_3mm_r1,cube4,188.0173455734873,0.0958098106982288,False
medium_3mm_r1,cube4,333.20933403607586,0.0932602158091443,False
medium_3mm_r1,cube4,752.0693822939492,0.1033817035110769,False
medium_3mm_r1,cube4,1339.1021328542329,0.1075472032926458,False
medium_3mm_r1,cube4,3008.2775291757966,0.1212402935104546,False
medium_3mm_r1,cube4,6768.624440645542,0.1417649468061306,False
hard_1mm_r1,cyl4,0.16359452992262702,0.5096259926410522,False
hard_1mm_r1,cyl4,0.6543781196905081,0.3218665760880673,False
hard_1mm_r1,cyl4,2.6175124787620323,0.2050192685245148,False
hard_1mm_r1,cyl4,5.889403077214571,0.1299640523958874,False
hard_1mm_r1,cyl4,16.3594529922627,0.0370964563209486,False
hard_1mm_r1,cyl4,65.4378119690508,0.0380478594520362,False
hard_1mm_r1,cyl4,261.7512478762032,0.0519922038401503,False
hard_1mm_r1,cyl4,463.88251425372886,0.0546836082167432,False
hard_1mm_r1,cyl4,1047.0049915048128,0.0666081417006259,False
hard_1mm_r1,cyl4,1864.2516903914163,0.0689050356615257,False
hard_1mm_r1,cyl4,4188.019966019251,0.0798688493737252,False
hard_1mm_r1,cyl4,9423.044923543315,0.0937922255514733,False
hard_1mm_r1,cube4,0.16359452992262702,0.5143516367805466,False
hard_1mm_r1,cube4,0.6543781196905081,0.3250211103081669,False
hard_1mm_r1,cube4,2.6175124787620323,0.2311089116342331,False
hard_1mm_r1,cube4,5.889403077214571,0.1780693102511232,False
hard_1mm_r1,cube4,16.3594529922627,0.1159738221399451,False
hard_1mm_r1,cube4,65.4378119690508,0.1162490391366149,False
hard_1mm_r1,cube4,261.7512478762032,0.1311268617262874,False
hard_1mm_r1,cube4,463.88251425372886,0.1348778147444094,False
hard_1mm_r1,cube4,1047.0049915048128,0.1442859217330158,False
hard_1mm_r1,cube4,1864.2516903914163,0.1466677284993196,False
hard_1mm_r1,cube4,4188.019966019251,0.1548807495156889,False
hard_1mm_r1,cube4,9423.044923543315,0.1640959752529204,False
hard_2mm_r1,cyl4,0.5502079185820399,0.4422659387681348,False
hard_2mm_r1,cyl4,2.2008316743281595,0.2279090810022549,False
hard_2mm_r1,cyl4,4.95187126723836,0.165177481696395,False
hard_2mm_r1,cyl4,13.755197964550996,0.1333283572016619,False
hard_2mm_r1,cyl4,55.020791858203985,0.0981199309927022,False
hard_2mm_r1,cyl4,220.08316743281594,0.0975424545996847,False
hard_2mm_r1,cyl4,390.03723528357153,0.1007226344481239,False
hard_2mm_r1,cyl4,880.3326697312638,0.1015782621765431,False
hard_2mm_r1,cyl4,1567.482181049137,0.104498497580253,False
hard_2mm_r1,cyl4,3521.330678925055,0.1129866588109198,False
hard_2mm_r1,cyl4,7922.994027581375,0.1282231596685247,False
hard_2mm_r1,cube4,0.5502079185820399,0.4003817522377921,False
hard_2mm_r1,cube4,2.2008316743281595,0.1879828193791113,False
hard_2mm_r1,cube4,4.95187126723836,0.1216883800092987,False
hard_2mm_r1,cube4,13.755197964550996,0.1024504749670527,False
hard_2mm_r1,cube4,55.020791858203985,0.0776205649855139,False
hard_2mm_r1,cube4,220.08316743281594,0.0760217365521219,False
hard_2mm_r1,cube4,390.03723528357153,0.0755695400549622,False
hard_2mm_r1,cube4,880.3326697312638,0.0803325991013921,False
hard_2mm_r1,cube4,1567.482181049137,0.0838358093619249,False
hard_2mm_r1,cube4,3521.330678925055,0.0918558312370034,False
hard_2mm_r1,cube4,7922.994027581375,0.1053855465301681,False
hard_3mm_r1,cyl4,0.10372006480064849,0.5240269813352789,False
hard_3mm_r1,cyl4,0.41488025920259397,0.2740580065876873,False
hard_3mm_r1,cyl4,1.6595210368103759,0.1957607394888797,False
hard_3mm_r1,cyl4,3.733922332823346,0.1367816222290826,False
hard_3mm_r1,cyl4,10.37200648006485,0.0686807496762402,False
hard_3mm_r1,cyl4,41.4880259202594,0.061925155030431,False
hard_3mm_r1,cyl4,165.9521036810376,0.0620047831340243,False
hard_3mm_r1,cyl4,294.1047262462889,0.0639887224415905,False
hard_3mm_r1,cyl4,663.8084147241505,0.0726047317991454,False
hard_3mm_r1,cyl4,1181.9484809398402,0.0808198883381782,False
hard_3mm_r1,cyl4,2655.233658896602,0.0980222671579783,False
hard_3mm_r1,cyl4,5974.275732517353,0.1188175571541619,False
hard_3mm_r1,cube4,0.10372006480064849,0.6036786101448287,False
hard_3mm_r1,cube4,0.41488025920259397,0.3371306426202505,False
hard_3mm_r1,cube4,1.6595210368103759,0.2085277872470765,False
hard_3mm_r1,cube4,3.733922332823346,0.1386242694842565,False
hard_3mm_r1,cube4,10.37200648006485,0.0815910361397016,False
hard_3mm_r1,cube4,41.4880259202594,0.0723464289990811,False
hard_3mm_r1,cube4,165.9521036810376,0.0733546475890545,False
hard_3mm_r1,cube4,294.1047262462889,0.078582162937795,False
hard_3mm_r1,cube4,663.8084147241505,0.0894608082870889,False
hard_3mm_r1,cube4,1181.9484809398402,0.0971556841085601,False
hard_3mm_r1,cube4,2655.233658896602,0.1118614935626833,False
hard_3mm_r1,cube4,5974.275732517353,0.131412729900355,False
