sensor,probe,density_px_per_mm2,mae_mm
hard_1mm_r1,cyl4,0.16359452992262702,0.1527005703383045
hard_1mm_r1,cyl4,0.6543781196905081,0.3305679953030096
hard_1mm_r1,cyl4,2.6175124787620323,0.0281370009119392
hard_1mm_r1,cyl4,5.889403077214571,0.0287449918129063
hard_1mm_r1,cyl4,16.3594529922627,0.0176871912809067
hard_1mm_r1,cyl4,65.4378119690508,0.0239045654743236
hard_1mm_r1,cyl4,261.7512478762032,0.0336887626431852
hard_1mm_r1,cyl4,463.88251425372886,0.0367889489988683
hard_1mm_r1,cyl4,1047.0049915048128,0.0496026739537039
hard_1mm_r1,cyl4,1864.2516903914163,0.0674730640800799
hard_1mm_r1,cyl4,4188.019966019251,0.0796228049184221
hard_1mm_r1,cyl4,9423.044923543315,0.0937922255514733
hard_2mm_r1,cyl4,0.5502079185820399,0.1310983108422036
hard_2mm_r1,cyl4,2.2008316743281595,0.043172037641226
hard_2mm_r1,cyl4,4.95187126723836,0.0653279028048982
hard_2mm_r1,cyl4,13.755197964550996,0.0908255014408224
hard_2mm_r1,cyl4,55.020791858203985,0.0831849196398728
hard_2mm_r1,cyl4,220.08316743281594,0.0842943916585419
hard_2mm_r1,cyl4,390.03723528357153,0.0866161786184357
hard_2mm_r1,cyl4,880.3326697312638,0.0921458166249586
hard_2mm_r1,cyl4,1567.482181049137,0.1038769903772535
hard_2mm_r1,cyl4,3521.330678925055,0.1129057181351015
hard_2mm_r1,cyl4,7922.994027581375,0.1282231596685247
hard_3mm_r1,cyl4,0.10372006480064849,0.2336435577684175
hard_3mm_r1,cyl4,0.41488025920259397,0.0954059691836616
hard_3mm_r1,cyl4,1.6595210368103759,0.0675549121876087
hard_3mm_r1,cyl4,3.733922332823346,0.0721858997156417
hard_3mm_r1,cyl4,10.37200648006485,0.0619108522384856
hard_3mm_r1,cyl4,41.4880259202594,0.0627990570858584
hard_3mm_r1,cyl4,165.9521036810376,0.0640853360896081
hard_3mm_r1,cyl4,294.1047262462889,0.0633141287567887
hard_3mm_r1,cyl4,663.8084147241505,0.0650106712319711
hard_3mm_r1,cyl4,1181.9484809398402,0.0804207401430241
hard_3mm_r1,cyl4,2655.233658896602,0.0981637313317721
hard_3mm_r1,cyl4,5974.275732517353,0.1188175571541619
medium_1mm_r1,cyl4,0.15358648869735508,0.206390784335303
medium_1mm_r1,cyl4,0.6143459547894203,0.3109424468097877
medium_1mm_r1,cyl4,2.4573838191576813,0.1134524071721285
medium_1mm_r1,cyl4,5.529113593104783,0.0826581618951118
medium_1mm_r1,cyl4,15.358648869735509,0.0831574029410364
medium_1mm_r1,cyl4,61.434595478942036,0.0866189192329864
medium_1mm_r1,cyl4,245.73838191576814,0.0858533296518942
medium_1mm_r1,cyl4,435.50408785689393,0.0865853695694415
medium_1mm_r1,cyl4,982.9535276630726,0.0950753920064974
medium_1mm_r1,cyl4,1750.2044311062532,0.1120988757766235
medium_1mm_r1,cyl4,3931.8141106522903,0.1227429752447818
medium_1mm_r1,cyl4,8846.581748967654,0.1377538462379192
medium_2mm_r2,cyl4,0.5437167309244376,0.1661530517710197
medium_2mm_r2,cyl4,2.1748669236977505,0.2131045292373604
medium_2mm_r2,cyl4,4.893450578319937,0.0860973298929946
medium_2mm_r2,cyl4,13.592918273110941,0.0577093106060106
medium_2mm_r2,cyl4,54.371673092443764,0.0710606842980722
medium_2mm_r2,cyl4,217.48669236977506,0.064149900093204
medium_2mm_r2,cyl4,385.43569320798133,0.0605270678902525
medium_2mm_r2,cyl4,869.9467694791002,0.0638444084718641
medium_2mm_r2,cyl4,1548.989497386278,0.0516384695783453
medium_2mm_r2,cyl4,3479.787077916401,0.0526744048881151
medium_2mm_r2,cyl4,7829.520925311901,0.0474107292291973
medium_3mm_r1,cyl4,0.47004336393371826,0.4759410820939631
medium_3mm_r1,cyl4,1.880173455734873,0.1117673601320725
medium_3mm_r1,cyl4,4.230390275403463,0.094495671445867
medium_3mm_r1,cyl4,11.751084098342956,0.0907165374443835
medium_3mm_r1,cyl4,47.00433639337182,0.0859746594969132
medium_3mm_r1,cyl4,188.0173455734873,0.0841713451984653
medium_3mm_r1,cyl4,333.20933403607586,0.0846920577167915
medium_3mm_r1,cyl4,752.0693822939492,0.0737960689502112
medium_3mm_r1,cyl4,1339.1021328542329,0.0876344997069086
medium_3mm_r1,cyl4,3008.2775291757966,0.1001287845734933
medium_3mm_r1,cyl4,6768.624440645542,0.1172340975914577
soft_1mm_r1,cyl4,0.6926613369365556,0.3789157959539029
soft_1mm_r1,cyl4,2.7706453477462225,0.165608803890979
soft_1mm_r1,cyl4,6.233952032429001,0.1191584104283968
soft_1mm_r1,cyl4,17.31653342341389,0.0751762607445395
soft_1mm_r1,cyl4,69.26613369365556,0.0589091547286499
soft_1mm_r1,cyl4,277.06453477462225,0.0632426836622255
soft_1mm_r1,cyl4,491.02112805429056,0.0594407955457233
soft_1mm_r1,cyl4,1108.258139098489,0.0694191245334078
soft_1mm_r1,cyl4,1973.316389098519,0.0861225065829878
soft_1mm_r1,cyl4,4433.032556393956,0.1044401621397196
soft_1mm_r1,cyl4,9974.3232518864,0.1279737799069145
soft_2mm_r1,cyl4,0.5459389030218897,0.3425060185455272
soft_2mm_r1,cyl4,2.183755612087559,0.0785404084854942
soft_2mm_r1,cyl4,4.913450127197007,0.0300330661818047
soft_2mm_r1,cyl4,13.648472575547242,0.0386860158760334
soft_2mm_r1,cyl4,54.59389030218897,0.0474072009370035
soft_2mm_r1,cyl4,218.37556120875587,0.0556175117055487
soft_2mm_r1,cyl4,387.01097017500166,0.0610125139578608
soft_2mm_r1,cyl4,873.5022448350235,0.0668892426053994
soft_2mm_r1,cyl4,1555.3202226418462,0.0819346495834629
soft_2mm_r1,cyl4,3494.008979340094,0.0913212912036038
soft_2mm_r1,cyl4,7861.5202035152115,0.1071043099207322
soft_3mm_r1,cyl4,0.44739749603718704,0.1443166973777453
soft_3mm_r1,cyl4,1.7895899841487481,0.0905720622952648
soft_3mm_r1,cyl4,4.026577464334683,0.0386361875129104
soft_3mm_r1,cyl4,11.184937400929673,0.0461830794968984
soft_3mm_r1,cyl4,44.73974960371869,0.0421698671018688
soft_3mm_r1,cyl4,178.95899841487477,0.0429071873744261
soft_3mm_r1,cyl4,317.15589058923655,0.0433696166681394
soft_3mm_r1,cyl4,715.8359936594991,0.0474111544673107
soft_3mm_r1,cyl4,1274.5865321088163,0.0500563732175609
soft_3mm_r1,cyl4,2863.3439746379963,0.0554752276808916
soft_3mm_r1,cyl4,6442.523942935493,0.0717889404462022
hard_1mm_r1,cube4,0.16359452992262702,0.192635649082868
hard_1mm_r1,cube4,0.6543781196905081,0.3002813902119393
hard_1mm_r1,cube4,2.6175124787620323,0.0981701067446744
hard_1mm_r1,cube4,5.889403077214571,0.0959051090846099
hard_1mm_r1,cube4,16.3594529922627,0.1044903230523062
hard_1mm_r1,cube4,65.4378119690508,0.0968726142314388
hard_1mm_r1,cube4,261.7512478762032,0.1195222758264875
hard_1mm_r1,cube4,463.88251425372886,0.1222334082797964
