sensor,probe,density_px_per_mm2,mae_mm,suspect_hardware
soft_1mm_r1,cyl4,2.7706453477462225,-0.4539342489654094,False
soft_1mm_r1,cyl4,6.233952032429001,-0.1231575437966889,False
soft_1mm_r1,cyl4,17.31653342341389,-0.1468663396091716,False
soft_1mm_r1,cyl4,69.26613369365556,-0.0411742636629077,False
soft_1mm_r1,cyl4,277.06453477462225,-0.0347731593531586,False
soft_1mm_r1,cyl4,491.02112805429056,-0.0291094527533846,False
soft_1mm_r1,cyl4,1108.258139098489,-0.0268078698782567,False
soft_1mm_r1,cyl4,1973.316389098519,-0.1631257302204378,False
soft_1mm_r1,cyl4,4433.032556393956,-0.1900642640943846,False
soft_1mm_r1,cyl4,9974.3232518864,-0.2205334101613405,False
soft_1mm_r1,cube4,0.6926613369365556,-1.018159864053343,False
soft_1mm_r1,cube4,2.7706453477462225,-1.103555918770701,False
soft_1mm_r1,cube4,6.233952032429001,-0.2888920167163906,False
soft_1mm_r1,cube4,17.31653342341389,-0.1114899025758937,False
soft_1mm_r1,cube4,69.26613369365556,0.0627094779914196,False
soft_1mm_r1,cube4,277.06453477462225,0.1347912916389608,False
soft_1mm_r1,cube4,491.02112805429056,0.1762531552747512,False
soft_1mm_r1,cube4,1108.258139098489,0.2394883436507111,False
soft_1mm_r1,cube4,1973.316389098519,0.0632531474438824,False
soft_1mm_r1,cube4,4433.032556393956,0.0434016894230717,False
soft_1mm_r1,cube4,9974.3232518864,0.0264189457940169,False
soft_2mm_r1,cyl4,0.5459389030218897,2.182010623603966,False
soft_2mm_r1,cyl4,2.183755612087559,-0.5278141428680878,False
soft_2mm_r1,cyl4,4.913450127197007,0.0061097607170124,False
soft_2mm_r1,cyl4,13.648472575547242,-0.0382743965373211,False
soft_2mm_r1,cyl4,54.59389030218897,-0.0727947623355995,False
soft_2mm_r1,cyl4,218.37556120875587,-0.0722124195408486,False
soft_2mm_r1,cyl4,387.01097017500166,-0.1344648840682571,False
soft_2mm_r1,cyl4,873.5022448350235,-0.1255119929297752,False
soft_2mm_r1,cyl4,1555.3202226418462,-0.1870192045904479,False
soft_2mm_r1,cyl4,3494.008979340094,-0.2124485338009298,False
soft_2mm_r1,cyl4,7861.5202035152115,-0.2458298480372756,False
soft_2mm_r1,cube4,0.5459389030218897,1.3997437094722835,False
soft_2mm_r1,cube4,2.183755612087559,-0.4338712170883512,False
soft_2mm_r1,cube4,4.913450127197007,-0.2528793364743982,False
soft_2mm_r1,cube4,13.648472575547242,-0.2176560150662463,False
soft_2mm_r1,cube4,54.59389030218897,-0.0210055263151596,False
soft_2mm_r1,cube4,218.37556120875587,0.0876157791707417,False
soft_2mm_r1,cube4,387.01097017500166,0.1426592999653833,False
