unit,probe,source,depth_mm,force_N,diameter_px,level,suspect_hardware
hard_1mm_r1,ball4,20260905_passA_ball4,0.0968258454734041,0.0093399497980755,105.00597343678362,4.360743522644043,False
hard_1mm_r1,ball4,20260905_passA_ball4,0.179033360327665,0.0321014863474175,174.85872705492912,5.1547956466674805,False
hard_1mm_r1,ball4,20260905_passA_ball4,0.2782857587203153,0.0994668070417162,216.1545704666027,6.228928089141846,False
hard_1mm_r1,ball4,20260905_passA_ball4,0.3781233505922685,0.1717395997035453,245.1363162677467,7.226327419281006,False
hard_1mm_r1,ball4,20260905_passA_ball4,0.4857303633052048,0.2600626451472834,272.7318356984168,8.156572341918945,False
hard_1mm_r1,ball4,20260905_passA_ball4,0.5822418106299807,0.3544863405297945,291.8622025227258,9.128973007202148,False
hard_2mm_r1,ball4,20260905_passA_ball4,0.0786197147333283,0.0336444086445396,0.0,0.0,False
hard_2mm_r1,ball4,20260905_passA_ball4,0.1814089138860488,0.1314412215980979,0.0,0.0,False
hard_2mm_r1,ball4,20260905_passA_ball4,0.2806992507365251,0.2306001012585255,126.31296344823964,6.407534122467041,False
hard_2mm_r1,ball4,20260905_passA_ball4,0.3786666632657862,0.345160370941764,197.1792147718236,7.768536567687988,False
hard_2mm_r1,ball4,20260905_passA_ball4,0.4809223025644975,0.4882179177712942,248.1741656528214,8.983796119689941,False
hard_2mm_r1,ball4,20260905_passA_ball4,0.5855491313303673,0.7058876781690856,296.5169194534132,9.848236083984377,False
hard_3mm_r1,ball4,20260905_passA_ball4,0.0752615327215551,0.0189447340484548,0.0,0.0,False
hard_3mm_r1,ball4,20260905_passA_ball4,0.1795010738186384,0.1040091403239984,0.0,0.0,False
hard_3mm_r1,ball4,20260905_passA_ball4,0.2834831268932909,0.2438214232880824,0.0,0.0,False
hard_3mm_r1,ball4,20260905_passA_ball4,0.38345766309439,0.374955307143432,29.790064831759068,8.582025527954102,False
hard_3mm_r1,ball4,20260905_passA_ball4,0.4791925906925414,0.5396913026312887,129.5672157504865,9.116392135620115,False
hard_3mm_r1,ball4,20260905_passA_ball4,0.5794468820760237,0.6781798964537671,194.54971587319832,9.911972999572754,False
soft_3mm_r1,ball4,20260905_passA_ball4,0.0772030335867519,0.039680520624401,0.0,0.0,False
soft_3mm_r1,ball4,20260905_passA_ball4,0.1789656491685924,0.062688181703848,0.0,0.0,False
soft_3mm_r1,ball4,20260905_passA_ball4,0.2793804476875365,0.0831417832101095,22.567583341910247,7.690468788146973,False
soft_3mm_r1,ball4,20260905_passA_ball4,0.3845868682859645,0.1108658749549221,98.91194397920297,8.243006706237793,False
soft_3mm_r1,ball4,20260905_passA_ball4,0.4842214947415542,0.1531181242880563,162.0707617304442,9.533562660217283,False
soft_3mm_r1,ball4,20260905_passA_ball4,0.5836971195964367,0.2008696741527245,200.02887964817103,11.04200839996338,False
medium_3mm_r1,ball4,20260905_passA_ball4,0.0911776608013958,-0.0113560831675357,0.0,0.0,False
medium_3mm_r1,ball4,20260905_passA_ball4,0.1918378802231259,0.0203265676405749,0.0,0.0,False
medium_3mm_r1,ball4,20260905_passA_ball4,0.2810156234522516,0.0212143970671291,0.0,0.0,False
medium_3mm_r1,ball4,20260905_passA_ball4,0.387163499034493,0.0443949830517283,0.0,0.0,False
medium_3mm_r1,ball4,20260905_passA_ball4,0.4994499898866174,0.1138931624523593,0.0,0.0,False
medium_3mm_r1,ball4,20260905_passA_ball4,0.5862857609782033,0.1702997707624348,0.0,0.0,False
soft_2mm_r1,ball4,20260905_passA_ball4,0.0854248240344333,0.0491524161724242,0.0,0.0,False
soft_2mm_r1,ball4,20260905_passA_ball4,0.1781349644040091,0.067580148012999,97.39422266375436,7.276873111724853,False
soft_2mm_r1,ball4,20260905_passA_ball4,0.2819884647664281,0.1376817642317519,155.6468079263945,8.693867683410645,False
soft_2mm_r1,ball4,20260905_passA_ball4,0.3823838159005355,0.1457358067315056,199.4775231750768,9.770336151123049,False
soft_2mm_r1,ball4,20260905_passA_ball4,0.486386558734587,0.2150684280200039,232.04864487084336,11.207660675048828,False
soft_2mm_r1,ball4,20260905_passA_ball4,0.5908699764646101,0.3035446762438482,258.21398490322235,12.651413917541504,False
medium_1mm_r1,ball4,20260905_passA_ball4,0.0913995049271356,0.1082535245168401,195.21937929676164,4.574367523193359,False
medium_1mm_r1,ball4,20260905_passA_ball4,0.1756745191240902,0.1395948342081908,220.9463224058977,6.164238452911377,False
medium_1mm_r1,ball4,20260905_passA_ball4,0.2830731714521732,0.219705888841753,244.29865005749832,7.38754940032959,False
medium_1mm_r1,ball4,20260905_passA_ball4,0.3802359283868455,0.3011888783393545,272.0985231249978,8.281146049499512,False
medium_1mm_r1,ball4,20260905_passA_ball4,0.4863520723261807,0.382247913466827,291.75748450257333,9.401421546936035,False
medium_1mm_r1,ball4,20260905_passA_ball4,0.5852408076558753,0.4872521346806565,308.72462260117845,10.43988037109375,False
soft_1mm_r1,ball4,20260905_passA_ball4,0.0926743756623835,0.0077003271606798,0.0,0.0,False
soft_1mm_r1,ball4,20260905_passA_ball4,0.1860915627423232,0.0555669962392329,57.11426891426946,4.447747230529785,False
soft_1mm_r1,ball4,20260905_passA_ball4,0.2833985249891526,0.1571464664875549,134.38612168867567,4.842894554138184,False
soft_1mm_r1,ball4,20260905_passA_ball4,0.3837646265548322,0.3479061056233462,183.36769044018135,5.426403045654297,False
soft_1mm_r1,ball4,20260905_passA_ball4,0.4879034724816229,0.4314123888957539,217.98171154932135,6.169268131256104,False
soft_1mm_r1,ball4,20260905_passA_ball4,0.5849719808136271,0.5033751178286593,247.8558750442016,6.875953197479248,False
medium_2mm_r2,ball4,20260905_passA_ball4,0.0765643152846315,0.0003384820600444,0.0,0.0,False
medium_2mm_r2,ball4,20260905_passA_ball4,0.1740516037053545,-0.0010468098642093,0.0,0.0,False
medium_2mm_r2,ball4,20260905_passA_ball4,0.2771931095437452,0.0140646180024845,0.0,0.0,False
medium_2mm_r2,ball4,20260905_passA_ball4,0.3799900491891357,0.019770857054172,66.02705658420037,6.719905853271484,False
medium_2mm_r2,ball4,20260905_passA_ball4,0.4794592916681708,0.0600350045422317,146.85411607688832,7.982576847076416,False
medium_2mm_r2,ball4,20260905_passA_ball4,0.5813988316045915,0.1522036180158181,193.789061538477,9.627163887023926,False
hard_1mm_r1,ball8,20260907_passB_ball8,0.0980552065468458,0.0041371129307435,19.149229459268767,1.801662564277649,False
hard_1mm_r1,ball8,20260907_passB_ball8,0.20057568223881,0.0035376952703529,24.016192740836935,1.8126590251922607,False
hard_1mm_r1,ball8,20260907_passB_ball8,0.2890027322705819,-0.0163248572203514,20.590987552733097,1.819689154624939,False
hard_1mm_r1,ball8,20260907_passB_ball8,0.4106200361223315,0.0049565031154884,133.45439202872063,1.888644099235535,False
hard_1mm_r1,ball8,20260907_passB_ball8,0.465940617743918,0.0926894795696029,195.77947608139968,2.0164542198181152,False
hard_1mm_r1,ball8,20260907_passB_ball8,0.6147161612436882,0.2140449892790144,267.29013699382824,2.274676322937012,False
hard_1mm_r1,ball8,20260907_passB_ball8,0.6553212634930219,0.2586607242574189,304.6644646996727,2.539673328399658,False
hard_1mm_r1,ball8,20260907_passB_ball8,0.796225505028314,0.4575148148530673,340.77424479721947,2.941805839538574,False
