probe,ix,iy,x_mm,y_mm,img_x_px,img_y_px,target_depth_mm,depth_mm,force_N,file,t_img,Fx,Fy,Fz,tcp_x,tcp_y,tcp_z,area_px,radius_px,centroid_px,diff_level
ball4,0,0,-7.132053345944067,-0.349038560427239,370.80325619283803,272.0926936010693,0.15,0.11760810679060896,0.06812510073375222,ball4_x-7.13_y-0.35_d0.15.png,1789044925.459389,-0.008083358077560021,0.008235360628088096,-0.06812510073375222,31.9238929748535,358.8772583007812,36.97126007080078,1897,24.573031031817198,"[747.4196099103848, 588.0384818133896]",12
ball4,0,0,-7.132053345944067,-0.349038560427239,370.80325619283803,272.0926936010693,0.3,0.2942076478415032,0.2796434801539306,ball4_x-7.13_y-0.35_d0.30.png,1789044926.8234785,-0.013420029685142864,0.013910766694255016,-0.2796434801539306,31.91958236694336,358.8814392089843,36.8278579711914,9165,54.01212925699598,"[281.09154391707585, 170.4189852700491]",12
ball4,1,0,-3.8708713253374123,-1.9805916728537367,665.401628096419,272.0926936010693,0.15,0.18644754499289817,0.07619219432995408,ball4_x-3.87_y-1.98_d0.15.png,1789044930.3356428,0.018194237355030295,0.0066423666801025405,-0.07619219432995408,35.57152557373047,359.0923767089843,36.92803573608398,7507,48.88304732299038,"[648.2275209804183, 190.49433861729054]",12
ball4,1,0,-3.8708713253374123,-1.9805916728537367,665.401628096419,272.0926936010693,0.3,0.35650097785505963,0.27479938069606363,ball4_x-3.87_y-1.98_d0.30.png,1789044931.7036996,0.018259759911607887,0.0032129695878174045,-0.27479938069606363,35.56977081298828,359.0946350097656,36.78546142578125,17888,75.45811582630226,"[661.5629472271914, 181.40088327370304]",12
ball4,2,0,-0.609689304730757,-3.6121447852802344,960.0,272.0926936010693,0.15,0.2449504926529258,0.074897696833969,ball4_x-0.61_y-3.61_d0.15.png,1789044935.2158902,0.01124939137838048,0.011371480569521886,-0.074897696833969,39.20784378051758,359.3128662109375,36.8815803527832,14453,67.8272274607648,"[908.3766000138379, 294.21310454576906]",12
ball4,2,0,-0.609689304730757,-3.6121447852802344,960.0,272.0926936010693,0.3,0.4279124043865714,0.22861194869267648,ball4_x-0.61_y-3.61_d0.30.png,1789044936.5799794,0.009086513831543996,0.005875537011479537,-0.22861194869267648,39.21102905273437,359.3099365234375,36.74209213256836,35618,106.47798611024842,"[890.8922174181594, 312.6250772081532]",12
ball4,3,0,2.6514927158758987,-5.243697897706732,1254.598371903581,272.0926936010693,0.15,0.3142588458651048,0.0020563733284632234,ball4_x+2.65_y-5.24_d0.15.png,1789044939.8960316,0.014369380531279318,0.009975322888698911,-0.0020563733284632234,42.85203552246093,359.5254821777343,36.83984756469726,5648,42.40063958439837,"[908.6361543909348, 565.6828966005666]",12
ball4,3,0,2.6514927158758987,-5.243697897706732,1254.598371903581,272.0926936010693,0.3,0.48882983743695974,0.20804966348921994,ball4_x+2.65_y-5.24_d0.30.png,1789044941.264175,0.007608430984535275,0.01200724736281078,-0.20804966348921994,42.85205078125,359.528594970703,36.6977958679199,19407,78.59669179532193,"[1284.5841191322718, 300.1438656154996]",12
ball4,4,0,5.912674736482554,-6.87525101013323,1549.196743807162,272.0926936010693,0.15,0.3841681339093306,0.006089487873882149,ball4_x+5.91_y-6.88_d0.15.png,1789044944.7763672,0.0050938154144041905,0.014776311754105898,-0.006089487873882149,46.48979187011718,359.7379455566406,36.7987823486328,12287,62.53857666704796,"[905.4971107674778, 567.9947098559453]",12
ball4,4,0,5.912674736482554,-6.87525101013323,1549.196743807162,272.0926936010693,0.3,0.5591662155982604,0.15398070469939001,ball4_x+5.91_y-6.88_d0.30.png,1789044946.1404316,0.007370393877156545,0.015900283224365274,-0.15398070469939001,46.4922523498535,359.7447509765625,36.65202713012695,11431,60.32081157417323,"[899.7460414661884, 582.9580089231039]",12
ball4,0,1,-5.648321454377353,2.616675354323459,370.80325619283803,540.0,0.15,0.023101344178193983,0.0953218330735865,ball4_x-5.65_y+2.62_d0.15.png,1789044953.3568616,-0.018109574350624057,0.024041727764757326,-0.0953218330735865,31.7196922302246,362.1909790039062,37.01699829101562,1542,22.154770242442265,"[257.4234760051881, 520.0810635538262]",12
ball4,0,1,-5.648321454377353,2.616675354323459,370.80325619283803,540.0,0.3,0.1950227337955468,0.24066201403811363,ball4_x-5.65_y+2.62_d0.30.png,1789044954.7248974,-0.024309007798715854,0.031163271840414987,-0.24066201403811363,31.71779060363769,362.1910705566406,36.87505722045898,12963,64.23590160183383,"[264.6507752834992, 514.3334876186068]",12
ball4,1,1,-2.3871394337706975,0.9851222418969613,665.401628096419,540.0,0.15,0.0932596904006644,0.032995164244098873,ball4_x-2.39_y+0.99_d0.15.png,1789044958.0410244,0.010700717125818215,0.024809057006989477,-0.032995164244098873,35.37368774414062,362.4057312011718,36.98244857788086,19757,79.30225987532229,"[684.7145821734069, 565.5074150933847]",12
ball4,1,1,-2.3871394337706975,0.9851222418969613,665.401628096419,540.0,0.3,0.2640577539288529,0.2311528324534237,ball4_x-2.39_y+0.99_d0.30.png,1789044959.4050276,0.009695902978409877,0.02539450616547345,-0.2311528324534237,35.37282943725586,362.4058837890625,36.8289794921875,32579,101.83426624659165,"[687.9899628595107, 559.2810092390804]",12
ball4,2,1,0.8740425868359578,-0.6464308705295363,960.0,540.0,0.15,0.1604297213643271,0.02987139718938465,ball4_x+0.87_y-0.65_d0.15.png,1789044962.9172833,0.005818748432546883,0.0290123767702692,-0.02987139718938465,39.01411819458008,362.6193237304687,36.9346351623535,57000,134.6984168892718,"[886.1229649122807, 552.6777543859649]",12
ball4,2,1,0.8740425868359578,-0.6464308705295363,960.0,540.0,0.3,0.3255382038023171,0.1768526323256907,ball4_x+0.87_y-0.65_d0.30.png,1789044964.673288,0.003942907379030558,0.029970021882142282,-0.1768526323256907,39.0118408203125,362.619873046875,36.78570556640625,86197,165.6422568651617,"[898.6411127997494, 562.3931111291577]",12
ball4,3,1,4.1352246074426136,-2.277983982956034,1254.598371903581,540.0,0.15,0.22438216574324343,0.008465644720664045,ball4_x+4.14_y-2.28_d0.15.png,1789044967.9894576,-0.0009584454949347788,0.03032199718123696,-0.008465644720664045,42.6533203125,362.8430786132812,36.89490127563476,7769,49.728759342676845,"[1314.633286137212, 542.8085982751963]",12
ball4,3,1,4.1352246074426136,-2.277983982956034,1254.598371903581,540.0,0.3,0.3949205054336389,0.18020505735471204,ball4_x+4.14_y-2.28_d0.30.png,1789044969.3576136,0.0002199298339558453,0.027345136289508788,-0.18020505735471204,42.6567916870117,362.8383178710937,36.74245071411133,44476,118.98382452211844,"[1295.019246335102, 581.3062325748718]",12
ball4,4,1,7.396406628049268,-3.909537095382532,1549.196743807162,540.0,0.15,0.2828467698195887,-0.028900986121365692,ball4_x+7.40_y-3.91_d0.15.png,1789044972.8698146,-0.002254763259011483,0.025741939302456274,0.028900986121365692,46.29500198364258,363.055450439453,36.83815002441406,8001,50.46580425750202,"[900.9461317335333, 582.7126609173853]",12
