t,at,where,Fx,Fy,Fz,Tx,Ty,Tz
1788894739.399411,2026-09-09T04:12:19.399400,tare,0.0,0.0,0.0,0.0,0.0,0.0
1788895010.870527,2026-09-09T04:16:50.870515,between normal and shear blocks,-0.03625,0.00153,0.02647,0.00184,0.00068,-0.00057
1788895171.331133,2026-09-09T04:19:31.331121,end of collect,-0.03323,-0.01038,0.05159,0.00247,0.00047,-0.00055
