sensor,hardness,thickness_mm,width_px,density_px_per_mm2,mae_N,principle,measure
soft_3mm_r1,soft,3,426,317.15589058923655,0.0630924329161644,9DTact,fz_mae
soft_3mm_r1,soft,3,640,715.8359936594991,0.080587700009346,9DTact,fz_mae
soft_3mm_r1,soft,3,854,1274.5865321088163,0.0559739433228969,9DTact,fz_mae
soft_3mm_r1,soft,3,1280,2863.3439746379963,0.0695133656263351,9DTact,fz_mae
soft_3mm_r1,soft,3,1920,6442.523942935493,0.0604679472744464,9DTact,fz_mae
hard_1mm_r1,hard,1,8,0.16359452992262702,0.035211516544222804,9DTact,shear
hard_1mm_r1,hard,1,16,0.6543781196905081,0.02373208384960885,9DTact,shear
hard_1mm_r1,hard,1,32,2.6175124787620323,0.02491431869566435,9DTact,shear
hard_1mm_r1,hard,1,48,5.889403077214571,0.0218222932890057,9DTact,shear
hard_1mm_r1,hard,1,80,16.3594529922627,0.020529718138277447,9DTact,shear
hard_1mm_r1,hard,1,160,65.4378119690508,0.02852400112897155,9DTact,shear
hard_1mm_r1,hard,1,320,261.7512478762032,0.02168500330299135,9DTact,shear
hard_1mm_r1,hard,1,426,463.88251425372886,0.023325796239078,9DTact,shear
hard_1mm_r1,hard,1,640,1047.0049915048128,0.0207996070384979,9DTact,shear
hard_1mm_r1,hard,1,854,1864.2516903914163,0.0225770883262157,9DTact,shear
hard_1mm_r1,hard,1,1280,4188.019966019251,0.02231618296355005,9DTact,shear
hard_1mm_r1,hard,1,1920,9423.044923543315,0.0224886601790785,9DTact,shear
hard_2mm_r1,hard,2,8,0.13755197964550997,0.046604178845882346,9DTact,shear
hard_2mm_r1,hard,2,16,0.5502079185820399,0.029657315462827648,9DTact,shear
hard_2mm_r1,hard,2,32,2.2008316743281595,0.03828743100166315,9DTact,shear
hard_2mm_r1,hard,2,48,4.95187126723836,0.0281493524089455,9DTact,shear
hard_2mm_r1,hard,2,80,13.755197964550996,0.020047194324433748,9DTact,shear
hard_2mm_r1,hard,2,160,55.020791858203985,0.0256806937977671,9DTact,shear
hard_2mm_r1,hard,2,320,220.08316743281594,0.025786366313695852,9DTact,shear
hard_2mm_r1,hard,2,426,390.03723528357153,0.026282624341547448,9DTact,shear
hard_2mm_r1,hard,2,640,880.3326697312638,0.03081200737506145,9DTact,shear
hard_2mm_r1,hard,2,854,1567.482181049137,0.03508587367832655,9DTact,shear
hard_2mm_r1,hard,2,1280,3521.330678925055,0.027797183021903,9DTact,shear
hard_2mm_r1,hard,2,1920,7922.994027581375,0.049953252077102606,9DTact,shear
hard_3mm_r1,hard,3,8,0.10372006480064849,0.0678569823503494,9DTact,shear
hard_3mm_r1,hard,3,16,0.41488025920259397,0.0315372655168175,9DTact,shear
hard_3mm_r1,hard,3,32,1.6595210368103759,0.026633868925273398,9DTact,shear
hard_3mm_r1,hard,3,48,3.733922332823346,0.02628498245030635,9DTact,shear
hard_3mm_r1,hard,3,80,10.37200648006485,0.02412620093673465,9DTact,shear
hard_3mm_r1,hard,3,160,41.4880259202594,0.02977300900965925,9DTact,shear
hard_3mm_r1,hard,3,320,165.9521036810376,0.03230537101626395,9DTact,shear
hard_3mm_r1,hard,3,426,294.1047262462889,0.036549035459756796,9DTact,shear
hard_3mm_r1,hard,3,640,663.8084147241505,0.0365205444395542,9DTact,shear
hard_3mm_r1,hard,3,854,1181.9484809398402,0.0401094704866409,9DTact,shear
hard_3mm_r1,hard,3,1280,2655.233658896602,0.0417384076863527,9DTact,shear
hard_3mm_r1,hard,3,1920,5974.275732517353,0.046944122761487905,9DTact,shear
medium_1mm_r1,medium,1,8,0.15358648869735508,0.03537982609122985,9DTact,shear
medium_1mm_r1,medium,1,16,0.6143459547894203,0.03018942102789875,9DTact,shear
medium_1mm_r1,medium,1,32,2.4573838191576813,0.0251442044973373,9DTact,shear
medium_1mm_r1,medium,1,48,5.529113593104783,0.024303373880684348,9DTact,shear
medium_1mm_r1,medium,1,80,15.358648869735509,0.02270524017512795,9DTact,shear
medium_1mm_r1,medium,1,160,61.434595478942036,0.03256262559443705,9DTact,shear
medium_1mm_r1,medium,1,320,245.73838191576814,0.02494096197187895,9DTact,shear
medium_1mm_r1,medium,1,426,435.50408785689393,0.02455093618482345,9DTact,shear
medium_1mm_r1,medium,1,640,982.9535276630726,0.0272777425125241,9DTact,shear
medium_1mm_r1,medium,1,854,1750.2044311062532,0.02543965913355345,9DTact,shear
medium_1mm_r1,medium,1,1280,3931.8141106522903,0.0232655573636293,9DTact,shear
medium_1mm_r1,medium,1,1920,8846.581748967654,0.025253496132791,9DTact,shear
medium_2mm_r2,medium,2,8,0.1359291827311094,0.0338348196819424,9DTact,shear
medium_2mm_r2,medium,2,16,0.5437167309244376,0.039716269820928546,9DTact,shear
medium_2mm_r2,medium,2,32,2.1748669236977505,0.02869402430951595,9DTact,shear
medium_2mm_r2,medium,2,48,4.893450578319937,0.02553498093038795,9DTact,shear
medium_2mm_r2,medium,2,80,13.592918273110941,0.02454769611358635,9DTact,shear
medium_2mm_r2,medium,2,160,54.371673092443764,0.027559079229831647,9DTact,shear
medium_2mm_r2,medium,2,320,217.48669236977506,0.0249593453481793,9DTact,shear
medium_2mm_r2,medium,2,426,385.43569320798133,0.02976891864091155,9DTact,shear
medium_2mm_r2,medium,2,640,869.9467694791002,0.0272739883512258,9DTact,shear
medium_2mm_r2,medium,2,854,1548.989497386278,0.03059193864464755,9DTact,shear
medium_2mm_r2,medium,2,1280,3479.787077916401,0.031353881582617704,9DTact,shear
medium_2mm_r2,medium,2,1920,7829.520925311901,0.03062363341450685,9DTact,shear
medium_3mm_r1,medium,3,8,0.11751084098342957,0.04298103787004945,9DTact,shear
medium_3mm_r1,medium,3,16,0.47004336393371826,0.035458771511912304,9DTact,shear
medium_3mm_r1,medium,3,32,1.880173455734873,0.0278296265751123,9DTact,shear
medium_3mm_r1,medium,3,48,4.230390275403463,0.0276361471042037,9DTact,shear
medium_3mm_r1,medium,3,80,11.751084098342956,0.0279317488893866,9DTact,shear
medium_3mm_r1,medium,3,160,47.00433639337182,0.02547765430063005,9DTact,shear
medium_3mm_r1,medium,3,320,188.0173455734873,0.0315466187894344,9DTact,shear
medium_3mm_r1,medium,3,426,333.20933403607586,0.0407569287344813,9DTact,shear
medium_3mm_r1,medium,3,640,752.0693822939492,0.03279617149382825,9DTact,shear
medium_3mm_r1,medium,3,854,1339.1021328542329,0.03633156605064865,9DTact,shear
medium_3mm_r1,medium,3,1280,3008.2775291757966,0.035892270505428245,9DTact,shear
medium_3mm_r1,medium,3,1920,6768.624440645542,0.0420039221644401,9DTact,shear
soft_1mm_r1,soft,1,8,0.1731653342341389,0.03838165849447245,9DTact,shear
soft_1mm_r1,soft,1,16,0.6926613369365556,0.027577375061809947,9DTact,shear
soft_1mm_r1,soft,1,32,2.7706453477462225,0.027170558460056747,9DTact,shear
soft_1mm_r1,soft,1,48,6.233952032429001,0.0227107806131243,9DTact,shear
soft_1mm_r1,soft,1,80,17.31653342341389,0.026530135422945002,9DTact,shear
soft_1mm_r1,soft,1,160,69.26613369365556,0.030866274610161754,9DTact,shear
soft_1mm_r1,soft,1,320,277.06453477462225,0.0281786881387233,9DTact,shear
soft_1mm_r1,soft,1,426,491.02112805429056,0.031397808343172004,9DTact,shear
soft_1mm_r1,soft,1,640,1108.258139098489,0.02359407860785715,9DTact,shear
soft_1mm_r1,soft,1,854,1973.316389098519,0.02890654187649485,9DTact,shear
soft_1mm_r1,soft,1,1280,4433.032556393956,0.02524094656109805,9DTact,shear
soft_1mm_r1,soft,1,1920,9974.3232518864,0.02782807778567075,9DTact,shear
soft_2mm_r1,soft,2,8,0.13648472575547244,0.029360345564782602,9DTact,shear
soft_2mm_r1,soft,2,16,0.5459389030218897,0.0272277100011706,9DTact,shear
soft_2mm_r1,soft,2,32,2.183755612087559,0.02552309632301325,9DTact,shear
soft_2mm_r1,soft,2,48,4.913450127197007,0.0257309833541512,9DTact,shear
soft_2mm_r1,soft,2,80,13.648472575547242,0.02340237423777575,9DTact,shear
soft_2mm_r1,soft,2,160,54.59389030218897,0.0235959123820066,9DTact,shear
soft_2mm_r1,soft,2,320,218.37556120875587,0.0264831827953457,9DTact,shear
soft_2mm_r1,soft,2,426,387.01097017500166,0.02413836214691395,9DTact,shear
soft_2mm_r1,soft,2,640,873.5022448350235,0.0217960504814982,9DTact,shear
soft_2mm_r1,soft,2,854,1555.3202226418462,0.03151884675025935,9DTact,shear
soft_2mm_r1,soft,2,1280,3494.008979340094,0.02441080752760165,9DTact,shear
soft_2mm_r1,soft,2,1920,7861.5202035152115,0.02943159267306325,9DTact,shear
soft_3mm_r1,soft,3,8,0.11184937400929676,0.0487471520900726,9DTact,shear
soft_3mm_r1,soft,3,16,0.44739749603718704,0.04038077220320695,9DTact,shear
soft_3mm_r1,soft,3,32,1.7895899841487481,0.04213470127433535,9DTact,shear
soft_3mm_r1,soft,3,48,4.026577464334683,0.049595335498452145,9DTact,shear
soft_3mm_r1,soft,3,80,11.184937400929673,0.04871831275522705,9DTact,shear
soft_3mm_r1,soft,3,160,44.73974960371869,0.033356568776071,9DTact,shear
soft_3mm_r1,soft,3,320,178.95899841487477,0.0375499371439218,9DTact,shear
soft_3mm_r1,soft,3,426,317.15589058923655,0.039596470072865445,9DTact,shear
soft_3mm_r1,soft,3,640,715.8359936594991,0.0331020429730415,9DTact,shear
soft_3mm_r1,soft,3,854,1274.5865321088163,0.03431073110550635,9DTact,shear
soft_3mm_r1,soft,3,1280,2863.3439746379963,0.03687949851155275,9DTact,shear
soft_3mm_r1,soft,3,1920,6442.523942935493,0.0450287442654371,9DTact,shear
hard_1mm_r1,hard,1,8,0.21444712842969466,0.1501843780279159,DIGIT,fz_mae
hard_1mm_r1,hard,1,16,0.8577885137187786,0.1014076620340347,DIGIT,fz_mae
hard_1mm_r1,hard,1,32,3.4311540548751145,0.0911695286631584,DIGIT,fz_mae
hard_1mm_r1,hard,1,48,7.720096623469007,0.0807103440165519,DIGIT,fz_mae
hard_1mm_r1,hard,1,80,21.44471284296947,0.0695246458053588,DIGIT,fz_mae
hard_1mm_r1,hard,1,160,85.77885137187788,0.0771360695362091,DIGIT,fz_mae
hard_1mm_r1,hard,1,320,343.1154054875115,0.0746525675058364,DIGIT,fz_mae
hard_1mm_r1,hard,1,426,608.0782356079261,0.0774503871798515,DIGIT,fz_mae
hard_1mm_r1,hard,1,640,1372.461621950046,0.0869095996022224,DIGIT,fz_mae
hard_1mm_r1,hard,1,854,2443.745654966113,0.0854737684130668,DIGIT,fz_mae
hard_1mm_r1,hard,1,1280,5489.846487800184,0.0868105962872505,DIGIT,fz_mae
hard_1mm_r1,hard,1,1920,12352.154597550414,0.087556205689907,DIGIT,fz_mae
hard_2mm_r1,hard,2,8,0.177486930809379,0.1194968149065971,DIGIT,fz_mae
hard_2mm_r1,hard,2,16,0.709947723237516,0.0735665187239646,DIGIT,fz_mae
hard_2mm_r1,hard,2,32,2.839790892950064,0.0622253827750682,DIGIT,fz_mae
hard_2mm_r1,hard,2,48,6.389529509137643,0.0580227747559547,DIGIT,fz_mae
hard_2mm_r1,hard,2,80,17.7486930809379,0.0597704909741878,DIGIT,fz_mae
hard_2mm_r1,hard,2,160,70.9947723237516,0.059214424341917,DIGIT,fz_mae
hard_2mm_r1,hard,2,320,283.9790892950064,0.0670910850167274,DIGIT,fz_mae
hard_2mm_r1,hard,2,426,503.2752852431697,0.0629872679710388,DIGIT,fz_mae
hard_2mm_r1,hard,2,640,1135.9163571800257,0.0546161495149135,DIGIT,fz_mae
hard_2mm_r1,hard,2,854,2022.5634129714535,0.0907664373517036,DIGIT,fz_mae
hard_2mm_r1,hard,2,1280,4543.665428720103,0.0592337697744369,DIGIT,fz_mae
hard_2mm_r1,hard,2,1920,10223.247214620229,0.0667032897472381,DIGIT,fz_mae
hard_3mm_r1,hard,3,8,0.13254042623671855,0.1317716389894485,DIGIT,fz_mae
hard_3mm_r1,hard,3,16,0.5301617049468742,0.0851530209183693,DIGIT,fz_mae
hard_3mm_r1,hard,3,32,2.120646819787497,0.0805950686335563,DIGIT,fz_mae
hard_3mm_r1,hard,3,48,4.771455344521867,0.0693603530526161,DIGIT,fz_mae
hard_3mm_r1,hard,3,80,13.254042623671861,0.0573203340172767,DIGIT,fz_mae
hard_3mm_r1,hard,3,160,53.016170494687444,0.0632409304380416,DIGIT,fz_mae
hard_3mm_r1,hard,3,320,212.06468197874977,0.0695743337273597,DIGIT,fz_mae
hard_3mm_r1,hard,3,426,375.8266623708553,0.0607413053512573,DIGIT,fz_mae
hard_3mm_r1,hard,3,640,848.2587279149991,0.0611318424344062,DIGIT,fz_mae
hard_3mm_r1,hard,3,854,1510.372710957166,0.0624683424830436,DIGIT,fz_mae
hard_3mm_r1,hard,3,1280,3393.0349116599964,0.0568446181714534,DIGIT,fz_mae
hard_3mm_r1,hard,3,1920,7634.328551234989,0.0678211450576782,DIGIT,fz_mae
medium_1mm_r1,medium,1,8,0.21059322079920634,0.1014157831668853,DIGIT,fz_mae
medium_1mm_r1,medium,1,16,0.8423728831968254,0.0653808712959289,DIGIT,fz_mae
medium_1mm_r1,medium,1,32,3.3694915327873014,0.0561311207711696,DIGIT,fz_mae
medium_1mm_r1,medium,1,48,7.581355948771427,0.0609112158417701,DIGIT,fz_mae
medium_1mm_r1,medium,1,80,21.05932207992063,0.0492114089429378,DIGIT,fz_mae
medium_1mm_r1,medium,1,160,84.23728831968252,0.1551594287157058,DIGIT,fz_mae
medium_1mm_r1,medium,1,320,336.9491532787301,0.084460511803627,DIGIT,fz_mae
medium_1mm_r1,medium,1,426,597.1502396524494,0.0563076809048652,DIGIT,fz_mae
medium_1mm_r1,medium,1,640,1347.7966131149203,0.0605221912264823,DIGIT,fz_mae
medium_1mm_r1,medium,1,854,2399.8282096936555,0.053018432110548,DIGIT,fz_mae
medium_1mm_r1,medium,1,1280,5391.186452459681,0.0773733556270599,DIGIT,fz_mae
medium_1mm_r1,medium,1,1920,12130.169518034287,0.0740000456571579,DIGIT,fz_mae
medium_2mm_r1,medium,2,8,0.17367109773304965,0.1087041273713111,DIGIT,fz_mae
medium_2mm_r1,medium,2,16,0.6946843909321986,0.0655488967895507,DIGIT,fz_mae
medium_2mm_r1,medium,2,32,2.7787375637287943,0.0543101653456687,DIGIT,fz_mae
