sensor,width_px,mae,thickness_mm,hardness,density_px_per_mm2,principle,probe
medium_3mm_r1,426,0.0846920577167915,3,medium,333.20933403607586,9DTact,cyl4
medium_3mm_r1,320,0.0841713451984653,3,medium,188.0173455734873,9DTact,cyl4
medium_3mm_r1,160,0.0859746594969132,3,medium,47.00433639337182,9DTact,cyl4
medium_3mm_r1,80,0.0907165374443835,3,medium,11.751084098342956,9DTact,cyl4
medium_3mm_r1,48,0.094495671445867,3,medium,4.230390275403463,9DTact,cyl4
medium_3mm_r1,32,0.1117673601320725,3,medium,1.880173455734873,9DTact,cyl4
medium_3mm_r1,16,0.4759410820939631,3,medium,0.47004336393371826,9DTact,cyl4
soft_1mm_r1,1920,0.1279737799069145,1,soft,9974.3232518864,9DTact,cyl4
soft_1mm_r1,1280,0.1044401621397196,1,soft,4433.032556393956,9DTact,cyl4
soft_1mm_r1,854,0.0861225065829878,1,soft,1973.316389098519,9DTact,cyl4
soft_1mm_r1,640,0.0694191245334078,1,soft,1108.258139098489,9DTact,cyl4
soft_1mm_r1,426,0.0594407955457233,1,soft,491.02112805429056,9DTact,cyl4
soft_1mm_r1,320,0.0632426836622255,1,soft,277.06453477462225,9DTact,cyl4
soft_1mm_r1,160,0.0589091547286499,1,soft,69.26613369365556,9DTact,cyl4
soft_1mm_r1,80,0.0751762607445395,1,soft,17.31653342341389,9DTact,cyl4
soft_1mm_r1,48,0.1191584104283968,1,soft,6.233952032429001,9DTact,cyl4
soft_1mm_r1,32,0.165608803890979,1,soft,2.7706453477462225,9DTact,cyl4
soft_1mm_r1,16,0.3789157959539029,1,soft,0.6926613369365556,9DTact,cyl4
soft_2mm_r1,1920,0.1071043099207322,2,soft,7861.5202035152115,9DTact,cyl4
soft_2mm_r1,1280,0.0913212912036038,2,soft,3494.008979340094,9DTact,cyl4
soft_2mm_r1,854,0.0819346495834629,2,soft,1555.3202226418462,9DTact,cyl4
soft_2mm_r1,640,0.0668892426053994,2,soft,873.5022448350235,9DTact,cyl4
soft_2mm_r1,426,0.0610125139578608,2,soft,387.01097017500166,9DTact,cyl4
soft_2mm_r1,320,0.0556175117055487,2,soft,218.37556120875587,9DTact,cyl4
soft_2mm_r1,160,0.0474072009370035,2,soft,54.59389030218897,9DTact,cyl4
soft_2mm_r1,80,0.0386860158760334,2,soft,13.648472575547242,9DTact,cyl4
soft_2mm_r1,48,0.0300330661818047,2,soft,4.913450127197007,9DTact,cyl4
soft_2mm_r1,32,0.0785404084854942,2,soft,2.183755612087559,9DTact,cyl4
soft_2mm_r1,16,0.3425060185455272,2,soft,0.5459389030218897,9DTact,cyl4
soft_3mm_r1,1920,0.0717889404462022,3,soft,6442.523942935493,9DTact,cyl4
soft_3mm_r1,1280,0.0554752276808916,3,soft,2863.3439746379963,9DTact,cyl4
soft_3mm_r1,854,0.0500563732175609,3,soft,1274.5865321088163,9DTact,cyl4
soft_3mm_r1,640,0.0474111544673107,3,soft,715.8359936594991,9DTact,cyl4
soft_3mm_r1,426,0.0433696166681394,3,soft,317.15589058923655,9DTact,cyl4
soft_3mm_r1,320,0.0429071873744261,3,soft,178.95899841487477,9DTact,cyl4
soft_3mm_r1,160,0.0421698671018688,3,soft,44.73974960371869,9DTact,cyl4
soft_3mm_r1,80,0.0461830794968984,3,soft,11.184937400929673,9DTact,cyl4
soft_3mm_r1,48,0.0386361875129104,3,soft,4.026577464334683,9DTact,cyl4
soft_3mm_r1,32,0.0905720622952648,3,soft,1.7895899841487481,9DTact,cyl4
soft_3mm_r1,16,0.1443166973777453,3,soft,0.44739749603718704,9DTact,cyl4
hard_1mm_r1,1920,0.1640959752529204,1,hard,9423.044923543315,9DTact,cube4
hard_1mm_r1,1280,0.1541847150733659,1,hard,4188.019966019251,9DTact,cube4
hard_1mm_r1,854,0.1443726460643078,1,hard,1864.2516903914163,9DTact,cube4
hard_1mm_r1,640,0.1254110413664358,1,hard,1047.0049915048128,9DTact,cube4
hard_1mm_r1,426,0.1222334082797964,1,hard,463.88251425372886,9DTact,cube4
hard_1mm_r1,320,0.1195222758264875,1,hard,261.7512478762032,9DTact,cube4
hard_1mm_r1,160,0.0968726142314388,1,hard,65.4378119690508,9DTact,cube4
hard_1mm_r1,80,0.1044903230523062,1,hard,16.3594529922627,9DTact,cube4
hard_1mm_r1,48,0.0959051090846099,1,hard,5.889403077214571,9DTact,cube4
hard_1mm_r1,32,0.0981701067446744,1,hard,2.6175124787620323,9DTact,cube4
hard_1mm_r1,16,0.3002813902119393,1,hard,0.6543781196905081,9DTact,cube4
hard_1mm_r1,8,0.192635649082868,1,hard,0.16359452992262702,9DTact,cube4
hard_2mm_r1,1920,0.1053855465301681,2,hard,7922.994027581375,9DTact,cube4
hard_2mm_r1,1280,0.091295219207297,2,hard,3521.330678925055,9DTact,cube4
hard_2mm_r1,854,0.0822776198487631,2,hard,1567.482181049137,9DTact,cube4
hard_2mm_r1,640,0.0725191161263662,2,hard,880.3326697312638,9DTact,cube4
hard_2mm_r1,426,0.0702480791232248,2,hard,390.03723528357153,9DTact,cube4
hard_2mm_r1,320,0.0736537305230387,2,hard,220.08316743281594,9DTact,cube4
hard_2mm_r1,160,0.0701116852658522,2,hard,55.020791858203985,9DTact,cube4
hard_2mm_r1,80,0.0799461784909129,2,hard,13.755197964550996,9DTact,cube4
hard_2mm_r1,48,0.0602916285579871,2,hard,4.95187126723836,9DTact,cube4
hard_2mm_r1,32,0.0559432722046491,2,hard,2.2008316743281595,9DTact,cube4
hard_2mm_r1,16,0.1177933453703563,2,hard,0.5502079185820399,9DTact,cube4
hard_3mm_r1,1920,0.131412729900355,3,hard,5974.275732517353,9DTact,cube4
hard_3mm_r1,1280,0.1116566536637891,3,hard,2655.233658896602,9DTact,cube4
hard_3mm_r1,854,0.0960765316151329,3,hard,1181.9484809398402,9DTact,cube4
hard_3mm_r1,640,0.0656283943165846,3,hard,663.8084147241505,9DTact,cube4
hard_3mm_r1,426,0.0565376009221464,3,hard,294.1047262462889,9DTact,cube4
hard_3mm_r1,320,0.057456867303513,3,hard,165.9521036810376,9DTact,cube4
hard_3mm_r1,160,0.0580581616257097,3,hard,41.4880259202594,9DTact,cube4
hard_3mm_r1,80,0.056781715647722,3,hard,10.37200648006485,9DTact,cube4
hard_3mm_r1,48,0.055083227962312,3,hard,3.733922332823346,9DTact,cube4
hard_3mm_r1,32,0.0981268156647636,3,hard,1.6595210368103759,9DTact,cube4
hard_3mm_r1,16,0.092539880294297,3,hard,0.41488025920259397,9DTact,cube4
hard_3mm_r1,8,0.1970611023199131,3,hard,0.10372006480064849,9DTact,cube4
medium_1mm_r1,1920,0.2086288416684105,1,medium,8846.581748967654,9DTact,cube4
medium_1mm_r1,1280,0.1972525983315082,1,medium,3931.8141106522903,9DTact,cube4
medium_1mm_r1,854,0.1900109627287645,1,medium,1750.2044311062532,9DTact,cube4
medium_1mm_r1,640,0.1748490736898966,1,medium,982.9535276630726,9DTact,cube4
medium_1mm_r1,426,0.1684849165657966,1,medium,435.50408785689393,9DTact,cube4
medium_1mm_r1,320,0.1673309254601378,1,medium,245.73838191576814,9DTact,cube4
