sensor,width_px,size_mm,shape
medium_3mm_r2,1280,4.381353295761106,cyl4
medium_3mm_r2,854,4.432133993485925,cyl4
medium_3mm_r2,640,4.523713736814623,cyl4
medium_3mm_r2,426,4.5217917757038,cyl4
medium_3mm_r2,320,4.510528882322051,cyl4
medium_3mm_r2,160,4.50614278095365,cyl4
medium_3mm_r2,80,4.50053729993414,cyl4
medium_3mm_r2,48,4.962873888521858,cyl4
medium_3mm_r2,32,4.757592479813998,cyl4
medium_3mm_r2,16,5.8767818493363775,cyl4
soft_1mm_r1,1920,3.77946658983866,cyl4
soft_1mm_r1,1280,3.809935735905616,cyl4
soft_1mm_r1,854,3.836874269779562,cyl4
soft_1mm_r1,640,3.973192130121743,cyl4
soft_1mm_r1,426,3.970890547246616,cyl4
soft_1mm_r1,320,3.9652268406468414,cyl4
soft_1mm_r1,160,3.958825736337092,cyl4
soft_1mm_r1,80,3.853133660390829,cyl4
soft_1mm_r1,48,3.876842456203311,cyl4
soft_1mm_r1,32,3.5460657510345905,cyl4
soft_1mm_r2,1920,3.99592651089082,cyl4
soft_1mm_r2,1280,4.039240695871279,cyl4
soft_1mm_r2,854,4.077706841998176,cyl4
soft_1mm_r2,640,4.17950560190818,cyl4
soft_1mm_r2,426,4.18432212402992,cyl4
soft_1mm_r2,320,4.156736049351182,cyl4
soft_1mm_r2,160,4.140966141536274,cyl4
soft_1mm_r2,80,4.370322348015706,cyl4
soft_1mm_r2,48,4.320198075987193,cyl4
soft_1mm_r2,32,4.034569202015764,cyl4
soft_1mm_r2,8,5.119111104705222,cyl4
soft_2mm_r1,1920,3.754170151962725,cyl4
soft_2mm_r1,1280,3.78755146619907,cyl4
soft_2mm_r1,854,3.812980795409552,cyl4
soft_2mm_r1,640,3.874488007070225,cyl4
soft_2mm_r1,426,3.865535115931743,cyl4
soft_2mm_r1,320,3.9277875804591513,cyl4
soft_2mm_r1,160,3.9272052376644,cyl4
soft_2mm_r1,80,3.961725603462679,cyl4
soft_2mm_r1,48,4.006109760717012,cyl4
soft_2mm_r1,32,3.472185857131912,cyl4
soft_2mm_r1,16,6.182010623603966,cyl4
soft_2mm_r2,1920,4.682538324289025,cyl4
soft_2mm_r2,1280,4.743520569641326,cyl4
soft_2mm_r2,854,4.753935858282874,cyl4
soft_2mm_r2,640,4.896897890808972,cyl4
soft_2mm_r2,426,4.788311396535151,cyl4
soft_2mm_r2,320,4.77927767438251,cyl4
soft_2mm_r2,160,4.764662626947945,cyl4
soft_2mm_r2,80,4.92901165031345,cyl4
soft_2mm_r2,48,4.938606407108411,cyl4
soft_2mm_r2,32,5.436887726575904,cyl4
soft_2mm_r2,16,5.794714830014558,cyl4
soft_3mm_r1,1920,4.354984696829461,cyl4
soft_3mm_r1,1280,4.400206706004355,cyl4
soft_3mm_r1,854,4.440706623637095,cyl4
soft_3mm_r1,640,4.630358836685062,cyl4
soft_3mm_r1,426,4.498892271160252,cyl4
soft_3mm_r1,320,4.614196360979438,cyl4
soft_3mm_r1,160,4.600658285339936,cyl4
soft_3mm_r1,80,4.386992306498207,cyl4
soft_3mm_r1,48,4.600792996159624,cyl4
soft_3mm_r1,32,4.9338226391522815,cyl4
soft_3mm_r1,16,6.115405953992646,cyl4
soft_3mm_r2,1920,5.088869546822061,cyl4
soft_3mm_r2,1280,5.162538408778473,cyl4
soft_3mm_r2,854,5.240175078292635,cyl4
soft_3mm_r2,640,5.311948954054172,cyl4
soft_3mm_r2,426,5.306605240902994,cyl4
soft_3mm_r2,320,5.302491213923019,cyl4
soft_3mm_r2,160,5.311453454956139,cyl4
soft_3mm_r2,80,5.2735958111541965,cyl4
soft_3mm_r2,48,5.074505913726622,cyl4
soft_3mm_r2,32,6.182390767055859,cyl4
soft_3mm_r2,16,6.564173787020309,cyl4
