approach,depth_mm,force_N,area_px,base_height_mm
1,0.04105294494133105,0.11824361611994902,0,26.49134817680795
1,0.024354223203950198,0.09121951847899937,0,26.49134817680795
1,0.03427227126204002,0.08639612998991879,0,26.49134817680795
1,0.08636082838886949,0.1701596149429349,0,26.49134817680795
1,0.06032006394217504,0.1348865833428164,0,26.49134817680795
1,0.08261677778294185,0.16188640016257239,0,26.49134817680795
1,0.1342631474576379,0.23240081916912914,0,26.49134817680795
1,0.10990779510747473,0.2049346586694128,283,26.49134817680795
1,0.12400548363949682,0.22670234454508886,316,26.49134817680795
1,0.170257171444959,0.2789491773471724,3085,26.49134817680795
1,0.15850723561462843,0.25804394560688027,4065,26.49134817680795
1,0.17829387995123014,0.3063128059888783,8622,26.49134817680795
1,0.2205938024246663,0.37186036489700597,33097,26.49134817680795
1,0.2116250771186614,0.32535732097498454,34269,26.49134817680795
1,0.22100555299505587,0.36920728241884715,42350,26.49134817680795
1,0.2696364468745358,0.4492123989198859,66877,26.49134817680795
1,0.25990420411543624,0.4386460091963812,66870,26.49134817680795
1,0.26805583411403333,0.46556685532300435,74823,26.49134817680795
1,0.3202089637341139,0.534799539440084,100850,26.49134817680795
2,0.037401482629032756,0.09440418925385359,0,26.49338466817405
2,0.024447555918126085,0.0931032584669282,0,26.49338466817405
2,0.04003083364239046,0.11297598853337831,0,26.49338466817405
2,0.08832158672145951,0.19764785896078935,0,26.49338466817405
2,0.06873405411170452,0.1409779221514981,0,26.49338466817405
2,0.08578404682749508,0.17003735783237914,0,26.49338466817405
2,0.1252551913242499,0.2355779164483664,0,26.49338466817405
2,0.11839476174611363,0.20376184485172927,0,26.49338466817405
2,0.12987002547357562,0.21688557919158313,257,26.49338466817405
2,0.17738820112017706,0.29977764407160523,2909,26.49338466817405
2,0.1618841203716599,0.2995140117496504,2030,26.49338466817405
2,0.1799103996596223,0.3099337882191492,3772,26.49338466817405
2,0.22674506013130014,0.4125768782233905,22340,26.49338466817405
2,0.2148249671127651,0.32767999387527313,31595,26.49338466817405
2,0.22297608181025907,0.36863499027601565,40987,26.49338466817405
2,0.2791650013543041,0.5033068863121173,54886,26.49338466817405
2,0.2536701159981547,0.44103403362011023,58776,26.49338466817405
2,0.27253536608983,0.4790190427798365,69845,26.49338466817405
2,0.3176430887727335,0.5534035762420728,87127,26.49338466817405
3,0.03555072120067848,0.11621221476200105,0,26.491492395463737
3,0.021090759492217614,0.08775045161078765,0,26.491492395463737
3,0.0354411352156383,0.11617918468650146,0,26.491492395463737
3,0.08543764748231553,0.18336892102728938,0,26.491492395463737
3,0.06288043633648854,0.15254738282880567,0,26.491492395463737
3,0.08678180301003735,0.17861825815665783,0,26.491492395463737
3,0.12453814115644235,0.25611329552030215,0,26.491492395463737
3,0.11766595529608281,0.2503024140136745,0,26.491492395463737
3,0.128895886770227,0.2682877702521836,266,26.491492395463737
3,0.17371059066866223,0.30448428971833436,2944,26.491492395463737
3,0.1629132407531344,0.27927959501195404,3659,26.491492395463737
3,0.18539450214049324,0.3332753097137811,12233,26.491492395463737
3,0.22380586071706077,0.3974697589275252,32443,26.491492395463737
3,0.2148897452972136,0.37442341896777975,32603,26.491492395463737
3,0.22792565731442593,0.4252742421952149,43797,26.491492395463737
3,0.2834661031218779,0.5182280457383712,60970,26.491492395463737
3,0.259961489736817,0.4652218907602673,61389,26.491492395463737
3,0.2746238982565181,0.4932653781119001,70393,26.491492395463737
3,0.31138215107802125,0.575733316956476,90181,26.491492395463737
