sensor_id,index,at,image,label,Fx_s,Fy_s,Fz_s,Tx_s,Ty_s,Tz_s,Fx_base,Fy_base,Fz_base,Fmag,tcp_x,tcp_y,tcp_z,descent_mm,depth_corrected_mm,contact_x_sensor_mm,contact_y_sensor_mm,lateral_fraction,probe_tilt_deg
9DTact_hard_2mm_r2,1,2026-09-08T00:17:00.134079,0001.png,N2.03,0.00456,0.0695,-2.03225,-0.00151,-0.000838,0.000329,-0.01668,0.02992,-2.03315,2.03344,37.9195,362.8406,38.1146,-0.0,0.4884,-0.412,0.743,0.0343,2.774
9DTact_hard_2mm_r2,2,2026-09-08T00:17:37.274019,0002.png,N2.19,0.0064,0.07498,-2.1917,-0.00165,-0.000885,0.00038,-0.01672,0.03302,-2.19268,2.19299,37.9156,362.8584,38.0763,0.038,0.5264,-0.404,0.753,0.0343,2.774
9DTact_hard_2mm_r2,3,2026-09-08T00:18:14.011984,0003.png,N1.98,0.00744,0.0747,-2.02417,-0.001419,-0.000821,5.3e-05,-0.01684,0.03599,-2.02517,2.02556,37.914,362.8801,38.1212,-0.0072,0.4812,-0.405,0.701,0.0371,2.774
9DTact_hard_2mm_r2,4,2026-09-08T00:18:51.166726,0004.png,N2.14,0.01429,0.08683,-2.16044,-0.001355,-0.00081,4.3e-05,-0.01602,0.04773,-2.16165,2.16223,37.911,362.9019,38.0897,0.0239,0.5123,-0.375,0.627,0.0407,2.774
9DTact_hard_2mm_r2,5,2026-09-08T00:19:30.186781,0005.png,N2.22,0.02166,0.10812,-2.24323,-0.001858,-0.000826,0.00013,-0.0197,0.06852,-2.2448,2.24593,37.9081,362.9301,38.0673,0.0458,0.5342,-0.368,0.828,0.0491,2.774
