sensor_id,index,at,image,label,Fx_s,Fy_s,Fz_s,Tx_s,Ty_s,Tz_s,Fx_base,Fy_base,Fz_base,Fmag,tcp_x,tcp_y,tcp_z,descent_mm,depth_corrected_mm,contact_x_sensor_mm,contact_y_sensor_mm,lateral_fraction,probe_tilt_deg
9DTact_soft_2mm_r1,1,2026-09-07T19:24:06.016865,0001.png,N0.10,-0.00111,0.0168,-0.11309,-0.001433,0.00012,0.000705,-0.00857,0.01218,-0.11337,0.11434,37.8863,362.8116,38.8459,-0.0,0.0602,1.063,12.675,0.1473,2.925
9DTact_soft_2mm_r1,2,2026-09-07T19:24:07.863438,0002.png,N0.20,-0.0012,0.02154,-0.18699,-0.001479,0.000184,0.000533,-0.0105,0.01506,-0.18734,0.18823,37.8864,362.8271,38.7159,0.1298,0.1899,0.983,7.91,0.1146,2.925
9DTact_soft_2mm_r1,3,2026-09-07T19:24:09.297714,0003.png,N0.30,0.00061,0.02166,-0.24958,-0.001594,7.7e-05,0.000558,-0.00857,0.01507,-0.24992,0.25052,37.8872,362.8256,38.6374,0.2083,0.2685,0.308,6.385,0.0865,2.925
9DTact_soft_2mm_r1,4,2026-09-07T19:24:10.339093,0004.png,N0.40,0.00178,0.02597,-0.28061,-0.001561,0.000161,0.000306,-0.00949,0.01889,-0.28102,0.28181,37.8883,362.8223,38.5808,0.265,0.3251,0.574,5.562,0.0924,2.925
9DTact_soft_2mm_r1,5,2026-09-07T19:24:12.615384,0005.png,N0.50,0.00072,0.02689,-0.48477,-0.001528,1.5e-05,0.000352,-0.00945,0.01588,-0.48517,0.48552,37.8912,362.8154,38.4119,0.434,0.4941,0.031,3.152,0.0554,2.925
9DTact_soft_2mm_r1,6,2026-09-07T19:24:14.060698,0006.png,N0.60,1e-05,0.02678,-0.60995,-0.001295,-6.6e-05,0.00033,-0.00914,0.01343,-0.61032,0.61054,37.8919,362.8114,38.3333,0.5127,0.5728,-0.108,2.123,0.0439,2.925
9DTact_soft_2mm_r1,7,2026-09-07T19:24:15.095761,0007.png,N0.70,0.0021,0.03157,-0.67622,-0.001529,-0.000124,0.000383,-0.00927,0.01756,-0.67667,0.67696,37.8901,362.8166,38.2857,0.5601,0.6202,-0.183,2.261,0.0467,2.925
9DTact_soft_2mm_r1,8,2026-09-07T19:24:16.535784,0008.png,N0.80,0.00178,0.03273,-0.79989,-0.001313,-0.000138,0.000116,-0.00927,0.01642,-0.80034,0.80056,37.8924,362.8101,38.199,0.6469,0.7071,-0.172,1.641,0.0409,2.925
9DTact_soft_2mm_r1,9,2026-09-07T19:24:17.578011,0009.png,N0.90,0.00506,0.03725,-0.92574,-0.001448,-0.000221,0.000467,-0.00782,0.01996,-0.92625,0.9265,37.8925,362.8122,38.1452,0.7006,0.7608,-0.238,1.564,0.0406,2.925
9DTact_soft_2mm_r1,10,2026-09-07T19:24:18.595987,0010.png,N1.00,0.00544,0.04349,-0.993,-0.001595,-0.000242,0.000247,-0.01013,0.02447,-0.99362,0.99397,37.8905,362.8161,38.1001,0.7457,0.8058,-0.243,1.606,0.0441,2.925
9DTact_soft_2mm_r1,11,2026-09-07T19:24:19.634776,0011.png,N1.10,0.00135,0.04105,-1.07479,-0.00142,-0.00019,0.000297,-0.01189,0.01901,-1.07535,1.07558,37.8903,362.8127,38.0599,0.7859,0.8461,-0.177,1.322,0.0382,2.925
9DTact_soft_2mm_r1,12,2026-09-07T19:24:20.677656,0012.png,N1.20,0.00385,0.04808,-1.19466,-0.001384,-0.000214,0.000396,-0.01241,0.02443,-1.19531,1.19563,37.8894,362.8101,38.0127,0.8332,0.8933,-0.179,1.158,0.0403,2.925
9DTact_soft_2mm_r1,13,2026-09-07T19:24:21.683369,0013.png,N1.30,0.0076,0.05475,-1.25057,-0.001636,-0.000274,0.000505,-0.0121,0.03118,-1.25134,1.25179,37.8886,362.82,37.983,0.8626,0.9228,-0.219,1.308,0.0442,2.925
9DTact_soft_2mm_r1,14,2026-09-07T19:24:22.737088,0014.png,N1.40,0.00496,0.04704,-1.37425,-0.001513,-0.00057,0.000566,-0.00968,0.0212,-1.37487,1.37507,37.8899,362.8024,37.9295,0.9165,0.9767,-0.415,1.101,0.0344,2.925
9DTact_soft_2mm_r1,15,2026-09-07T19:24:23.766068,0015.png,N1.50,0.00733,0.05631,-1.45697,-0.001557,-0.000451,0.000658,-0.01169,0.02909,-1.45774,1.45808,37.8874,362.8164,37.8984,0.9473,1.0075,-0.31,1.068,0.0389,2.925
9DTact_soft_2mm_r1,16,2026-09-07T19:24:24.785198,0016.png,N1.60,0.00677,0.05462,-1.60054,-0.001367,-0.000552,0.000867,-0.01033,0.02505,-1.60125,1.60148,37.8911,362.8036,37.8482,0.9977,1.0579,-0.345,0.854,0.0344,2.925
9DTact_soft_2mm_r1,17,2026-09-07T19:24:25.819369,0017.png,N1.70,0.01133,0.06122,-1.6815,-0.0015,-0.000502,0.000711,-0.00912,0.03175,-1.68232,1.68265,37.8901,362.8145,37.8129,1.0329,1.093,-0.298,0.892,0.037,2.925
9DTact_soft_2mm_r1,18,2026-09-07T19:24:26.841023,0018.png,N1.80,0.00596,0.05541,-1.78283,-0.001296,-0.000564,0.000701,-0.01016,0.02241,-1.78353,1.7837,37.8927,362.8002,37.7687,1.0773,1.1375,-0.316,0.727,0.0312,2.925
9DTact_soft_2mm_r1,19,2026-09-07T19:24:27.879275,0019.png,N1.90,0.011,0.06369,-1.8626,-0.001535,-0.000657,0.000756,-0.00938,0.03082,-1.86344,1.86372,37.8912,362.8114,37.7382,1.1076,1.1678,-0.353,0.824,0.0347,2.925
