probe,repeat,target,true,recon,flat,width_x,width_y,angle_deg,lut,sensor
cyl4,1,0.1,0.0933514648309987,0.023410722613334656,0.011854694224894047,3.2591032800022637,3.2591032800022637,3.1798300743103027,raw,hard_1mm_r1
cyl4,1,0.2,0.1721550767126913,0.07789028435945511,0.023805445060133934,3.702835123586611,3.702835123586611,4.5377726554870605,raw,hard_1mm_r1
cyl4,1,0.3,0.2771064283854016,0.18934676051139832,0.033930227160453796,3.7201577169126994,3.7201577169126994,39.4400520324707,raw,hard_1mm_r1
cyl4,1,0.4,0.3777856650003528,0.3025723099708557,0.027309363707900047,3.772606781393685,3.772606781393685,51.13222122192383,raw,hard_1mm_r1
cyl4,1,0.5,0.4761162367936649,0.3786276876926422,0.026741253212094307,3.980016505953433,3.980016505953433,4.085616588592529,raw,hard_1mm_r1
cyl4,1,0.6,0.5801451610237258,0.4565751552581787,0.019364183768630028,4.087180960724949,4.087180960724949,3.2704880237579346,raw,hard_1mm_r1
cyl4,2,0.1,0.0706624127971373,0.02384033426642418,0.011191767640411854,3.290561458618588,3.290561458618588,82.80908966064453,raw,hard_1mm_r1
cyl4,2,0.2,0.1789414880825646,0.07101169973611832,0.02244899608194828,3.706007561872697,3.706007561872697,12.63336181640625,raw,hard_1mm_r1
cyl4,2,0.3,0.2793785874239844,0.1849348098039627,0.03494442626833916,3.7071977455709337,3.7071977455709337,47.950775146484375,raw,hard_1mm_r1
cyl4,2,0.4,0.3780777224241483,0.292871356010437,0.027741186320781708,3.7529833309838376,3.7529833309838376,58.28486251831055,raw,hard_1mm_r1
cyl4,2,0.5,0.4786638276922019,0.3746580183506012,0.026929544284939766,3.9521264658767,3.9521264658767,89.13194274902344,raw,hard_1mm_r1
cyl4,2,0.6,0.5798146250117817,0.45540928840637207,0.019417602568864822,4.083419165347144,4.083419165347144,2.9507791996002197,raw,hard_1mm_r1
cyl4,3,0.1,0.0696396155184189,0.021721426397562027,0.011067258194088936,3.206092373452398,3.206092373452398,51.532135009765625,raw,hard_1mm_r1
cyl4,3,0.2,0.1781785405272238,0.06496325135231018,0.021406427025794983,3.7170557252064436,3.7170557252064436,40.42607879638672,raw,hard_1mm_r1
cyl4,3,0.3,0.2780091516998659,0.17853394150733948,0.03452218323945999,3.720838058747405,3.720838058747405,45.0,raw,hard_1mm_r1
cyl4,3,0.4,0.3761375180604887,0.2940373122692108,0.028958702459931374,3.774178381523195,3.774178381523195,51.34019470214844,raw,hard_1mm_r1
cyl4,3,0.5,0.4778681498941175,0.37086158990859985,0.02657111920416355,3.948226836973647,3.948226836973647,34.07719802856445,raw,hard_1mm_r1
cyl4,3,0.6,0.5814466489320367,0.4539523124694824,0.019634200260043144,4.078200022754744,4.078200022754744,90.0,raw,hard_1mm_r1
cyl4,1,0.1,0.0933514648309987,0.0401293970644474,0.020156757906079292,3.2864709891986665,3.2864709891986665,5.07960844039917,corrected,hard_1mm_r1
cyl4,1,0.2,0.1721550767126913,0.13002441823482513,0.03492859750986099,3.7248883772327366,3.7248883772327366,4.5377726554870605,corrected,hard_1mm_r1
cyl4,1,0.3,0.2771064283854016,0.27139389514923096,0.037742987275123596,3.834600706338513,3.834600706338513,41.95521926879883,corrected,hard_1mm_r1
cyl4,1,0.4,0.3777856650003528,0.39035725593566895,0.0276950653642416,3.9538187688661064,3.9538187688661064,48.8140754699707,corrected,hard_1mm_r1
cyl4,1,0.5,0.4761162367936649,0.46665695309638977,0.02675863541662693,4.117177937969848,4.117177937969848,1.7183579206466675,corrected,hard_1mm_r1
cyl4,1,0.6,0.5801451610237258,0.544604480266571,0.01936418004333973,4.218204795787544,4.218204795787544,4.573921203613281,corrected,hard_1mm_r1
cyl4,2,0.1,0.0706624127971373,0.0408487543463707,0.01905938796699047,3.2959636373243524,3.2959636373243524,82.80908966064453,corrected,hard_1mm_r1
cyl4,2,0.2,0.1789414880825646,0.11926299333572388,0.03396769240498543,3.7132305864264548,3.7132305864264548,12.63336181640625,corrected,hard_1mm_r1
cyl4,2,0.3,0.2793785874239844,0.26641619205474854,0.039199668914079666,3.8324217655005386,3.8324217655005386,16.886791229248047,corrected,hard_1mm_r1
cyl4,2,0.4,0.3780777224241483,0.38053521513938904,0.028178397566080093,3.9180623100091707,3.9180623100091707,35.36246109008789,corrected,hard_1mm_r1
cyl4,2,0.5,0.4786638276922019,0.4626860022544861,0.02695208229124546,4.092211926833782,4.092211926833782,83.95590209960938,corrected,hard_1mm_r1
cyl4,2,0.6,0.5798146250117817,0.5434386134147644,0.019417654722929,4.207974085757453,4.207974085757453,30.20323944091797,corrected,hard_1mm_r1
cyl4,3,0.1,0.0696396155184189,0.037277545779943466,0.01887369714677334,3.2171376279945316,3.2171376279945316,36.34745788574219,corrected,hard_1mm_r1
cyl4,3,0.2,0.1781785405272238,0.10973882675170898,0.03291698172688484,3.7289245991261253,3.7289245991261253,47.91083526611328,corrected,hard_1mm_r1
cyl4,3,0.3,0.2780091516998659,0.2591725289821625,0.03909158334136009,3.8298733802529017,3.8298733802529017,27.5972957611084,corrected,hard_1mm_r1
cyl4,3,0.4,0.3761375180604887,0.38173237442970276,0.02941584773361683,3.9271976877186576,3.9271976877186576,25.52969741821289,corrected,hard_1mm_r1
cyl4,3,0.5,0.4778681498941175,0.4588909447193146,0.026593748480081558,4.0875879121221645,4.0875879121221645,7.4958577156066895,corrected,hard_1mm_r1
cyl4,3,0.6,0.5814466489320367,0.5419816970825195,0.019634196534752846,4.200396615279899,4.200396615279899,90.0,corrected,hard_1mm_r1
cube4,1,0.1,0.0850791015392857,-0.0013731017243117094,0.005438206251710653,4.255312331248054,2.3315386083286667,74.99507904052734,raw,hard_1mm_r1
cube4,1,0.2,0.1807645953599497,0.02718147076666355,0.012340061366558075,4.301949774642285,3.67909358057527,80.83765411376953,raw,hard_1mm_r1
cube4,1,0.3,0.2830813851767679,0.08301301300525665,0.025877492502331734,4.318299649310336,3.8202448530372495,80.79959869384766,raw,hard_1mm_r1
cube4,1,0.4,0.3863278130221879,0.19992050528526306,0.03749651089310646,4.313676303141321,3.8647674099258573,83.3161392211914,raw,hard_1mm_r1
cube4,1,0.5,0.4807811495282088,0.31451213359832764,0.027174223214387894,4.315314022851536,3.834199460983151,79.55217742919922,raw,hard_1mm_r1
cube4,1,0.6,0.5801459271475018,0.38835009932518005,0.028942132368683815,4.4281192457432965,4.042928220435028,77.5795669555664,raw,hard_1mm_r1
cube4,1,0.1,0.0850791015392857,-0.002532589016482234,0.009375059977173805,4.257328987097772,2.3315386083286667,74.99507904052734,corrected,hard_1mm_r1
cube4,1,0.2,0.1807645953599497,0.04656921327114105,0.020939450711011887,4.301949774642285,3.67909358057527,80.83765411376953,corrected,hard_1mm_r1
cube4,1,0.3,0.2830813851767679,0.13771824538707733,0.03731725364923477,4.326135007820635,3.968764400493367,85.84036254882812,corrected,hard_1mm_r1
cube4,1,0.4,0.3863278130221879,0.283150851726532,0.04120321199297905,4.353593403549905,3.981064374841283,81.57302856445312,corrected,hard_1mm_r1
cube4,1,0.5,0.4807811495282088,0.40240776538848877,0.027413083240389824,4.444361457010338,4.006583528284098,75.52970886230469,corrected,hard_1mm_r1
cube4,1,0.6,0.5801459271475018,0.4763794243335724,0.028947418555617332,4.564076328323963,4.272788280521222,79.90647888183594,corrected,hard_1mm_r1
cyl4,1,0.1,0.0891985000937332,-0.0059795984998345375,0.010896327905356884,0.9820748388650311,0.9820748388650311,78.69007110595703,raw,hard_1mm_r2
cyl4,1,0.2,0.1708057737322299,0.06601876020431519,0.01773720793426037,3.106885720460747,3.106885720460747,64.15560913085938,raw,hard_1mm_r2
cyl4,1,0.3,0.271821948632855,0.18680962920188904,0.03239452838897705,3.334918733036488,3.334918733036488,16.389541625976562,raw,hard_1mm_r2
cyl4,1,0.4,0.3703719405498731,0.3143312335014343,0.03932396322488785,3.5470686361652533,3.5470686361652533,80.03620147705078,raw,hard_1mm_r2
cyl4,1,0.5,0.4732449848518456,0.4088672399520874,0.016260555014014244,3.944502188047357,3.944502188047357,82.87498474121094,raw,hard_1mm_r2
cyl4,1,0.6,0.5766089699675732,0.4321382939815521,0.005187974311411381,4.3000465216589285,4.3000465216589285,77.82854461669922,raw,hard_1mm_r2
cyl4,2,0.1,0.0710571285470749,-0.009744938462972641,0.010492284782230854,0.6477517416534425,0.6477517416534425,49.9697380065918,raw,hard_1mm_r2
cyl4,2,0.2,0.173913030107041,0.06052336096763611,0.017255451530218124,3.023386891879178,3.023386891879178,22.023056030273438,raw,hard_1mm_r2
cyl4,2,0.3,0.2703960600050479,0.1713586449623108,0.032136980444192886,3.261062838016022,3.261062838016022,90.0,raw,hard_1mm_r2
cyl4,2,0.4,0.374897728525589,0.3113863468170166,0.04259749501943588,3.4601539768087624,3.4601539768087624,79.9393081665039,raw,hard_1mm_r2
cyl4,2,0.5,0.4757702081480239,0.4100939929485321,0.016416916623711586,3.907472311492617,3.907472311492617,71.8472900390625,raw,hard_1mm_r2
cyl4,2,0.6,0.5759958779596559,0.432104229927063,0.005378624424338341,4.2835669186092025,4.2835669186092025,40.38364791870117,raw,hard_1mm_r2
cyl4,3,0.1,0.0733678732215494,-0.010345586575567722,0.010535729117691517,0.49298557899619544,0.49298557899619544,9.963804244995117,raw,hard_1mm_r2
cyl4,3,0.2,0.1775021448174669,0.05628329515457153,0.016724303364753723,3.053788671650487,3.053788671650487,30.963756561279297,raw,hard_1mm_r2
cyl4,3,0.3,0.2754146120861982,0.16911768913269043,0.03089117258787155,3.2648229456319013,3.2648229456319013,26.37213897705078,raw,hard_1mm_r2
cyl4,3,0.4,0.3749782651066873,0.3226704001426697,0.04072210565209389,3.38968049751028,3.38968049751028,80.18070220947266,raw,hard_1mm_r2
cyl4,3,0.5,0.473950500374837,0.4070477783679962,0.018187981098890305,3.86375418037142,3.86375418037142,64.9164047241211,raw,hard_1mm_r2
cyl4,3,0.6,0.5809768605437036,0.43203622102737427,0.005818130448460579,4.252866768073771,4.252866768073771,38.45370864868164,raw,hard_1mm_r2
cyl4,1,0.1,0.0891985000937332,-0.006135380361229181,0.01389562152326107,1.0123357764616803,1.0123357764616803,78.9964599609375,corrected,hard_1mm_r2
cyl4,1,0.2,0.1708057737322299,0.09887642413377762,0.02827906236052513,3.062697196611594,3.062697196611594,64.50244903564453,corrected,hard_1mm_r2
cyl4,1,0.3,0.271821948632855,0.27809932827949524,0.04307180643081665,3.364905362680796,3.364905362680796,16.16449737548828,corrected,hard_1mm_r2
cyl4,1,0.4,0.3703719405498731,0.4271560609340668,0.04277018830180168,3.7071934238297786,3.7071934238297786,19.536653518676758,corrected,hard_1mm_r2
cyl4,1,0.5,0.4732449848518456,0.5241003632545471,0.01641775295138359,4.091541524726925,4.091541524726925,72.10386657714844,corrected,hard_1mm_r2
cyl4,1,0.6,0.5766089699675732,0.5473772883415222,0.005188157316297293,4.453876385086661,4.453876385086661,20.79411506652832,corrected,hard_1mm_r2
cyl4,2,0.1,0.0710571285470749,-0.010565200820565224,0.013278479687869549,0.6585938169380746,0.6585938169380746,50.06361770629883,corrected,hard_1mm_r2
cyl4,2,0.2,0.173913030107041,0.08983083069324493,0.02751040831208229,2.9775354846161117,2.9775354846161117,24.863697052001953,corrected,hard_1mm_r2
cyl4,2,0.3,0.2703960600050479,0.25689461827278137,0.04413982853293419,3.2794076594693142,3.2794076594693142,90.0,corrected,hard_1mm_r2
cyl4,2,0.4,0.374897728525589,0.42406898736953735,0.04707704856991768,3.6028501435112976,3.6028501435112976,83.58121490478516,corrected,hard_1mm_r2
cyl4,2,0.5,0.4757702081480239,0.52532958984375,0.016600022092461586,4.052149226593657,4.052149226593657,71.56505584716797,corrected,hard_1mm_r2
cyl4,2,0.6,0.5759958779596559,0.5473432540893555,0.005379865877330303,4.430817116754852,4.430817116754852,17.52556800842285,corrected,hard_1mm_r2
cyl4,3,0.1,0.0733678732215494,-0.011262206360697746,0.013353888876736164,0.49862612162922376,0.49862612162922376,9.833563804626465,corrected,hard_1mm_r2
cyl4,3,0.2,0.1775021448174669,0.08286185562610626,0.026479890570044518,2.9725928089948614,2.9725928089948614,30.963756561279297,corrected,hard_1mm_r2
cyl4,3,0.3,0.2754146120861982,0.2538033127784729,0.0425102524459362,3.2801915734113343,3.2801915734113343,26.175291061401367,corrected,hard_1mm_r2
cyl4,3,0.4,0.3749782651066873,0.4359220862388611,0.044661879539489746,3.5443080581987334,3.5443080581987334,78.82616424560547,corrected,hard_1mm_r2
cyl4,3,0.5,0.473950500374837,0.5222721099853516,0.01843603514134884,4.022430338438416,4.022430338438416,68.06151580810547,corrected,hard_1mm_r2
cyl4,3,0.6,0.5809768605437036,0.5472752451896667,0.00582109997048974,4.40239441126581,4.40239441126581,37.619361877441406,corrected,hard_1mm_r2
