sensor,scale,px_full,rms_full,sat_half,sat_2x,sat_size,sat_sq,collapse,rms_x16,rms_x32,lev_full,lev_x32
medium_3mm_r1,borrowed,85.064344714952,0.0207475186214432,1,1,1,1,32,0.0704023369795185,,9,
hard_3mm_r1,median,84.00490439021377,0.0263111850017406,1,1,1,4,64,0.0914253965807892,0.0689573522106469,15,11.0
medium_2mm_r2,borrowed,70.73606813554056,0.0376413913133614,2,32,1,32,64,0.0586482930465443,0.0500715138082966,17,13.0
soft_2mm_r2,borrowed,76.39049752220043,0.0298924972859688,2,32,2,32,64,0.0576674704178379,0.0442607934171962,18,14.0
medium_3mm_r2,own,71.4901689940954,0.0358051718549789,2,32,1,1,64,0.0700285837051522,0.0548257241623364,16,12.0
soft_3mm_r1,borrowed,82.40670410350971,0.0323231075004923,2,4,1,1,64,0.0647911720881023,0.0459720336785091,16,12.0
soft_3mm_r2,borrowed,71.72628705535531,0.0446026963950784,2,32,1,8,64,0.0657289600116974,0.0489117458673809,15,11.0
hard_2mm_r2,own,85.91337826245143,0.0413252932636313,2,32,16,32,64,0.0628221447758812,0.0536647577227241,19,16.0
hard_1mm_r2,median,84.00490439021377,0.0443441567637891,2,32,1,8,64,0.0559425882741478,0.0360031489169552,13,12.0
medium_1mm_r2,own,77.90245944365033,0.0264899731727131,4,32,16,32,64,0.0400658623631348,0.0281157849743527,14,11.0
hard_3mm_r2,median,84.00490439021377,0.0190792897404012,8,4,1,1,64,0.0449366840358985,0.0404861187083985,15,11.0
hard_2mm_r1,median,84.00490439021377,0.0238655181982427,32,32,1,16,64,0.0326661324500023,0.0274373787792828,19,16.0
soft_1mm_r1,own,101.80915744549826,0.030581084337633,32,32,8,1,64,0.0433152214123824,0.0408326557099614,12,9.0
soft_1mm_r2,median,84.00490439021377,0.0149492053343595,32,32,2,1,64,0.0075608201677797,0.0087864096399595,14,12.0
soft_2mm_r1,own,88.89310786324532,0.0200326655021825,32,32,1,32,64,0.0274133460041238,0.011727352346857,23,19.0
medium_1mm_r1,own,88.61377550187014,0.0044219201929281,32,1,2,16,64,0.0148441449248839,0.0083348769120607,21,19.0
hard_1mm_r1,own,93.82314012650215,0.0207871850644425,32,32,2,8,64,0.0186690862082523,0.0204465016139956,18,16.0
