sensor,scale_source,downscale,px_per_mm,zero_shift_mm,zero_shift_source,grey_levels_used,mm_per_grey_level,ball_deepest_mm,cyl4_raw_bias,cyl4_raw_mae,cyl4_raw_bias_deep,cyl4_raw_mae_deep,cyl4_raw_slope,cyl4_raw_rms_after_linear,cyl4_raw_size,cyl4_raw_size_err,cyl4_raw_flat,cyl4_corrected_bias,cyl4_corrected_mae,cyl4_corrected_bias_deep,cyl4_corrected_mae_deep,cyl4_corrected_slope,cyl4_corrected_rms_after_linear,cyl4_corrected_size,cyl4_corrected_size_err,cyl4_corrected_flat,cube4_raw_bias,cube4_raw_mae,cube4_raw_bias_deep,cube4_raw_mae_deep,cube4_raw_slope,cube4_raw_rms_after_linear,cube4_raw_size,cube4_raw_size_err,cube4_raw_flat,cube4_raw_squareness,cube4_raw_angle_deg,cube4_corrected_bias,cube4_corrected_mae,cube4_corrected_bias_deep,cube4_corrected_mae_deep,cube4_corrected_slope,cube4_corrected_rms_after_linear,cube4_corrected_size,cube4_corrected_size_err,cube4_corrected_flat,cube4_corrected_squareness,cube4_corrected_angle_deg
hard_1mm_r1,own,1,93.82314012650215,0.13593813563648638,own,18,0.039898885903692616,0.7181799462664671,-0.09379222555147332,0.09379222555147332,-0.10068076501522415,0.10068076501522415,0.9050226778931014,0.015903077676901547,3.9365487168368154,-0.0634512831631846,0.024740795087483194,-0.025462790709602064,0.027754339600687725,-0.014390297484735174,0.01782762082136367,1.0421240466909876,0.020787185064442545,4.08029244892718,0.0802924489271799,0.024889978683657117,-0.1640959752529204,0.1640959752529204,-0.18613513091515974,0.18613513091515974,0.8414589468737684,0.026947797828320234,4.133167443846698,0.13316744384669832,0.031204288825392723,0.8991520075762548,79.55217742919922,-0.10874784344726207,0.10874784344726207,-0.10766999700974897,0.10766999700974897,1.0374715609092189,0.022987982691893897,4.270411228755135,0.270411228755135,0.03252123792966207,0.9173693498230101,79.90647888183594
hard_1mm_r2,median,1,84.00490439021377,0.21571654104267068,own,13,0.06174947697162791,0.8027432006311628,-0.09419752302890118,0.09419752302890118,-0.09137218806577281,0.09137218806577281,0.9659427434655252,0.02957004034438108,3.8832346665263993,-0.11676533347360074,0.021099305090804894,-0.01761243554349669,0.05338054106748538,0.016267857318793183,0.03738430096718986,1.2108150437522518,0.04434415676378911,4.0341734031562355,0.034173403156235516,0.022483561084502272,-0.08797850813576956,0.08797850813576956,-0.08311795155839528,0.08311795155839528,0.9584247684381673,0.03147202042455591,4.555192353422087,0.5551923534220871,0.01439996661307911,0.9364324361915851,77.27564239501953,-0.008512162182945796,0.05509278489567274,0.027047823263839824,0.0428231108052506,1.1957292276555436,0.04885796681985347,4.693525847395745,0.6935258473957449,0.014991930918768048,0.9247703960015695,76.72935485839844
hard_2mm_r1,median,1,84.00490439021377,0.14387636913972557,own,19,0.03808308948695252,0.7235787002520979,-0.12944464303488165,0.12944464303488165,-0.1357133084191355,0.1357133084191355,0.9348609864625836,0.017987305440274024,3.8304213364725705,-0.16957866352742945,0.02797638914651341,-0.08125398645112544,0.08125398645112544,-0.06480343887244394,0.06480343887244394,1.114466241624389,0.023865518198242792,3.9369768589773475,-0.0630231410226525,0.029043705720040534,-0.10690556003475211,0.10690556003475211,-0.10185730733816542,0.10185730733816542,0.9976762105153186,0.026420823511022734,4.640657896079376,0.6406578960793761,0.024175179811815422,0.9565711776270485,76.41400909423828,-0.056776548140486306,0.059681957875006575,-0.028588051878856796,0.032946166480637196,1.173104039021936,0.036978437381575684,4.763019640165275,0.7630196401652753,0.02448660011092822,0.9623480831894078,77.753662109375
hard_2mm_r2,own,1,85.91337826245143,0.24941276742730167,own,19,0.04367468878467325,0.8298190869087918,-0.0800700643423633,0.0800700643423633,-0.0761867572741493,0.0761867572741493,0.9645688839511388,0.025047216032978704,4.085955647452887,0.08595564745288709,0.020639598162637815,0.014506641370461766,0.05373660260507369,0.05118243298165159,0.05118243298165159,1.2202351202647344,0.041325293263631324,4.25698943696856,0.2569894369685599,0.02143385861482885,-0.13533221411490712,0.13533221411490712,-0.14200620851403117,0.14200620851403117,0.9238660293616342,0.018173963573026353,4.321114997793251,0.32111499779325126,0.029418228194117546,0.9878066400872391,74.25796508789062,-0.05481501786320678,0.05481501786320678,-0.023274400596674696,0.023274400596674696,1.2345906851456299,0.027939572032780156,4.443100232062628,0.44310023206262805,0.03249045896033446,0.9928874920753374,77.64464569091797
hard_3mm_r1,median,1,84.00490439021377,0.23502583862300952,own,15,0.05386882565393307,0.8080323848089961,-0.13843937858498415,0.13843937858498415,-0.15340648483481886,0.15340648483481886,0.8179786390789979,0.01668728838306009,4.948155827071509,0.9481558270715089,0.02596984203490946,-0.07232163928008399,0.07232163928008399,-0.057201209329037696,0.057201209329037696,1.0850065213272047,0.026311185001740678,5.03617614395926,1.0361761439592598,0.031809532497492105,-0.14719975705571461,0.14719975705571461,-0.1734886765419272,0.1734886765419272,0.7686846936392874,0.013084377067131489,4.885067204751695,0.885067204751695,0.02316784082601468,0.9556549818976346,80.07376098632812,-0.08757521550483989,0.08757521550483989,-0.08697150460768019,0.08697150460768019,1.027662136443874,0.01759346387606734,4.912471055975962,0.9124710559759617,0.02948270334551732,0.9508408097300008,79.90894317626953
hard_3mm_r2,median,1,84.00490439021377,0.1508987210224113,own,15,0.048067334154650136,0.721010012319752,-0.1553781992626586,0.1553781992626586,-0.1736440618851572,0.1736440618851572,0.8227472719419381,0.01616805161682098,4.097635540571982,0.0976355405719822,0.036390811618831426,-0.11407219683493823,0.11407219683493823,-0.11303418167122102,0.11303418167122102,0.9908630708008149,0.019079289740401253,4.175002638780492,0.17500263878049171,0.04216297074324555,-0.13762879895934785,0.13762879895934785,-0.153977187936114,0.153977187936114,0.8387985688770668,0.020315318321820645,4.843384382681186,0.8433843826811858,0.02399194085349639,0.9463883202698612,73.46017456054688,-0.09517155786002003,0.09517155786002003,-0.09265623113970631,0.09265623113970631,1.0057515449974008,0.02441911583423351,4.920961773599868,0.9209617735998679,0.026653424991915625,0.9448795503372813,73.2374496459961
medium_1mm_r1,own,1,88.61377550187014,0.25150033536832694,own,21,0.03984481633448582,0.8367411430242022,-0.13775384623791923,0.13775384623791923,-0.16265412852133654,0.16265412852133654,0.7969761815034404,0.018626359911702903,3.840845894302099,-0.15915410569790112,0.02740518893632624,-0.012294026205799483,0.014339922120065863,-0.0063201567527188945,0.009389000624118465,1.0611692289226191,0.004421920192928151,4.128682915634184,0.128682915634184,0.029988952601949375,-0.20862884166841053,0.20862884166841053,-0.252146132405934,0.252146132405934,0.6281916363491928,0.024571646929109087,4.454911302153403,0.4549113021534028,0.025279436260461807,0.9952049430508726,78.83049774169922,-0.11560149882024122,0.11560149882024122,-0.12061029311650714,0.12061029311650714,0.9842336307957353,0.016790021796714998,4.577709617119946,0.5777096171199458,0.03182343083123366,0.9972173736635922,78.9964599609375
medium_1mm_r2,own,1,77.90245944365033,0.16469734824123705,own,14,0.053219258289200155,0.7450696160488022,-0.11533616476146608,0.11533616476146608,-0.12364238065334347,0.12364238065334347,0.8997603310555452,0.019268356674241694,4.146927549869309,0.146927549869309,0.02281955412278573,-0.05431924082433444,0.05431924082433444,-0.03851353935253805,0.03851353935253805,1.0989428046166636,0.026489973172713167,4.285672110650932,0.2856721106509319,0.02466208663665586,-0.11735871839625565,0.11735871839625565,-0.1236164906595949,0.1236164906595949,0.9095691674449203,0.016038796439654147,4.695994795029553,0.6959947950295531,0.020761228787402313,0.9534416723685469,74.57783508300781,-0.05552787677052545,0.05552787677052545,-0.037926055637479195,0.037926055637479195,1.1065232513867278,0.02480929083909041,4.81202139276177,0.8120213927617703,0.022607179048160713,0.9400193483368594,74.53878784179688
medium_2mm_r2,borrowed,1,70.73606813554056,-0.055636181984315414,own,17,0.030927214683545652,0.5257626496202761,-0.045241060903178934,0.04741072922919739,-0.048519167039687894,0.05177366952871557,0.8408685532147554,0.04243897676280944,5.217485732532463,1.217485732532463,0.009514227082642416,-0.07180335913731715,0.07180335913731715,-0.08211889886249647,0.08211889886249647,0.7854221980315698,0.03764139131336146,5.17441357085705,1.17441357085705,0.009321294142864645,-0.03498495577128872,0.04928004029315678,-0.039635571829657906,0.06107819861246,0.7994235017106207,0.048760073288517794,5.844801586826928,1.8448015868269279,0.0071381482218081755,0.8432596382347933,74.32048034667969,-0.06258385152471209,0.06258385152471209,-0.07357181905923402,0.07357181905923402,0.7491587682869767,0.043699564096137546,5.822797782447925,1.8227977824479247,0.006999118796860178,0.8419461218127228,74.47589111328125
medium_3mm_r1,borrowed,1,85.064344714952,0.03939971936793896,own,9,0.06844068533166829,0.6159661679850146,-0.14882342310887373,0.14882342310887373,-0.16316493058613712,0.16316493058613712,0.8009683036968891,0.018657833003419493,3.888831930005741,-0.11116806999425899,0.019544181413948536,-0.13897038582770488,0.13897038582770488,-0.14845312217287,0.14845312217287,0.8433107233811896,0.020747518621443202,3.908298879199234,-0.09170112080076587,0.02010070046203004,-0.1388541912314274,0.1388541912314274,-0.15616249454325626,0.15616249454325626,0.7794672836713278,0.016695699694682188,4.71726698560053,0.7172669856005296,0.016260004912813503,0.9641267729132351,74.84593200683594,-0.12845317916591745,0.12845317916591745,-0.14127921846813152,0.14127921846813152,0.8181894391473543,0.018632515911142854,4.72429489016716,0.72429489016716,0.016677653106550377,0.9649553699575701,74.12405395507812
