sensor,hard,th,ppm,n_resolved,dip_175_max,dip_200_max,mtf_200_max,scale_source,mm_per_grey_level,um_per_level,cyl4_corrected_rms_after_linear,cyl4_corrected_bias_deep,hertz_a,Fmax_ladder,r_img_d05,r_img_F05,r_img_F02,depth_at_F05,img_slope_lvl_per_mm
hard_1mm_r1,hard,1,93.82314012650215,3,0.4619861333042726,0.5246507958070123,0.3556112643135189,own,0.0398988859036926,39.8988859036926,0.0207871850644425,-0.0143902974847351,2.1454485790662847,0.3544863405297945,1.1832372039986445,,1.0506452682617067,,8.12100656834216
hard_1mm_r2,hard,1,81.43887897119407,0,0.7022439028185561,0.6869326178414166,0.5231510790498438,own,0.0604869715918267,60.4869715918267,0.0504188216307783,0.0018807961202407,2.311473568698954,0.4422964153053584,0.9676943039881414,,0.6288128141730431,,3.584972263295387
hard_2mm_r1,hard,2,83.65845408788799,4,0.409703269041595,0.6180454466377152,0.4472255944553426,own,0.0458644514671512,45.8644514671512,0.024140555954248,-0.0124640514357361,2.6198806368083214,0.7058876781690856,1.4641633164387027,1.4338872277960315,0.667542411678898,0.48658556923780755,7.462398182746065
hard_2mm_r2,hard,2,85.91337826245143,3,0.2869367485729028,0.5886972776700369,0.4171304060819343,own,0.0436746887846732,43.6746887846732,0.0413252932636313,0.0511824329816515,2.4951256845323146,0.7714622909219969,1.4739139242165986,1.3154233573771303,0.6987797068849813,0.4367241948597097,7.364573110933696
hard_3mm_r1,hard,3,81.56297277303784,0,0.5812980482064629,0.699733908396253,0.5381467015979797,own,0.0605941486509585,60.5941486509585,0.0284428610511336,0.0027049058055193,2.7412024814543923,0.6781798964537671,2.178691771877494,2.005810508934223,1.2960242765082022,0.45612632656229035,1.513170234741551
hard_3mm_r2,hard,3,76.03385173953693,0,0.6166421757781491,0.6163075206023227,0.4454078704471979,own,0.0643866294283729,64.3866294283729,0.0747497146123704,-0.1359205858179718,2.766309688253409,0.6459170709806358,0.9376511512908969,0.9086627796130636,0.606339196161894,0.4899793134399288,1.7337156057815808
medium_1mm_r1,medium,1,88.61377550187014,3,0.1960782127734525,0.495049587593909,0.3289474413993691,own,0.0398448163344858,39.8448163344858,0.0044219201929281,-0.0063201567527188,2.0718731758974553,0.4872521346806565,1.4607764714648903,,1.1213025010388447,,9.331911349366091
medium_1mm_r2,medium,1,85.39899355327775,0,0.4488189454592152,0.5463320656518841,0.3758300315655526,borrowed,0.0532192582892001,53.2192582892001,0.0318177908904506,-0.0211084379439769,2.2567957267867667,0.4547549490180273,1.2677242268764677,,0.9784879024029682,,0.8556603494868151
medium_2mm_r2,medium,2,70.73606813554056,3,0.2988835938935693,0.4816133401903707,0.3171875471105324,borrowed,0.0309272146835456,30.9272146835456,0.0376413913133614,-0.0821188988624964,1.6738513354076783,0.1522036180158181,1.2933804730941096,,,,4.021083584022819
medium_3mm_r1,medium,3,82.22445172786455,0,0.7197580228845474,0.2496821158328154,0.1426495827365759,borrowed,0.0615966167985014,61.596616798501394,0.0228527682913046,-0.1510358373762347,1.3257000226829725,0.1702997707624348,0.8740421760696623,,,,0.04363969618036705
medium_3mm_r2,medium,3,79.90882791538165,1,0.6155735178311894,0.380555469153008,0.2349913577799247,borrowed,0.0490937996499608,49.0937996499608,0.039499740862761,-0.005670765927545,1.3631814010903514,0.271690022371061,1.066433119181605,,0.8725036507903858,,3.7196247924345576
soft_1mm_r1,soft,1,101.80915744549826,3,0.5792340080558382,0.4874634187790383,0.3222820689636109,own,0.063650420480006,63.650420480006005,0.030581084337633,-0.0733316766257404,2.1004793845941045,0.5033751178286593,0.7154664620371582,0.8684100521282762,0.33358720379463214,0.5804193789608241,3.0647683273613517
soft_1mm_r2,soft,1,95.89186752111016,2,0.5281492904140821,0.4698663477292284,0.3070753636663897,borrowed,0.0543560214263261,54.356021426326095,0.0050631261247349,-0.0974353597223434,2.0146668565152983,0.3755204357645169,1.1322439381090643,,0.8839040079101329,,8.839481315211295
soft_2mm_r1,soft,2,88.89310786324532,2,0.3686326334788363,0.4901705076212929,0.3246528896776541,own,0.0336794968449302,33.6794968449302,0.0200326655021825,0.0020433392293129,1.5340341221265161,0.3035446762438482,1.3299203354394116,,1.2721514517232138,,10.485856797198792
soft_2mm_r2,soft,2,76.39049752220043,3,0.5177612856474495,0.5513580357416258,0.3806033853395176,borrowed,0.0375766269581888,37.576626958188804,0.0298924972859688,-0.0495177369534509,1.4198317107493448,0.2068102979222601,1.5096657435277265,,1.6805791169068267,,5.7081072987456745
soft_3mm_r1,soft,3,79.74379326962428,1,0.2270803275282727,0.5304869312910419,0.3609950415460419,borrowed,0.0396713417411664,39.6713417411664,0.0305645507832693,-0.0470295811614616,1.0346763061228013,0.2008696741527245,1.2387562484893222,,1.4232170076303547,,5.960544506442527
soft_3mm_r2,soft,3,71.72628705535531,2,0.3948990693137235,0.5286320227175689,0.3592792767543679,borrowed,0.0419588679567674,41.9588679567674,0.0446026963950784,-0.0706429550319341,1.0218596317658004,0.1969827992887786,1.038639312733788,,,,3.789918053624085
