size,px,n,rms,bias,dia,sq,lev
1920×1080,84.00490439021377,17,0.0264899731727131,-0.0495177369534509,0.2569894369685599,0.9400193483368594,16.0
1280×720,56.003269593475785,17,0.0402567168704286,-0.0117090487167456,0.273021584925349,0.942741319741748,15.0
854×480,37.35009439974573,17,0.0487303896958417,0.0031641852174978,0.3077506349983743,0.9501496926944032,14.0
640×360,28.0016347967379,17,0.0586134014845657,0.0127680581127386,0.3084655930641391,0.94669099425702,14.0
426×240,18.65316664496636,17,0.059324873942096,0.0257957243701282,0.3025399788412084,0.9441855441877722,13.0
320×180,14.000817398368948,17,0.0595359348985683,0.0403492538909577,0.2835767533987443,0.9423596916282164,13.0
160×90,7.000408699184477,17,0.0579757203009165,0.0348853603083666,0.2120060120163645,0.9441556818870492,12.0
80×45,3.500204349592237,17,0.0497333838861298,-0.0239689021576869,-0.0405398441342126,0.9569444444444444,12.0
48×27,2.100122609755343,17,0.032450865663686,-0.1292237034707059,-0.4069045497615207,0.9629629629629628,11.0
32×18,1.4000817398368952,17,0.0177806773371466,-0.2669022672868306,0.1167004465757837,0.9444444444444444,11.0
16×9,0.7000408699184476,16,0.01155881085730145,-0.4834710678892976,351.5805844946447,1.0,5.5
8×5,0.3689539340246575,4,0.001985550197492875,-0.6217112421254282,578.1333032177237,,2.0
