sensor,r_ball8_0.5N,r_ball8_1.0N,r_ball8_2.0N,th,hard,n_resolved,dip_175_max,um_per_level,cyl4_corrected_rms_after_linear
hard_3mm_r1,,1.084250716720007,2.207859788268704,3,hard,1,0.6425218245692197,53.868825653933,0.0263111850017406
soft_1mm_r1,1.4942829001303077,1.798748550113485,2.339936990075865,1,soft,2,0.5792340080558382,63.650420480006005,0.030581084337633
soft_1mm_r2,1.9674572481770798,2.373298080817537,2.8620285697979257,1,soft,2,0.575361927991606,54.356021426326095,0.0149492053343595
soft_2mm_r1,1.7621241453577838,2.349809370191972,2.8087900394883634,2,soft,2,0.3686326334788363,33.6794968449302,0.0200326655021825
soft_2mm_r2,2.389972133853691,2.9857624056439116,3.581546721163473,2,soft,3,0.5177612856474495,37.5766269581888,0.0298924972859688
