unit,fz_best,fz_knee,fz_res_loss,sh_best,sh_knee,sh_res_loss,scale,px_full,bias_full,lev_full,depth_ok,dia_ok,fail_at,bias_80,bias_48,bias_32,lev_48,lev_16,r,n_resolved,dip_175_max,um_per_level,img_slope_lvl_per_mm
hard_1mm_r1,0.03661119937896724,16,0.04499996205170951,0.022797850271066,48,0.054789040237665204,own,93.82314012650215,-0.0143902974847351,18.0,48×27,80×45,없음,0.0631221257126932,-0.0869617116971209,-0.2224307671212549,15.0,11.0,8.0,3,0.4619861333042726,39.8988859036926,8.12100656834216
hard_1mm_r2,0.032491192842523164,854,0.05095737862090273,0.022937697047988537,48,0.058586337293187754,median,84.00490439021377,0.0162678573187931,13.0,80×45,80×45,8×5,-0.0445701106233651,-0.1408737139248108,-0.2588616738809402,11.0,6.0,7.0,0,0.7022439028185561,60.4869715918267,3.584972263295387
hard_2mm_r1,0.030775057772795298,80,0.06060012429952624,0.02654606290161603,32,0.0303309839218855,median,84.00490439021377,-0.0648034388724439,19.0,80×45,160×90,8×5,-0.0561578534447623,-0.1277915040556066,-0.3079628959823124,15.0,8.0,7.0,4,0.409703269041595,45.8644514671512,7.462398182746065
hard_2mm_r2,0.030267161627610503,48,0.10818900913000101,0.025239932661255137,48,0.034113499646385534,own,85.91337826245143,0.0511824329816515,19.0,1280×720,32×18,없음,0.0457032809777275,-0.0740185898916705,-0.1931575869398101,16.0,11.0,1.0,3,0.2869367485729028,43.6746887846732,7.364573110933696
hard_3mm_r1,0.03734188899397844,32,0.04843516275286681,0.0359975087145964,32,0.26394705598553025,median,84.00490439021377,-0.0572012093290376,15.0,48×27,—,없음,0.0630308971678526,-0.0178204018994856,-0.1242289172236808,11.0,6.0,8.0,0,0.5812980482064629,60.5941486509585,1.513170234741551
hard_3mm_r2,0.0390175133943557,48,0.06175206849972411,0.04094209646185234,48,0.09513641272981965,median,84.00490439021377,-0.113034181671221,15.0,—,48×27,8×5,-0.0254256406196742,-0.1292237034707059,-0.3640753726804047,11.0,4.0,-1.0,0,0.6166421757781491,64.3866294283729,1.7337156057815808
medium_1mm_r1,0.03912883748610813,160,0.06057586520910261,0.035252291709184626,32,0.06701579938332239,own,88.61377550187014,-0.0063201567527188,21.0,320×180,80×45,없음,0.1113426580035156,-0.0490375415480667,-0.2669022672868306,18.0,12.0,5.0,3,0.1960782127734525,39.8448163344858,9.331911349366091
medium_1mm_r2,0.038350534935792234,16,0.11905415852864581,0.04124587774276727,80,0.03152391687035563,own,77.90245944365033,-0.038513539352538,14.0,80×45,48×27,8×5,-0.0370009125456431,-0.1841331788584807,-0.3478207703382615,11.0,5.0,7.0,0,0.4488189454592152,53.2192582892001,0.8556603494868151
medium_2mm_r2,0.03439302742481227,80,0.04436752200126646,0.04332791144649184,80,0.024137341727813094,borrowed,70.73606813554056,-0.0821188988624964,17.0,80×45,—,8×5,-0.0268005284010325,-0.2026306144733185,-0.2767693812488471,12.0,5.0,7.0,3,0.2988835938935693,30.9272146835456,4.021083584022819
medium_3mm_r1,0.03545538087685896,16,0.03118098651369417,0.043458799521128265,32,0.0553851972023646,borrowed,85.064344714952,-0.14845312217287,9.0,—,80×45,16×9,-0.1208162116945959,-0.2300259950698591,-0.3957900047274855,7.0,,-1.0,0,0.7197580228845474,61.596616798501394,0.043639696180367
medium_3mm_r2,0.038093488663434934,16,0.0859853265186151,0.039209989209969764,48,0.0845576400558154,own,71.4901689940954,-0.0144276332270223,16.0,80×45,—,8×5,0.0601806989400467,-0.1007992127449431,-0.2275338122160353,11.0,4.0,7.0,1,0.6155735178311894,49.0937996499608,3.7196247924345576
soft_1mm_r1,0.03844680140415823,48,0.04531379540761311,0.0398696102201938,48,0.014282797773679107,own,101.80915744549826,-0.0733316766257404,12.0,80×45,160×90,8×5,-0.0626188146109699,-0.166168440335524,-0.3254282020191669,9.0,4.0,7.0,3,0.5792340080558382,63.650420480006005,3.064768327361352
soft_1mm_r2,0.05134201546510057,16,0.027579973141352333,0.058179038266340834,80,0.03907043735186257,median,84.00490439021377,-0.1201768749117526,14.0,—,—,8×5,-0.0961859979390773,-0.2045439024179849,-0.3218066355868849,11.0,5.0,-1.0,2,0.5281492904140821,54.356021426326095,8.839481315211295
soft_2mm_r1,0.03366762834290657,16,0.03185704536736013,0.031794299681981365,48,0.019332117090622568,own,88.89310786324532,0.0020433392293129,23.0,80×45,80×45,8×5,0.0229063159393145,-0.1008963236046955,-0.2598262365990009,19.0,11.0,7.0,2,0.3686326334788363,33.6794968449302,10.485856797198792
soft_2mm_r2,0.030658898875117233,16,0.06663871494432297,0.03313710230092203,48,0.02840026281774044,borrowed,76.39049752220043,-0.0495177369534509,18.0,80×45,—,8×5,0.0352844907622002,-0.1554107515731987,-0.2119815559406615,14.0,7.0,7.0,3,0.5177612856474495,37.5766269581888,5.7081072987456745
soft_3mm_r1,0.034491091966628966,320,0.04171163837114971,0.051500850667556074,80,0.03213844324151673,borrowed,82.40670410350971,-0.0465726445040329,16.0,48×27,1280×720,8×5,0.0074472983756438,-0.0766595952134553,-0.2258153100730204,12.0,5.0,8.0,1,0.2270803275282727,39.6713417411664,5.960544506442527
soft_3mm_r2,0.03430414820710817,32,0.055632552752892125,0.03883534297347063,80,0.0557068573931853,borrowed,71.72628705535531,-0.0706429550319341,15.0,80×45,—,8×5,-0.0239689021576869,-0.1816360323895442,-0.2882725007106292,10.0,5.0,7.0,2,0.3948990693137235,41.9588679567674,3.789918053624085
