gap,sensor,th,hard,depth,dip,sd,peak,sym,mtf,ok
2.0,hard_1mm_r1,1,hard,0.1,0.7235345425995874,0.1818550365840475,0.6225317716598511,0.5385558297746216,0.5668265744324195,False
2.0,hard_1mm_r1,1,hard,0.2,0.6841788006011618,0.2082890049520096,0.547778844833374,0.4874987202779582,0.519963351338118,False
2.0,hard_1mm_r1,1,hard,0.3,0.8407567891183668,0.0702681810188593,1.0015583038330078,0.7827304563803533,0.7252635005547717,False
2.0,hard_1mm_r2,1,hard,0.1,0.6378185470716363,0.114295594776619,1.4400814771652222,0.9175920358496752,0.468233175323654,False
2.0,hard_1mm_r2,1,hard,0.2,0.5815918804856917,0.0958125564204499,1.8509200811386108,0.697202584868304,0.4100314094964716,False
2.0,hard_1mm_r2,1,hard,0.3,0.3430179572004861,0.0861180238808519,2.759169340133667,0.9056197309495644,0.2070136841199247,True
2.0,hard_2mm_r1,2,hard,0.1,0.5143797538496513,0.1717334791132011,0.9061346054077148,0.5121281302646911,0.3462390575132177,False
2.0,hard_2mm_r1,2,hard,0.2,0.2114198289326424,0.100851568541451,1.993760347366333,0.7771433472961528,0.1182053968575951,False
2.0,hard_2mm_r1,2,hard,0.3,0.6087497292389061,0.0530652443776291,4.620684146881104,0.9591255914809912,0.4375558747642759,True
2.0,hard_2mm_r2,2,hard,0.1,0.2085759978468545,0.1145806004961407,2.366972208023072,0.8246620254962567,0.1164302798199438,False
2.0,hard_2mm_r2,2,hard,0.2,0.5886972776700369,0.0540005430607573,4.631083011627197,0.9485406548467348,0.4171304060819343,True
2.0,hard_2mm_r2,2,hard,0.3,0.5780255978726749,0.0501824947405727,6.893738269805908,0.9587183036517752,0.4064950796638306,True
2.0,hard_3mm_r1,3,hard,0.1,0.6093365942149764,0.1939143071479468,0.6222431659698486,0.563291174073917,0.4381625285314878,False
2.0,hard_3mm_r1,3,hard,0.2,0.697361624488545,0.1330891389237172,1.0463780164718628,0.883017600385332,0.5353455245894625,False
2.0,hard_3mm_r1,3,hard,0.3,0.4133855757118455,0.1187274719769831,1.4955095052719116,0.9065379959243072,0.2605457062432253,False
2.0,hard_3mm_r2,3,hard,0.1,0.3623502516083919,0.139657825458519,1.3188390731811523,0.6388562239378155,0.221262362091936,False
2.0,hard_3mm_r2,3,hard,0.2,0.3680903356734588,0.1235976994360122,1.5118900537490845,0.6082847454817687,0.2255580340749823,False
2.0,hard_3mm_r2,3,hard,0.3,0.2502768993308297,0.0974015213675668,2.1971328258514404,0.4986226987896631,0.1430380036904771,False
2.0,medium_1mm_r1,1,medium,0.1,0.1185926229650834,0.0577574398881322,4.384269714355469,0.8266407161424056,0.0630339948767419,False
2.0,medium_1mm_r1,1,medium,0.2,0.2994034983542245,0.0370011739751297,6.481929779052734,0.9025135298101984,0.1760579291233827,True
2.0,medium_1mm_r1,1,medium,0.3,0.495049587593909,0.0236610121894789,8.797538757324219,0.8910059081411498,0.3289474413993691,True
2.0,medium_1mm_r2,1,medium,0.1,0.4084927039240014,0.0968076583423865,2.081860065460205,0.7340420872628652,0.2566703306552073,False
2.0,medium_1mm_r2,1,medium,0.2,0.4083153835224633,0.1154544178347838,1.988502740859985,0.6028163958779958,0.256530332262733,False
2.0,medium_1mm_r2,1,medium,0.3,0.5773918631838124,0.1080047911845558,1.988301157951355,0.4512325171561691,0.405868522920178,False
2.0,medium_2mm_r2,2,medium,0.1,0.274,0.147,1.52,0.63,0.159,False
2.0,medium_2mm_r2,2,medium,0.2,0.366,0.067,4.17,0.92,0.224,True
2.0,medium_2mm_r2,2,medium,0.3,0.482,0.044,6.89,0.95,0.317,True
2.0,medium_3mm_r1,3,medium,0.1,0.2441962425155861,0.1367002653681202,1.315187692642212,0.4977751568886396,0.1390794623115811,False
2.0,medium_3mm_r1,3,medium,0.2,0.0818882603820879,0.109672015925389,1.9705936908721924,0.6444545148826721,0.042692121992017,False
2.0,medium_3mm_r1,3,medium,0.3,-0.2019248042797656,0.0982718658112535,2.501704931259156,0.7269569895952056,-0.0917037693055162,False
2.0,medium_3mm_r2,3,medium,0.1,0.2979757882885872,0.1592728446502385,1.12269389629364,0.5089908297935402,0.1750714156932983,False
2.0,medium_3mm_r2,3,medium,0.2,0.5432199940727526,0.0887405131582876,2.187390089035034,0.6878125567424542,0.3728908907745411,False
2.0,medium_3mm_r2,3,medium,0.3,0.1449757652816512,0.0651074337893144,3.417438268661499,0.6904635629519587,0.0781530303315218,False
2.0,soft_1mm_r1,1,soft,0.1,0.681269828204152,0.109387720982119,0.9558311104774476,0.9265810835187996,0.5166104808813149,False
2.0,soft_1mm_r1,1,soft,0.2,0.3829224977042804,0.1707515195016404,0.6183179616928101,0.7910370243449115,0.2367991003280029,False
2.0,soft_1mm_r1,1,soft,0.3,0.757067898374413,0.1047890140774007,1.216933012008667,0.9257134887510164,0.6090983549175941,False
2.0,soft_1mm_r2,1,soft,0.1,0.3671698236082167,0.1015487821633284,2.0501708984375,0.6988183369273672,0.2248671226909745,False
2.0,soft_1mm_r2,1,soft,0.2,0.137637652813199,0.1063827924996219,2.390415668487549,0.5071884147648696,0.0739048730345672,False
2.0,soft_1mm_r2,1,soft,0.3,0.4940837220554638,0.0511196066138772,4.383536338806152,0.6528706712068439,0.3280950802456637,True
2.0,soft_2mm_r1,2,soft,0.1,0.3836520166498836,0.0804374107711348,3.284156560897827,0.9506268936968052,0.2373573145151014,True
2.0,soft_2mm_r1,2,soft,0.2,0.4901705076212929,0.0416220555596102,6.379712104797363,0.9983638720014518,0.3246528896776541,True
2.0,soft_2mm_r1,2,soft,0.3,0.4281238302795149,0.0375059024176749,7.814150810241699,0.9163731190332158,0.2723648583308219,True
2.0,soft_2mm_r2,2,soft,0.1,0.5513580357416258,0.0439926877234511,7.085392475128174,0.8988897709592656,0.3806033853395176,True
2.0,soft_2mm_r2,2,soft,0.2,0.5022403871792414,0.0421693495366384,8.397907257080078,0.8877735905361619,0.3353277674735552,True
2.0,soft_2mm_r2,2,soft,0.3,0.3660186308741793,0.0359239875471096,10.26418685913086,0.9729611964693162,0.2240041641784441,True
2.0,soft_3mm_r1,3,soft,0.1,0.529928020645314,0.1473539845631749,1.3216814994812012,0.5490288631819749,0.3604776011566013,False
2.0,soft_3mm_r1,3,soft,0.2,0.1278686079114596,0.1025667379876663,2.01220703125,0.5004040676898462,0.0683010863723672,False
2.0,soft_3mm_r1,3,soft,0.3,0.3005997119033347,0.0624569159151293,4.075258731842041,0.6595635881789343,0.1768857602348693,True
2.0,soft_3mm_r2,3,soft,0.1,0.5286320227175689,0.1174300265718123,1.3644627332687378,0.4799637010442764,0.3592792767543679,False
2.0,soft_3mm_r2,3,soft,0.2,0.4536855222972642,0.071026290006543,3.0687594413757324,0.7156677362224907,0.2933979658337525,True
2.0,soft_3mm_r2,3,soft,0.3,0.2948493697884253,0.0501723431045635,5.4232988357543945,0.9075670230948584,0.1729169051486322,True
1.75,hard_1mm_r1,1,hard,0.1,0.2467018638674578,0.0773916463459631,2.7170138359069824,0.686760158037044,0.140707309717238,False
1.75,hard_1mm_r1,1,hard,0.2,-0.0440844972315426,0.0625647763247755,3.2174301147460938,0.6558773598064865,-0.0215668663850489,False
1.75,hard_1mm_r1,1,hard,0.3,-0.2882077774741138,0.0605810113201693,3.902144193649292,0.6581456954068474,-0.125953499639031,False
1.75,hard_1mm_r2,1,hard,0.1,0.6898527974986572,0.1130235525257714,1.5305500030517578,0.8527360719723106,0.5265460218375349,False
1.75,hard_1mm_r2,1,hard,0.2,0.0511581236713664,0.1164348303302273,2.079784393310547,0.545707267621987,0.0262505256546219,False
1.75,hard_1mm_r2,1,hard,0.3,0.1270597595291301,0.0597177617470861,4.387790203094482,0.8875261369343396,0.0678397296313023,False
1.75,hard_2mm_r1,2,hard,0.1,0.257361200965261,0.1142271786941126,1.81223213672638,0.8522860360271972,0.1476847646843485,False
1.75,hard_2mm_r1,2,hard,0.2,0.3271893880625078,0.0915202739849206,2.721187114715576,0.751107182767796,0.1955926066750309,True
1.75,hard_2mm_r1,2,hard,0.3,0.2988543638557321,0.0625744069376282,5.070605278015137,0.92746600966764,0.1756782943834841,True
1.75,hard_2mm_r2,2,hard,0.1,-0.8166383109467199,0.201317077682773,1.8743823766708367,0.4215439366094498,-0.2899336800798658,False
1.75,hard_2mm_r2,2,hard,0.2,0.0072683325253453,0.0559764115813907,5.357612133026123,0.875683579372677,0.0036474215991941,False
1.75,hard_2mm_r2,2,hard,0.3,0.2869367485729028,0.0343737670006551,8.121216773986816,0.9034110113346046,0.1674992142490157,True
1.75,hard_3mm_r1,3,hard,0.1,0.519112159103136,0.1195719604829891,1.4347690343856812,0.7246079146806355,0.3505411718342884,False
1.75,hard_3mm_r1,3,hard,0.2,0.6425218245692197,0.0955256788118552,2.0977425575256348,0.8375451407870911,0.4733201875347446,False
1.75,hard_3mm_r1,3,hard,0.3,0.293029042418488,0.0958911068693289,2.595426559448242,0.7596511245808087,0.1716660972566636,True
1.75,hard_3mm_r2,3,hard,0.1,0.6275101587658669,0.1100835929488409,1.6035069227218628,0.903660697592505,0.4572056855456316,False
1.75,hard_3mm_r2,3,hard,0.2,0.2031731917884163,0.1098215665384785,1.6404505968093872,0.6038445596318738,0.1130733306403851,False
1.75,hard_3mm_r2,3,hard,0.3,0.1942400473339716,0.0849933823652742,2.901279926300049,0.5774705595055891,0.1075669260729783,False
1.75,medium_1mm_r1,1,medium,0.1,0.065181007000984,0.0669021182583748,3.9335238933563232,0.606924043681593,0.0336884262749312,False
1.75,medium_1mm_r1,1,medium,0.2,0.1583934602354276,0.0456995809240809,5.86481237411499,0.6160104684791676,0.086008306777449,False
1.75,medium_1mm_r1,1,medium,0.3,0.1960782127734525,0.0374419420311882,7.656046867370605,0.6956174425405628,0.1086955178222634,False
1.75,medium_1mm_r2,1,medium,0.1,0.0650242754405745,0.1200708376426244,2.0244832038879395,0.3954140288029755,0.0336046982994476,False
1.75,medium_1mm_r2,1,medium,0.2,0.2984173059670826,0.1165217831207687,1.896336436271668,0.4569279478669277,0.1753763170097859,False
1.75,medium_1mm_r2,1,medium,0.3,0.5644979582993543,0.1207801155939312,1.9301657676696773,0.7635355714476227,0.3932407909574208,False
1.75,medium_2mm_r2,2,medium,0.1,0.079,0.118,2.15,0.58,0.041,False
1.75,medium_2mm_r2,2,medium,0.2,0.299,0.057,5.53,0.91,0.176,True
1.75,medium_2mm_r2,2,medium,0.3,0.252,0.041,8.0,0.94,0.144,False
1.75,medium_3mm_r1,3,medium,0.1,0.7112404876390974,0.1371295199043004,1.0382795333862305,0.9245063736202148,0.5518799130616407,False
1.75,medium_3mm_r1,3,medium,0.2,0.6699262746275738,0.1168170559936433,1.379797101020813,0.6985648991111697,0.5036760458071539,False
1.75,medium_3mm_r1,3,medium,0.3,0.2578974316494501,0.1308225373150251,1.3988099098205566,0.5267847434612672,0.1480380296400294,False
1.75,medium_3mm_r2,3,medium,0.1,0.6723534596806486,0.1117143481820943,1.4715591669082642,0.8968053623794342,0.5064250455689215,False
1.75,medium_3mm_r2,3,medium,0.2,0.130632702938492,0.103813792452744,2.1299757957458496,0.7050818761667323,0.0698807040991012,False
1.75,medium_3mm_r2,3,medium,0.3,0.2833734970676267,0.0675089989838133,3.976538419723511,0.8952383237410404,0.1650758022106514,True
1.75,soft_1mm_r1,1,soft,0.1,0.2451552072445616,0.1197367840193257,1.2148795127868652,0.5477592237852295,0.1397019316218966,False
1.75,soft_1mm_r1,1,soft,0.2,0.4912596843480977,0.0425901949868309,4.272066593170166,0.9935774151427634,0.3256091716060708,True
1.75,soft_1mm_r1,1,soft,0.3,0.5792340080558382,0.0296779176108935,6.091279029846191,0.978954866500804,0.4076913519468609,True
1.75,soft_1mm_r2,1,soft,0.1,0.575361927991606,0.1157698910291807,1.8759765625,0.6553589083037447,0.4038653320421833,False
1.75,soft_1mm_r2,1,soft,0.2,0.3065535224826238,0.0603172285075661,3.713747262954712,0.9378120203045294,0.1810234492512789,True
1.75,soft_1mm_r2,1,soft,0.3,0.5485677337144538,0.0388757055095327,5.437979221343994,0.8818310134909849,0.3779492481025854,True
1.75,soft_2mm_r1,2,soft,0.1,0.2196645170765889,0.1455231395256148,1.6168231964111328,0.6371647225547518,0.1233837774866383,False
1.75,soft_2mm_r1,2,soft,0.2,0.296166135320563,0.0795697514882355,3.354830741882324,0.8466368112326709,0.1738233647423625,True
1.75,soft_2mm_r1,2,soft,0.3,0.3686326334788363,0.0487647888579017,6.443886280059815,0.994578608883242,0.2259654330740556,True
1.75,soft_2mm_r2,2,soft,0.1,0.5177612856474495,0.0925369603687558,2.168861389160156,0.9374560995637162,0.3493103240618096,False
1.75,soft_2mm_r2,2,soft,0.2,0.0677579829546584,0.1022008375546557,3.1771628856658936,0.9131283536566146,0.0350670269857134,False
1.75,soft_2mm_r2,2,soft,0.3,0.3283162790223832,0.0497418270733352,6.17834997177124,0.96193883296381,0.1963985620619555,True
1.75,soft_3mm_r1,3,soft,0.1,0.1915652750071836,0.1150630769101972,1.751123547554016,0.6052598290775782,0.1059287749564445,False
1.75,soft_3mm_r1,3,soft,0.2,0.166880467484539,0.0779417147667252,3.2686712741851807,0.7667782006771012,0.0910363260684591,False
1.75,soft_3mm_r1,3,soft,0.3,0.2163269463104721,0.05500617721657,5.412322521209717,0.8233592805453651,0.1212817258538496,False
1.75,soft_3mm_r2,3,soft,0.1,0.3948990693137235,0.1490556885346032,1.516184687614441,0.4997428728753909,0.2460275623570167,False
1.75,soft_3mm_r2,3,soft,0.2,0.2391059537400497,0.0620420929115112,3.8112998008728014,0.8615457232149729,0.135786678504535,False
1.75,soft_3mm_r2,3,soft,0.3,0.1958901812864253,0.0448902161435946,5.830316543579102,0.8113192648728418,0.1085799651742405,False
1.5,hard_1mm_r1,1,hard,0.1,0.3703077239287912,0.0759759189197721,2.3686752319335938,0.6568296153217825,0.227225550102939,False
1.5,hard_1mm_r1,1,hard,0.2,-0.1158291455992617,0.0688476745532657,3.24103045463562,0.6218540801510689,-0.0547440920927742,False
1.5,hard_1mm_r1,1,hard,0.3,-0.0228029188737599,0.0498543136531438,5.256707668304443,0.8605967282989262,-0.0112729315649079,False
1.5,hard_1mm_r2,1,hard,0.1,0.5924264262447377,0.1255533380861852,1.221601963043213,0.8909799532684034,0.4208848740064114,False
1.5,hard_1mm_r2,1,hard,0.2,0.6222397066222485,0.0990111764190247,1.6504952907562256,0.8829256229167767,0.4516313248487877,False
1.5,hard_1mm_r2,1,hard,0.3,0.0735498619247493,0.0978948305553175,2.466805458068848,0.712178444321846,0.0381789595645772,False
1.5,hard_2mm_r1,2,hard,0.1,0.5671648929914339,0.0950211626458368,2.1832826137542725,0.8001058087796823,0.3958340287847533,False
1.5,hard_2mm_r1,2,hard,0.2,0.3918573371182473,0.0756125408888493,3.3049702644348145,0.7281036052711527,0.2436707551903687,True
1.5,hard_2mm_r1,2,hard,0.3,0.3025218584596855,0.0509609922677823,5.34314489364624,0.9104906843078268,0.1782184118053933,True
1.5,hard_2mm_r2,2,hard,0.1,0.6740319065007717,0.0954370310772202,2.021153450012207,0.8933274728906226,0.5083319197538172,False
1.5,hard_2mm_r2,2,hard,0.2,0.0836657505474649,0.0677735689183509,3.246946096420288,0.9049276027564562,0.0436592679859303,False
1.5,hard_2mm_r2,2,hard,0.3,0.265997461556601,0.046371705060164,6.367613315582275,0.8651283486517286,0.1534008489949414,True
1.5,hard_3mm_r1,3,hard,0.1,0.5940367967639077,0.1046040669121082,1.5962685346603394,0.8174795397684923,0.422512335597844,False
1.5,hard_3mm_r1,3,hard,0.2,0.1186927700880036,0.1468644505914937,1.4876708984375,0.4884233438990525,0.0630905830801255,False
1.5,hard_3mm_r1,3,hard,0.3,-0.0189497269428542,0.1277934425238024,1.9281232357025144,0.4846854074429942,-0.0093859330373463,False
1.5,hard_3mm_r2,3,hard,0.1,0.635406835218218,0.1236863666545944,1.3421194553375244,0.6649695302167543,0.4656382954401128,False
1.5,hard_3mm_r2,3,hard,0.2,0.4636166433756915,0.1188648280811969,1.4468470811843872,0.5384403293327581,0.3017584389838321,False
1.5,hard_3mm_r2,3,hard,0.3,0.2386213401798892,0.1056535313629315,1.940438270568848,0.5084069868021255,0.1354741860016968,False
1.5,medium_1mm_r1,1,medium,0.1,0.3100742600638115,0.0715656025824861,3.702291250228882,0.7078673868358342,0.1834839559728346,True
1.5,medium_1mm_r1,1,medium,0.2,-0.208524496442541,0.0786486092487614,3.9484784603118896,0.4737564390478002,-0.0944180138270729,False
1.5,medium_1mm_r1,1,medium,0.3,-0.1464801702205513,0.0518041901781323,6.11958646774292,0.6327101564310259,-0.068242032818547,False
1.5,medium_1mm_r2,1,medium,0.1,0.0565870640065787,0.0728281516127853,3.738853454589844,0.5761096122308629,0.0291173651047315,False
1.5,medium_1mm_r2,1,medium,0.2,0.2145907005785875,0.107653140667341,2.4227654933929443,0.3732784139029896,0.120191320078891,False
1.5,medium_1mm_r2,1,medium,0.3,0.394213346432123,0.1436598604292599,1.503692626953125,0.4619720794106804,0.2454954682530369,False
1.5,medium_2mm_r2,2,medium,0.1,0.22,0.059,4.82,0.82,0.123,False
1.5,medium_2mm_r2,2,medium,0.2,0.23,0.033,8.23,1.0,0.13,False
1.5,medium_2mm_r2,2,medium,0.3,0.251,0.03,10.55,0.96,0.143,False
1.5,medium_3mm_r1,3,medium,0.1,0.2066991111157655,0.1902440053829492,0.819580078125,0.4192112131506913,0.1152618126701374,False
1.5,medium_3mm_r1,3,medium,0.2,0.263568712930827,0.1118284107943853,1.4050898551940918,0.5065339854741495,0.1517875857763944,False
1.5,medium_3mm_r1,3,medium,0.3,0.0229611290135386,0.0809387618955206,2.4486751556396484,0.6709528521556064,0.0116138986190402,False
1.5,medium_3mm_r2,3,medium,0.1,0.7607949575068053,0.1356451406232205,1.1708507537841797,0.9506077882257636,0.6139379129511436,False
1.5,medium_3mm_r2,3,medium,0.2,0.3595603494429288,0.1048249614019635,1.868811011314392,0.7018813905600859,0.2191853563895673,False
1.5,medium_3mm_r2,3,medium,0.3,0.1768148164860395,0.0716057872964765,3.360458850860596,0.8511379666980496,0.0969812710660862,False
1.5,soft_1mm_r1,1,soft,0.1,0.1058673431751858,0.0780810185846602,2.181652307510376,0.6238598917871712,0.0558922537942269,False
