sensor,width_px,height_px,split,seed,fz_mae,fz_rmse,fz_mae_baseline,fz_r2,lat_mae,lat_mae_baseline,lat_r2,lat_mae_shear,fz_mae_normal,n_test_shear,n_test_normal,norm,n_train,n_val,n_test,fz_range,tx_mae,ty_mae,tz_mae,epochs,epochs_run,best_epoch,train_loss,val_loss,batch,micro_batch,accum,seconds
hard_1mm_r1,854,480,cycle,0,0.039974529296159744,0.04709266871213913,0.19011549651622772,0.9784153699874878,0.02070462517440319,0.12971888482570648,0.9725617170333862,0.020932864397764206,0.043013423681259155,119,55,none,595,231,174,1.9910300970077515,0.0003826283209491521,0.0003836023388430476,0.00011473576159914955,30,30,29,0.16063505781798804,0.22635909282799924,64,24,3,91.9
hard_1mm_r1,854,480,cycle,1,0.03811775520443916,0.047792382538318634,0.19011549651622772,0.9777691960334778,0.02539747580885887,0.12971888482570648,0.957748293876648,0.023333793506026268,0.051558926701545715,119,55,none,595,231,174,1.9910300970077515,0.0006299033993855119,0.0004476445901673287,0.00011369592539267614,30,30,26,0.1734933572656968,0.23530110239466548,64,24,3,100.6
hard_1mm_r1,854,480,cycle,2,0.07767698913812637,0.08757432550191879,0.19011549651622772,0.9253565669059753,0.025437558069825172,0.12971888482570648,0.9588050842285156,0.027768772095441818,0.08984927833080292,119,55,none,595,231,174,1.9910300970077515,0.0005164468311704695,0.0005386791890487075,9.863255399977788e-05,30,30,28,0.18189638081718892,0.2597206454256396,64,24,3,97.4
hard_1mm_r1,640,360,cycle,0,0.037111423909664154,0.044143885374069214,0.19011549651622772,0.9810338616371155,0.02238839492201805,0.12971888482570648,0.9685148000717163,0.023613711819052696,0.04540280997753143,119,55,none,595,231,174,1.9910300970077515,0.0004737147537525743,0.0006275356281548738,0.0001290398940909654,30,30,27,0.18353928798387031,0.24093793480943293,64,44,1,54.1
hard_1mm_r1,640,360,cycle,1,0.029591239988803864,0.03491659089922905,0.19011549651622772,0.9881340861320496,0.021103229373693466,0.12971888482570648,0.9699352383613586,0.024119611829519272,0.025892138481140137,119,55,none,595,231,174,1.9910300970077515,0.0004803152405656874,0.0004587591683957726,0.00010378738079452887,30,30,29,0.13518728488633613,0.2058565327615449,64,44,1,53.4
hard_1mm_r1,640,360,cycle,2,0.056365594267845154,0.06586813181638718,0.19011549651622772,0.9577731490135193,0.022529996931552887,0.12971888482570648,0.965090274810791,0.024846268817782402,0.038538649678230286,119,55,none,595,231,174,1.9910300970077515,0.000761986302677542,0.0004934580065310001,0.00010885438678087667,30,30,27,0.1612924595840839,0.23506447969577013,64,44,1,53.4
hard_1mm_r1,426,240,cycle,0,0.05119446665048599,0.05847571790218353,0.19011549651622772,0.9667195677757263,0.02400340512394905,0.12971888482570648,0.961283802986145,0.021549882367253304,0.04000469669699669,119,55,none,595,231,174,1.9910300970077515,0.0004715482355095446,0.00045870745088905096,0.00010180995741393417,30,30,29,0.14477430231430952,0.2226261700386609,64,64,1,25.1
hard_1mm_r1,426,240,cycle,1,0.02825363725423813,0.036003295332193375,0.19011549651622772,0.9873839616775513,0.025104116648435593,0.12971888482570648,0.9587410688400269,0.026740793138742447,0.032972902059555054,119,55,none,595,231,174,1.9910300970077515,0.0007430209661833942,0.00056329375365749,0.00010419571481179446,30,30,30,0.13710425240652901,0.23354044001855892,64,64,1,24.4
hard_1mm_r1,426,240,cycle,2,0.030621808022260666,0.040371935814619064,0.19011549651622772,0.9841365814208984,0.029802465811371803,0.12971888482570648,0.9380851984024048,0.026769589632749557,0.04166853800415993,119,55,none,595,231,174,1.9910300970077515,0.0006026782793924212,0.0006434971000999212,0.00012601245543919504,30,30,23,0.14983716371680508,0.24617136918105087,64,64,1,24.6
hard_1mm_r1,320,180,cycle,0,0.035817161202430725,0.04503289610147476,0.19011549651622772,0.9802622199058533,0.023239966481924057,0.12971888482570648,0.962474524974823,0.020877016708254814,0.028750138357281685,119,55,none,595,231,174,1.9910300970077515,0.0005965663003735244,0.0006069386727176607,0.00012595178850460798,30,30,26,0.185891056862198,0.24489016347117237,64,64,1,15.7
hard_1mm_r1,320,180,cycle,1,0.06113338842988014,0.0704871267080307,0.19011549651622772,0.951643168926239,0.022727258503437042,0.12971888482570648,0.9630607962608337,0.025518376380205154,0.07056925445795059,119,55,none,595,231,174,1.9910300970077515,0.0007903206860646605,0.00042606089846231043,0.00010656747326720506,30,30,30,0.14878072979069557,0.2471999048670649,64,64,1,13.6
