sensor,n_train,n_test,fx_mae,fy_mae,fz_mae,fz_r2,fz_mae_baseline,lat_mae
hard_1mm_r1,933,67,0.07594812761730944,0.029494497167956428,0.06792855752634935,0.9725173668527604,0.41869986057281494,0.05272131239263293
hard_1mm_r2,916,84,0.07411090930021058,0.062404649349711,0.06109383894106318,0.970343053223932,0.30318084359169006,0.0682577793249608
hard_2mm_r1,873,127,0.08102440927188707,0.1026575415262149,0.07251098354971552,0.9057062837792503,0.22909671068191528,0.09184097539905098
hard_2mm_r2,892,108,0.12283534175532743,0.0888213267785448,0.051693052954062464,0.9583069668234045,0.25353434681892395,0.10582833426693611
hard_3mm_r1,845,155,0.07200124809873784,0.05817162448710913,0.1008233950773281,0.9175094067208674,0.3619006872177124,0.06508643629292349
hard_3mm_r2,891,109,0.09208866837277704,0.23188844374444323,0.06634170245248451,0.9521253379255455,0.3359476923942566,0.16198855605861012
medium_1mm_r1,891,109,0.11130218732059582,0.09032708235478777,0.08167386441515795,0.9031071983694352,0.23985648155212402,0.10081463483769179
medium_1mm_r2,839,161,0.0629137261396334,0.058561699358529305,0.08238590239669842,0.9403513530266738,0.3431377112865448,0.06073771274908135
medium_2mm_r2,911,89,0.08796846459299074,0.08598221482924728,0.09765407779038364,0.918672361129062,0.2868969440460205,0.08697533971111901
medium_3mm_r1,888,112,0.09530204510752556,0.0723003232706523,0.09422863607375051,0.9114331429105754,0.3183075487613678,0.08380118418908894
medium_3mm_r2,881,119,0.073561561727265,0.06595694652823113,0.12155300831734514,0.8826249334997618,0.31171202659606934,0.06975925412774805
soft_1mm_r1,915,85,0.07933127076479018,0.06756760122779165,0.06728871910589714,0.9379363236177595,0.24812646210193634,0.07344943599629092
soft_1mm_r2,927,73,0.07744876684363294,0.06600318802435262,0.08001935486234286,0.9542579312220826,0.37286221981048584,0.07172597743399278
soft_2mm_r1,899,101,0.08166238000411666,0.08089110917156614,0.07361877004598286,0.95725167939889,0.3079378604888916,0.0812767445878414
soft_2mm_r2,890,110,0.054393978426711426,0.05265269418181084,0.07577054342011182,0.9533538336347026,0.322250097990036,0.053523336304261135
soft_3mm_r1,882,118,0.11511478161821782,0.0608959382173319,0.09695405250940145,0.9339917648570891,0.33401191234588623,0.08800535991777486
soft_3mm_r2,886,114,0.1210428629695395,0.06866679375087097,0.08469207161723066,0.9256830028601757,0.25386834144592285,0.09485482836020523
