probe,ix,iy,x_mm,y_mm,img_x_px,img_y_px,target_depth_mm,depth_mm,surface_offset_mm,force_wanted_N,force_N,file,t_img,Fx,Fy,Fz,tcp_x,tcp_y,tcp_z,area_px,radius_px,centroid_px,diff_level
ball4,0,0,-6.151266949169072,-0.7285005360374748,454.73571368985773,314.835252383691,0.15,0.03630880082963017,-0.13972344069045692,0.05105529916590825,0.054824615897456394,ball4_x-6.15_y-0.73_d0.15.png,1789048560.2962558,-0.0020480630773093366,0.005312747847270138,-0.054824615897456394,32.95835494995117,359.045196533203,37.53245544433593,0,0.0,None,12
ball4,0,0,-6.151266949169072,-0.7285005360374748,454.73571368985773,314.835252383691,0.3,0.1818045929304759,-0.13972344069045692,0.171417050105059,0.14855625141859435,ball4_x-6.15_y-0.73_d0.30.png,1789048561.664307,-0.0007952885703467416,0.018956755877323594,-0.14855625141859435,32.95473861694336,359.0541381835937,37.38819885253906,0,0.0,None,12
ball4,1,0,-3.240393480439308,-2.131197779346362,707.3678568449288,314.835252383691,0.15,0.15712749136206838,-0.052414413852924446,0.05105529916590825,0.05153373538553865,ball4_x-3.24_y-2.13_d0.15.png,1789048565.7604535,0.005562859193048197,0.0036035122979789945,-0.05153373538553865,36.18803787231445,359.2891540527343,37.43429565429687,1152,19.149229459268767,"[713.84375, 253.30555555555554]",12
ball4,1,0,-3.240393480439308,-2.131197779346362,707.3678568449288,314.835252383691,0.3,0.28109931736448246,-0.052414413852924446,0.171417050105059,0.1647939024228151,ball4_x-3.24_y-2.13_d0.30.png,1789048567.1244183,0.01095956760744059,0.011789554586652252,-0.1647939024228151,36.18630599975586,359.291290283203,37.27846527099609,8813,52.964752684570776,"[728.2714172245546, 246.69136502893454]",12
ball4,2,0,-0.32952001170954337,-3.5338950226552495,960.0,314.835252383691,0.15,0.17096360488411122,-0.052414413852924446,0.05105529916590825,0.051963673632795346,ball4_x-0.33_y-3.53_d0.15.png,1789048570.2486157,0.013373912762996553,0.01037026584597669,-0.051963673632795346,39.40824890136718,359.5302429199218,37.41161727905273,3298,32.40040130359718,"[930.3135233474833, 317.6403881140085]",12
ball4,2,0,-0.32952001170954337,-3.5338950226552495,960.0,314.835252383691,0.3,0.3474397985725268,-0.052414413852924446,0.171417050105059,0.1696198800893171,ball4_x-0.33_y-3.53_d0.30.png,1789048571.6126616,0.008867325494400547,0.006615357742927941,-0.1696198800893171,39.40879821777343,359.5241394042968,37.26443481445312,15268,69.71337993709756,"[909.0616976683259, 317.06503798794864]",12
ball4,3,0,2.5813534570202217,-4.936592265964137,1212.6321431550712,314.835252383691,0.15,0.28310694383010926,-0.0035358830464738283,0.05105529916590825,0.07205925895121652,ball4_x+2.58_y-4.94_d0.15.png,1789048575.708822,0.010327047111539044,0.006712520721729831,-0.07205925895121652,42.63418960571289,359.7669677734375,37.3474998474121,1242,19.88318079785697,"[1252.987117552335, 326.30354267310787]",12
ball4,3,0,2.5813534570202217,-4.936592265964137,1212.6321431550712,314.835252383691,0.3,0.4045485129563744,-0.0035358830464738283,0.171417050105059,0.15466057024943042,ball4_x+2.58_y-4.94_d0.30.png,1789048577.0768604,0.011106397658858213,0.009947261160323961,-0.15466057024943042,42.63087844848633,359.7626953125,37.18938064575195,9872,56.05671410639748,"[1230.4168354943274, 335.9801458670989]",12
ball4,4,0,5.4922269257499865,-6.339289509273025,1465.2642863101423,314.835252383691,0.15,0.31109631134658855,-0.0035358830464738283,0.05105529916590825,0.03851066937496626,ball4_x+5.49_y-6.34_d0.15.png,1789048580.1970406,0.011748553688300235,0.012610878615559252,-0.03851066937496626,45.8538818359375,360.010040283203,37.325626373291,379,10.983598994121039,"[866.6833773087071, 662.0105540897098]",12
ball4,4,0,5.4922269257499865,-6.339289509273025,1465.2642863101423,314.835252383691,0.3,0.4727098227722131,-0.0035358830464738283,0.171417050105059,0.16080160885354075,ball4_x+5.49_y-6.34_d0.30.png,1789048581.5609381,0.011061134364838309,0.0027011840902037678,-0.16080160885354075,45.85848236083984,360.0011291503906,37.17007064819336,383,11.041407809169618,"[871.4046997389034, 667.5013054830288]",12
ball4,0,1,-4.901077773606128,1.8658886091602223,454.73571368985773,540.0,0.15,-0.007516479361143524,-0.10816089368227862,0.05105529916590825,0.06968836996056496,ball4_x-4.90_y+1.87_d0.15.png,1789048588.7813003,-0.009873502497316267,0.008998435996117849,-0.06968836996056496,32.74035263061523,361.917266845703,37.5251121520996,0,0.0,None,12
