unit,principle,hard,th,px_per_mm,normal_f90,shear_f90,normal_f90_cyc_px,normal_w_nyq_px,shear_f90_cyc_px,shear_w_nyq_px,fov_mm
hard_1mm_r1,DIGIT,2,1,111.14024742437104,0.7000000000000001,1.2000000000000002,0.0063,24.2,0.0108,41.5,17.28
hard_1mm_r2,DIGIT,2,1,115.06941802049924,0.8,1.0,0.00695,26.7,0.00869,33.4,16.69
hard_2mm_r1,DIGIT,2,2,101.11007474342124,0.5,0.9,0.00495,19.0,0.0089,34.2,18.99
hard_2mm_r2,DIGIT,2,2,103.86899785578782,0.5,1.2000000000000002,0.00481,18.5,0.01155,44.4,18.48
hard_3mm_r1,DIGIT,2,3,87.37464478459978,0.4,0.9,0.00458,17.6,0.0103,39.6,21.97
hard_3mm_r2,DIGIT,2,3,95.86756291535792,0.5,1.1,0.00522,20.0,0.01147,44.1,20.03
medium_1mm_r1,DIGIT,1,1,110.13704879845966,0.7000000000000001,1.0,0.00636,24.4,0.00908,34.9,17.43
medium_1mm_r2,DIGIT,1,1,111.79794098147342,0.7000000000000001,1.2000000000000002,0.00626,24.0,0.01073,41.2,17.17
medium_2mm_r1,DIGIT,1,2,100.01727465504976,0.5,1.0,0.005,19.2,0.01,38.4,19.2
medium_2mm_r2,DIGIT,1,2,104.14484284382507,0.5,1.1,0.0048,18.4,0.01056,40.6,18.44
medium_3mm_r1,DIGIT,1,3,88.71822578833242,0.4,1.0,0.00451,17.3,0.01127,43.3,21.64
medium_3mm_r2,DIGIT,1,3,89.4599249424395,0.4,1.0,0.00447,17.2,0.01118,42.9,21.46
soft_1mm_r1,DIGIT,0,1,114.43941305092626,0.9,1.3,0.00786,30.2,0.01136,43.6,16.78
soft_1mm_r2,DIGIT,0,1,109.46611343280809,0.7000000000000001,1.2000000000000002,0.00639,24.6,0.01096,42.1,17.54
soft_2mm_r1,DIGIT,0,2,102.74450351991818,0.5,1.1,0.00487,18.7,0.01071,41.1,18.69
soft_2mm_r2,DIGIT,0,2,100.77340297180864,0.5,1.1,0.00496,19.1,0.01092,41.9,19.05
soft_3mm_r1,DIGIT,0,3,92.61911913935278,0.4,0.8,0.00432,16.6,0.00864,33.2,20.73
soft_3mm_r2,DIGIT,0,3,90.30643458573026,0.4,0.8,0.00443,17.0,0.00886,34.0,21.26
