sensor_id,index,at,image,label,Fx_s,Fy_s,Fz_s,Tx_s,Ty_s,Tz_s,Fx_base,Fy_base,Fz_base,Fmag,tcp_x,tcp_y,tcp_z,descent_mm,depth_corrected_mm,contact_x_sensor_mm,contact_y_sensor_mm,lateral_fraction,probe_tilt_deg
9DTact_soft_1mm_r2,1,2026-09-04T01:41:06.388964,0001.png,N0.10,0.00726,-0.00801,-0.08907,-0.000144,9e-06,-7.3e-05,0.01091,-0.00474,-0.08893,0.08973,37.9067,362.8445,37.7564,-0.0,-0.0775,0.099,1.62,0.1205,0.062
9DTact_soft_1mm_r2,2,2026-09-04T01:41:09.275385,0002.png,N0.20,0.01494,0.00139,-0.23153,-0.000306,0.000151,8.4e-05,0.01385,0.00496,-0.23154,0.23201,37.9023,362.8761,37.559,0.1968,0.1193,0.65,1.322,0.0647,0.062
9DTact_soft_1mm_r2,3,2026-09-04T01:41:10.085945,0003.png,N0.30,0.0146,-0.00394,-0.27874,-0.000313,0.00011,6.1e-05,0.01655,-0.00059,-0.27866,0.27915,37.9079,362.8528,37.4687,0.2875,0.2099,0.395,1.122,0.0542,0.062
9DTact_soft_1mm_r2,4,2026-09-04T01:41:12.167234,0004.png,N0.40,0.02213,0.00576,-0.38421,-0.000368,0.000233,-0.000239,0.01896,0.00989,-0.3843,0.38489,37.9058,362.8748,37.3323,0.4235,0.346,0.606,0.957,0.0594,0.062
9DTact_soft_1mm_r2,5,2026-09-04T01:41:14.227493,0005.png,N0.50,0.02845,0.02512,-0.48231,-0.00084,0.000376,-0.000227,0.01544,0.02824,-0.48273,0.4838,37.9026,362.9041,37.2223,0.533,0.4555,0.779,1.742,0.0784,0.062
9DTact_soft_1mm_r2,6,2026-09-04T01:41:16.294888,0006.png,N0.60,0.04554,0.02066,-0.56723,-0.000803,0.000683,-0.000374,0.03306,0.03157,-0.5676,0.56943,37.9266,362.909,37.1319,0.6235,0.5459,1.203,1.416,0.0878,0.062
9DTact_soft_1mm_r2,7,2026-09-04T01:41:17.953921,0007.png,N0.70,0.04802,0.03206,-0.70603,-0.000888,0.000699,-0.000238,0.03047,0.04045,-0.70658,0.70839,37.9237,362.9249,37.0624,0.6928,0.6152,0.99,1.257,0.0815,0.062
9DTact_soft_1mm_r2,8,2026-09-04T01:41:19.592061,0008.png,N0.80,0.05055,0.04356,-0.78552,-0.00119,0.000861,-0.000344,0.02747,0.0504,-0.78626,0.78835,37.9196,362.9398,36.986,0.7689,0.6913,1.096,1.515,0.0846,0.062
9DTact_soft_1mm_r2,9,2026-09-04T01:41:20.812235,0009.png,N0.90,0.05025,0.03975,-0.91883,-0.001062,0.00092,-0.00048,0.03004,0.04481,-0.91948,0.92106,37.9213,362.9307,36.886,0.869,0.7915,1.001,1.156,0.0696,0.062
9DTact_soft_1mm_r2,10,2026-09-04T01:41:22.493031,0010.png,N1.00,0.05791,0.05498,-0.97685,-0.001358,0.001083,-0.00035,0.02947,0.0609,-0.97777,0.9801,37.9195,362.951,36.8577,0.897,0.8194,1.109,1.391,0.0815,0.062
9DTact_soft_1mm_r2,11,2026-09-04T01:41:23.306252,0011.png,N1.10,0.06168,0.06434,-1.10353,-0.001679,0.001042,2.2e-05,0.02893,0.06886,-1.1046,1.10713,37.9165,362.9597,36.7833,0.9712,0.8937,0.944,1.522,0.0805,0.062
9DTact_soft_1mm_r2,12,2026-09-04T01:41:25.376501,0012.png,N1.20,0.06222,0.07445,-1.21748,-0.001745,0.001194,-0.000183,0.02513,0.07606,-1.21871,1.22134,37.9165,362.9629,36.7062,1.0481,0.9706,0.98,1.433,0.0794,0.062
9DTact_soft_1mm_r2,13,2026-09-04T01:41:27.454157,0013.png,N1.30,0.06649,0.09124,-1.39528,-0.00223,0.001404,-3.4e-05,0.02168,0.08989,-1.39678,1.39983,37.9128,362.993,36.6156,1.1382,1.0607,1.006,1.598,0.0806,0.062
9DTact_soft_1mm_r2,14,2026-09-04T01:41:28.267067,0014.png,N1.40,0.06917,0.10038,-1.40099,-0.002308,0.001502,-0.000118,0.01947,0.09906,-1.40265,1.40628,37.9115,362.9973,36.6088,1.145,1.0675,1.072,1.647,0.0867,0.062
