sensor_id,index,at,image,label,Fx_s,Fy_s,Fz_s,Tx_s,Ty_s,Tz_s,Fx_base,Fy_base,Fz_base,Fmag,tcp_x,tcp_y,tcp_z,descent_mm,depth_corrected_mm,contact_x_sensor_mm,contact_y_sensor_mm,lateral_fraction,probe_tilt_deg
9DTact_hard_2mm_r1,1,2026-09-08T00:06:45.605565,0001.png,N2.20,-0.00119,0.07732,-2.24487,-0.001123,-0.001554,0.000414,-0.0241,0.03041,-2.24586,2.2462,37.9073,362.8378,38.0339,-0.0,0.9621,-0.692,0.5,0.0344,2.835
9DTact_hard_2mm_r1,2,2026-09-08T00:07:22.142388,0002.png,N2.01,0.00558,0.07478,-1.94906,-0.001316,-0.001318,0.000238,-0.01902,0.03633,-1.95007,1.9505,37.9068,362.8569,38.1128,-0.0792,0.8829,-0.676,0.675,0.0384,2.835
9DTact_hard_2mm_r1,3,2026-09-08T00:07:57.450694,0003.png,N2.02,0.00319,0.07797,-1.98546,-0.001035,-0.001046,0.000418,-0.02243,0.03732,-1.98652,1.987,37.907,362.8716,38.116,-0.0826,0.8795,-0.527,0.521,0.0393,2.835
9DTact_hard_2mm_r1,4,2026-09-08T00:08:32.523690,0004.png,N1.99,0.00428,0.09214,-1.97491,-0.001413,-0.000721,0.000267,-0.02863,0.0503,-1.97622,1.97707,37.9032,362.8947,38.1154,-0.0824,0.8797,-0.365,0.715,0.0467,2.835
9DTact_hard_2mm_r1,5,2026-09-08T00:09:08.028972,0005.png,N2.01,0.00356,0.09355,-1.96821,-0.001531,-0.000898,-4.6e-05,-0.03001,0.05128,-1.96954,1.97044,37.9022,362.9177,38.1115,-0.0789,0.8833,-0.456,0.778,0.0475,2.835
