probe,ix,iy,x_mm,y_mm,target_depth_mm,depth_mm,force_N,file,t_img,Fx,Fy,Fz,tcp_x,tcp_y,tcp_z,area_px,radius_px,centroid_px,diff_level
ball4,0,0,-4.0,-2.5,0.15,0.21773095972863743,0.06343584868454855,ball4_x-4.00_y-2.50_d0.15.png,1789035869.205426,-0.004009871428282708,-0.008576194076335497,-0.06343584868454855,36.03182220458984,357.8529968261718,37.05483245849609,0,0.0,None,12
ball4,0,0,-4.0,-2.5,0.3,0.3642418486419814,0.2214416098137974,ball4_x-4.00_y-2.50_d0.30.png,1789035871.5495746,-0.008407604981764294,-0.012186087748885476,-0.2214416098137974,36.03287506103515,357.8460998535156,36.90551376342773,0,0.0,None,12
ball4,1,0,-2.0,-2.5,0.15,0.19643956743640345,0.06491357914150342,ball4_x-2.00_y-2.50_d0.15.png,1789035874.2777414,0.0024594718126319747,0.0021684413816014823,-0.06491357914150342,37.76761627197265,358.8522644042968,37.06304931640625,3585,33.78077769929061,"[777.0538354253836, 245.37573221757322]",12
ball4,1,0,-2.0,-2.5,0.3,0.34863195784650003,0.19376424739455445,ball4_x-2.00_y-2.50_d0.30.png,1789035876.621771,-0.00479948355879003,-0.0051270441140108146,-0.19376424739455445,37.77188491821289,358.846466064453,36.9128074645996,16053,71.4830651476865,"[769.7326356444279, 267.7150065408335]",12
ball4,2,0,0.0,-2.5,0.15,0.1866524826749547,0.05279400904976796,ball4_x+0.00_y-2.50_d0.15.png,1789035879.3500545,0.010649050817922756,0.008647679570908196,-0.05279400904976796,39.50325775146484,359.835205078125,37.07399368286133,5200,40.68428945128219,"[934.6873076923077, 347.42634615384617]",12
ball4,2,0,0.0,-2.5,0.3,0.3416991031409857,0.19664343944120902,ball4_x+0.00_y-2.50_d0.30.png,1789035881.6941504,1.8854958167224822e-05,0.0007388176209543573,-0.19664343944120902,39.5046806335449,359.8465576171875,36.9233169555664,18018,75.73181319141607,"[921.3061938061938, 350.9706404706405]",12
ball4,3,0,2.0,-2.5,0.15,0.19181606329967948,0.08908507918884823,ball4_x+2.00_y-2.50_d0.15.png,1789035884.4223006,0.009100415651978366,0.0168638526266399,-0.08908507918884823,41.22980499267578,360.85498046875,37.08599472045898,8691,52.59687462980405,"[1102.8410999884939, 434.22793694626625]",12
ball4,3,0,2.0,-2.5,0.3,0.33672330543030426,0.22881135794998783,ball4_x+2.00_y-2.50_d0.30.png,1789035886.7664232,0.0018935814360112602,0.005009652990451308,-0.22881135794998783,41.2358169555664,360.8495483398437,36.939395904541,41143,114.43873315997385,"[1138.8957295287169, 400.93806965948033]",12
ball4,4,0,4.0,-2.5,0.15,0.176016859801301,0.09756668095957081,ball4_x+4.00_y-2.50_d0.15.png,1789035889.4985843,0.020111682732127534,0.004571406754164897,-0.09756668095957081,42.97639846801758,361.824462890625,37.09000015258789,7654,49.35933416133907,"[1284.7622158348577, 538.5146328717011]",12
ball4,4,0,4.0,-2.5,0.3,0.3292853984527859,0.2601296917512371,ball4_x+4.00_y-2.50_d0.30.png,1789035891.8387384,0.0019523984404877126,0.009089524785107984,-0.2601296917512371,42.97084808349609,361.8448181152343,36.94556045532226,24486,88.28440333998014,"[1279.7533284325737, 544.1569876664216]",12
ball4,0,1,-4.0,0.0,0.15,0.1470730036403225,0.09217855072189138,ball4_x-4.00_y+0.00_d0.15.png,1789035896.9110172,-0.014110329054753023,0.01202604235754503,-0.09217855072189138,34.7795295715332,360.0177612304687,37.0807876586914,0,0.0,None,12
