axis,offset_mm,force_N,achieved_x_mm,achieved_y_mm,height_mm,steps,file,Fx,Fy,Fz,Tx_Nmm,Ty_Nmm,Tz_Nmm,cop_x_mm,cop_y_mm,rotate_deg
x,-1.5,0.8610222004287464,-1.4998738630878834,0.011210443752701554,25.341816801626702,5,cyl4_x-1.50.png,-0.0014988830091059667,0.020409029800535626,-0.8610222004287464,-1.1933428042988747,-1.5708278508192342,-0.09492646436459751,-1.779585403749819,0.7760907808836134,0.0
x,0.0,0.8396824663026621,0.0048070763761168915,0.008296273769198507,25.323352322975243,7,cyl4_x+0.00.png,0.000638753729600694,0.01272539460094535,-0.8396824663026621,-1.041449366708952,-0.09816665163054905,-0.22819729196235095,-0.13648180733886764,0.8503607623708203,0.0
x,1.5,0.8483417957834292,1.5056460086300572,0.008243313621545841,25.33840266668064,6,cyl4_x+1.50.png,0.007050573874796129,0.012496347824796495,-0.8483417957834292,-0.9704951807645801,1.3374619128017795,-0.047093152007748884,1.3627232769180302,0.7649889089261281,0.0
y,-1.5,0.8870695745663909,-0.00024317607550613867,-1.4943223863012,25.273748392368713,8,cyl4_y-1.50.png,-0.007160331322997493,-0.009115337700774795,-0.8870695745663909,0.9941584520076319,-0.24572914842825866,0.03218185377584781,-0.06932754729703224,-0.8563325889937231,0.0
y,0.0,0.8680873670359773,-3.334334029950344e-05,0.008275107253728188,25.316365541986183,7,cyl4_y+0.00.png,-0.0032545738651535315,0.018911735978877076,-0.8680873670359773,-1.0279754976399187,-0.07970595970546723,-0.1394086322911381,0.0046448836660716595,0.6236567051119435,0.0
y,1.5,0.8894254829076743,-0.0033979976436945094,1.5068696281909375,25.401791922855644,2,cyl4_y+1.50.png,-0.007999406012385534,0.02402816537697987,-0.8894254829076743,-2.194743888071213,-0.00014658108261067504,-0.11701106884887125,0.231242609765017,1.7725087030374462,0.0
