t,Fx,Fy,Fz,Tx,Ty,Tz
1788789002.900463,0.00198,9e-05,0.00689,-1e-05,-0.00012,-6e-05
1788789002.921094,-0.00134,0.0044,-0.00513,0.00016,8e-05,6e-05
1788789002.940401,0.00224,0.00205,-0.00207,8e-05,-0.0,-3e-05
1788789002.960710,-0.00059,-0.00433,-0.00561,-5e-05,-0.00016,-3e-05
1788789002.981053,-4e-05,0.00606,0.00227,3e-05,0.0001,-3e-05
1788789003.000370,0.00358,0.00096,0.01983,-0.00014,-0.00012,0.0
1788789003.020675,0.00081,-0.00012,0.00209,-6e-05,-7e-05,3e-05
1788789003.041122,-0.00136,0.00251,0.01067,-4e-05,-8e-05,-8e-05
1788789003.060425,-0.00045,0.00073,0.0211,5e-05,3e-05,-0.00027
1788789003.080769,0.00035,0.00257,0.02504,2e-05,-1e-05,-0.00022
1788789003.101217,0.00366,-0.00431,-0.00988,0.00025,0.0001,-3e-05
1788789003.120514,-0.00035,0.00088,0.02983,8e-05,9e-05,-0.00027
1788789003.140938,0.00231,-0.00165,0.04602,-1e-05,4e-05,-0.00041
1788789003.160264,0.00321,-0.00184,0.00688,-6e-05,0.0001,-7e-05
1788789003.180628,0.0014,0.00034,0.01378,8e-05,0.00013,-0.00011
1788789003.201004,0.00233,-0.00237,0.03858,-0.00017,-4e-05,-0.00032
1788789003.220263,-0.00235,-0.0024,0.03557,0.00011,8e-05,-0.00045
1788789003.241369,0.0007,0.00118,0.0125,0.00011,3e-05,-0.00023
1788789003.260829,-0.0019,-0.00112,0.0333,6e-05,4e-05,-0.00038
1788789003.281205,-0.00379,-0.0028,0.02838,0.00012,8e-05,-0.00034
1788789003.300494,-0.00251,-0.00242,0.0542,0.00017,-3e-05,-0.00058
1788789003.320771,0.00127,-0.00335,0.04686,4e-05,-4e-05,-0.0005
1788789003.341281,-0.00108,-0.00109,0.02087,5e-05,1e-05,-0.00023
1788789003.360257,-0.00084,-0.00219,0.0027,7e-05,0.00011,-8e-05
1788789003.380388,0.00041,-0.00028,0.02703,0.0,1e-05,-9e-05
1788789003.401242,-0.00163,-0.00388,0.02273,-3e-05,-2e-05,-0.00021
1788789003.420816,0.00104,-0.00041,0.03637,-0.00016,-3e-05,-0.00018
1788789003.440941,0.00023,-0.0023,0.02509,1e-05,1e-05,-0.00023
1788789003.461105,0.00048,0.00044,0.03761,0.00012,8e-05,-0.0004
1788789003.480411,-0.00393,0.00173,0.04454,0.0,-1e-05,-0.00046
1788789003.501168,-0.00161,-0.00015,0.03785,1e-05,-4e-05,-0.00034
1788789003.521014,0.00403,-0.0011,0.04235,-8e-05,-0.0,-0.00027
1788789003.540603,0.00125,0.00101,0.04641,-0.0001,-3e-05,-0.00031
1788789003.560906,0.00104,-0.00114,0.04334,3e-05,-0.00011,-0.0004
1788789003.580280,0.00219,-0.00039,0.04104,-2e-05,5e-05,-0.00042
1788789003.601040,0.00111,-0.00207,0.01913,4e-05,-0.0,-0.00022
1788789003.621070,-0.00032,-0.00227,0.01946,1e-05,-0.00015,-0.00019
1788789003.641120,0.00349,-0.00067,0.0215,-4e-05,-8e-05,-0.00013
1788789003.660889,0.00025,-0.00688,0.03012,-0.00017,-0.00016,-0.00027
1788789003.680962,-0.00035,0.00014,0.02948,-1e-05,-3e-05,-0.00022
1788789003.701088,1e-05,0.00048,0.01603,8e-05,7e-05,-0.00019
1788789003.720768,-0.00222,-0.00117,0.02165,4e-05,4e-05,-0.00021
1788789003.740947,0.00129,-0.00243,0.02212,0.00013,8e-05,-0.00031
1788789003.760776,0.00029,0.00264,0.0086,3e-05,3e-05,-9e-05
1788789003.780358,-0.00181,0.00186,0.01756,6e-05,-2e-05,-0.00024
1788789003.801031,-0.00497,-5e-05,-0.01864,0.00018,0.00015,8e-05
1788789003.820839,-0.0026,0.00035,-0.01821,0.00013,8e-05,3e-05
1788789003.840909,-0.00069,0.00222,0.00192,0.00012,7e-05,-0.0001
1788789003.860952,0.00046,-0.00038,0.02638,-0.00022,-0.00015,-0.00016
1788789003.880922,0.00045,-0.0014,-0.0036,1e-05,-2e-05,6e-05
1788789003.900753,0.00039,-0.00361,-0.00303,0.0001,5e-05,0.0
1788789003.921269,-0.00273,-0.00106,-0.00661,2e-05,-2e-05,5e-05
1788789003.941221,0.00137,-0.00041,-0.01283,3e-05,1e-05,0.00013
1788789003.960430,-0.0056,0.00352,-0.00056,-3e-05,8e-05,-3e-05
1788789003.981331,-0.00218,-0.00228,0.01842,4e-05,-6e-05,-6e-05
1788789004.001213,0.0004,0.00342,-0.01853,0.00016,-4e-05,8e-05
1788789004.021056,-0.00015,-0.00105,0.01316,-0.00019,-0.00011,-0.00021
1788789004.041097,-0.00216,0.00013,0.01991,-6e-05,6e-05,-0.00011
1788789004.060920,0.00125,0.00146,0.01581,0.00013,7e-05,-0.00014
1788789004.080434,0.00421,-0.00195,0.01598,0.00016,0.0,-0.00014
1788789004.100775,0.00063,0.00112,0.01549,3e-05,-6e-05,-0.00029
1788789004.121130,0.00242,-0.00393,0.01359,0.00014,-2e-05,-0.00018
1788789004.140473,-0.00059,-0.00179,0.02961,2e-05,9e-05,-0.00029
1788789004.160769,0.00123,0.00028,0.03638,7e-05,0.0001,-0.00036
1788789004.181101,-0.00036,-0.00131,0.02697,7e-05,-2e-05,-0.00029
1788789004.200426,0.00218,-0.00285,0.01193,-4e-05,-6e-05,-0.00012
1788789004.220919,0.00076,-0.00314,0.01845,0.00016,0.0001,-0.00024
1788789004.240888,0.00046,0.00058,0.03111,-0.00011,-4e-05,-0.00013
1788789004.260297,0.00048,-0.00197,0.00551,-1e-05,3e-05,-0.0001
1788789004.280711,-0.00139,-0.00132,0.01244,0.00017,0.00011,-0.0002
1788789004.301053,0.00021,-0.00143,0.00393,0.00016,0.0001,-0.00011
1788789004.320364,0.00475,0.0029,0.01609,-3e-05,-0.00015,-0.00011
1788789004.340652,-0.00205,-0.00212,-0.00466,8e-05,3e-05,-1e-05
1788789004.361005,-0.00311,-0.00109,0.04034,-7e-05,-0.0,-0.00033
1788789004.380276,-0.00203,-0.00226,0.04008,-5e-05,-0.0,-0.00027
1788789004.400700,-0.00102,-0.00365,0.01443,-3e-05,-2e-05,-0.0001
1788789004.420426,0.00036,0.00367,0.02142,8e-05,3e-05,-0.00014
1788789004.440871,-0.00032,-0.00078,-0.01389,0.00027,0.00021,-0.00011
1788789004.461247,-0.00047,0.00112,0.0065,0.00015,9e-05,-0.00018
1788789004.480574,0.00353,-0.00121,0.0089,0.00012,2e-05,-0.00018
1788789004.500992,0.00284,-0.00478,0.01491,-0.0,-0.00015,-5e-05
1788789004.520324,0.00052,8e-05,-0.00041,0.00016,-4e-05,-4e-05
1788789004.545778,0.00156,-0.0006,0.00275,0.00013,2e-05,-0.00011
1788789004.561229,-0.00177,-0.00049,0.03717,5e-05,-7e-05,-0.00032
1788789004.580565,-0.00077,-0.00115,0.02635,7e-05,6e-05,-0.00026
