t,at,where,Fx,Fy,Fz,Tx,Ty,Tz
1788789002.891016,2026-09-07T22:50:02.891008,tare,0.0,0.0,0.0,0.0,0.0,0.0
1788789215.131908,2026-09-07T22:53:35.131896,between normal and shear blocks,0.00149,0.01798,0.00393,0.00143,-0.00089,-0.00043
1788789698.250404,2026-09-07T23:01:38.250392,end of collect,0.15838,0.17947,0.11937,0.00049,-0.00709,0.00192
