probe,ix,iy,x_mm,y_mm,img_x_px,img_y_px,target_depth_mm,depth_mm,force_N,file,t_img,Fx,Fy,Fz,tcp_x,tcp_y,tcp_z,area_px,radius_px,centroid_px,diff_level
ball4,0,0,-6.200156892980122,0.14165644573694802,368.7122384442665,284.7122384442666,0.15,0.1835825115072467,0.2466504833862473,ball4_x-6.20_y+0.14_d0.15.png,1789041925.2398763,-0.0035279886573189147,0.027490321659084493,-0.2466504833862473,32.48513793945312,359.763458251953,36.3420295715332,2264,26.844991754889815,"[137.96598939929328, 257.0459363957597]",12
ball4,0,0,-6.200156892980122,0.14165644573694802,368.7122384442665,284.7122384442666,0.3,0.3417107384022131,0.528558471371403,ball4_x-6.20_y+0.14_d0.30.png,1789041926.6038954,0.00035784451408744645,0.05303869374302632,-0.528558471371403,32.4853286743164,359.7598876953125,36.18958663940429,5913,43.38394123411051,"[314.9463893116861, 233.16759682056485]",12
ball4,1,0,-3.528090805055879,-1.4048164125863587,664.3561192221332,284.7122384442666,0.15,0.18900803789668075,0.21504437457503797,ball4_x-3.53_y-1.40_d0.15.png,1789041929.9200475,0.0024202141169041625,0.017461053063158972,-0.21504437457503797,35.57917022705078,359.7570190429687,36.35755920410156,5374,41.35936808453064,"[648.2260885746185, 250.48864905098623]",12
ball4,1,0,-3.528090805055879,-1.4048164125863587,664.3561192221332,284.7122384442666,0.3,0.36181206149455036,0.49432176923809834,ball4_x-3.53_y-1.40_d0.30.png,1789041931.2881222,0.009995491170871063,0.0071817693579451,-0.49432176923809834,35.58269119262695,359.7568969726562,36.2137222290039,20461,80.70277926568912,"[657.1972044377108, 263.37700992131374]",12
ball4,2,0,-0.8560247171316353,-2.951289270909666,960.0,284.7122384442666,0.15,0.19029868700741304,0.14703870523754575,ball4_x-0.86_y-2.95_d0.15.png,1789041934.4083166,0.013455162058147962,0.0038480247688175593,-0.14703870523754575,38.66741561889648,359.7543334960937,36.3723678588867,23999,87.40205351434709,"[893.3746822784283, 288.60548356181505]",12
ball4,2,0,-0.8560247171316353,-2.951289270909666,960.0,284.7122384442666,0.3,0.3599660582584896,0.4007806091790059,ball4_x-0.86_y-2.95_d0.30.png,1789041935.7723744,0.012942611677105021,0.002908581819505507,-0.4007806091790059,38.66922378540039,359.751739501953,36.22078323364258,54911,132.20708816186118,"[895.795323341407, 292.9126950884158]",12
ball4,3,0,1.8160413707926084,-4.497762129232973,1255.6438807778668,284.7122384442666,0.15,0.1934094014886547,0.11199368108684951,ball4_x+1.82_y-4.50_d0.15.png,1789041938.8966062,0.014560254297845531,0.007044846455154463,-0.11199368108684951,41.75965881347656,359.7516784667968,36.38222503662109,24894,89.01688776102704,"[1242.3559090543906, 266.8265445488873]",12
ball4,3,0,1.8160413707926084,-4.497762129232973,1255.6438807778668,284.7122384442666,0.3,0.37275555814721173,0.3436801436460911,ball4_x+1.82_y-4.50_d0.30.png,1789041940.2606273,0.017541121441172793,0.0007569835566300753,-0.3436801436460911,41.76111984252929,359.7432250976562,36.2328987121582,64190,142.94163702062994,"[1230.6507088331516, 271.38041751051566]",12
ball4,4,0,4.488107458716852,-6.04423498755628,1551.2877615557336,284.7122384442666,0.15,0.19851801390571922,0.11684520451830167,ball4_x+4.49_y-6.04_d0.15.png,1789041943.3807185,0.018444854231378115,-0.006908991768090189,-0.11684520451830167,44.84626388549804,359.7408447265625,36.39810180664062,3974,35.56632519243989,"[1657.3739305485656, 194.03371917463514]",12
ball4,4,0,4.488107458716852,-6.04423498755628,1551.2877615557336,284.7122384442666,0.3,0.3807292358495751,0.36008066584693665,ball4_x+4.49_y-6.04_d0.30.png,1789041944.7487893,0.019067957700364603,-0.0054710931553994865,-0.36008066584693665,44.84774017333984,359.744659423828,36.246768951416,24992,89.19193167268718,"[1565.9597871318822, 304.9443822023047]",12
ball4,0,1,-4.864781395711889,2.4489789193845546,368.7122384442665,540.0,0.15,0.11665777507494113,0.25835993088998066,ball4_x-4.86_y+2.45_d0.15.png,1789041951.1853101,-0.0029612596824492242,0.010478551216018239,-0.25835993088998066,32.4888687133789,362.42236328125,36.3401298522949,4207,36.59412099197366,"[136.9046826717376, 553.2593296886142]",12
ball4,0,1,-4.864781395711889,2.4489789193845546,368.7122384442665,540.0,0.3,0.30059702742813954,0.6095837100820859,ball4_x-4.86_y+2.45_d0.30.png,1789041952.5533378,-0.010439093057620141,0.016216069586903005,-0.6095837100820859,32.48743820190429,362.4254150390625,36.19529342651367,13253,64.95044974127414,"[328.55828868935333, 521.2194974722704]",12
ball4,1,1,-2.1927153077876462,0.9025060610612476,664.3561192221332,540.0,0.15,0.12402465629854476,0.22127895939570125,ball4_x-2.19_y+0.90_d0.15.png,1789041955.673528,0.003090288239987515,-0.0035022305325249194,-0.22127895939570125,35.5864906311035,362.418243408203,36.35508728027343,38900,111.2755794078353,"[628.6105141388175, 544.0756812339332]",12
ball4,1,1,-2.1927153077876462,0.9025060610612476,664.3561192221332,540.0,0.3,0.31186826318216276,0.5302015507195137,ball4_x-2.19_y+0.90_d0.30.png,1789041957.0414872,0.01285436730624383,-0.005098113052437192,-0.5302015507195137,35.58871841430664,362.4207458496093,36.2118682861328,65135,143.98998033398436,"[621.7539111076994, 552.4804790051431]",12
ball4,2,1,0.4793507801365975,-0.6439667972620593,960.0,540.0,0.15,0.1313674250536252,0.19685532398959255,ball4_x+0.48_y-0.64_d0.15.png,1789041960.1617796,0.002653153143658926,0.00496940314731269,-0.19685532398959255,38.67129516601562,362.4168395996093,36.36890792846679,60559,138.83993804883443,"[868.8571475750921, 533.2364305883518]",12
ball4,2,1,0.4793507801365975,-0.6439667972620593,960.0,540.0,0.3,0.3121559518795891,0.48730264737087337,ball4_x+0.48_y-0.64_d0.30.png,1789041961.9177673,0.015071089302935192,-0.0006314286131729574,-0.48730264737087337,38.67172241210937,362.4219665527343,36.2272148132324,99023,177.53872777390714,"[872.5676559991114, 544.8317663573109]",12
ball4,3,1,3.151416868060841,-2.1904396555853665,1255.6438807778668,540.0,0.15,0.13793992157497925,0.17846503987484824,ball4_x+3.15_y-2.19_d0.15.png,1789041966.0141463,0.019149528985808573,-0.0015786591586511634,-0.17846503987484824,41.7623825073242,362.41064453125,36.37948608398437,46968,122.27174135621149,"[1217.0066002384601, 538.0234840742634]",12
ball4,3,1,3.151416868060841,-2.1904396555853665,1255.6438807778668,540.0,0.3,0.3186664277956055,0.43367987734696667,ball4_x+3.15_y-2.19_d0.30.png,1789041967.770183,0.01808946665615956,-0.001226954049114859,-0.43367987734696667,41.75738143920898,362.4210205078125,36.2408218383789,93849,172.83826112427354,"[1197.6603586612537, 538.9515604854607]",12
ball4,4,1,5.823482955985085,-3.736912513908673,1551.2877615557336,540.0,0.15,0.14941313767457842,0.1509518095689401,ball4_x+5.82_y-3.74_d0.15.png,1789041971.2824242,0.02180442900164472,-0.0021273083906089953,-0.1509518095689401,44.85145568847656,362.4066162109375,36.39501953125,19429,78.64122823726032,"[1637.1071079314427, 542.4652323845797]",12
ball4,4,1,5.823482955985085,-3.736912513908673,1551.2877615557336,540.0,0.3,0.3276103776295294,0.39597477967940337,ball4_x+5.82_y-3.74_d0.30.png,1789041972.6464534,0.023316142836138098,0.0037277160544228138,-0.39597477967940337,44.8515396118164,362.4125671386718,36.25761795043945,46407,121.5393223945698,"[1634.7492404163165, 539.6586506346025]",12
ball4,0,2,-3.529405898443657,4.75630139303216,368.7122384442665,795.2877615557334,0.15,0.07957566436441965,0.3689521318311961,ball4_x-3.53_y+4.76_d0.15.png,1789041978.8908622,0.007742656796648717,0.022416466155875447,-0.3689521318311961,32.497989654541,365.0984497070312,36.3583984375,8911,53.25842089082025,"[319.2748288632028, 837.5944338458086]",12
ball4,0,2,-3.529405898443657,4.75630139303216,368.7122384442665,795.2877615557334,0.3,0.24994829238884364,0.7337786136427695,ball4_x-3.53_y+4.76_d0.30.png,1789041980.2549572,0.005360642660182435,0.029813735975797683,-0.7337786136427695,32.49946975708008,365.0935974121093,36.20520782470703,13087,64.54240064087536,"[328.8408344158325, 830.4514403606632]",12
